park,hour,weekday,season,Term,cars
North,0,Monday,Fall,0.0,84.0
North,0,Monday,Fall,1.0,
North,0,Monday,Fall,2.0,81.0
North,0,Monday,Spring,0.0,56.0
North,0,Monday,Spring,1.0,37.0
North,0,Monday,Spring,2.0,51.0
North,0,Monday,Summer,0.0,35.0
North,0,Monday,Summer,1.0,44.0
North,0,Monday,Summer,2.0,
North,0,Monday,Winter,0.0,23.0
North,0,Monday,Winter,1.0,
North,0,Monday,Winter,2.0,55.0
North,0,Tuesday,Fall,0.0,
North,0,Tuesday,Fall,1.0,
North,0,Tuesday,Fall,2.0,35.0
North,0,Tuesday,Spring,0.0,19.0
North,0,Tuesday,Spring,1.0,13.0
North,0,Tuesday,Spring,2.0,23.0
North,0,Tuesday,Summer,0.0,25.0
North,0,Tuesday,Summer,1.0,17.0
North,0,Tuesday,Summer,2.0,
North,0,Tuesday,Winter,0.0,8.0
North,0,Tuesday,Winter,1.0,
North,0,Tuesday,Winter,2.0,14.0
North,0,Wednesday,Fall,0.0,18.0
North,0,Wednesday,Fall,1.0,
North,0,Wednesday,Fall,2.0,42.0
North,0,Wednesday,Spring,0.0,27.0
North,0,Wednesday,Spring,1.0,22.0
North,0,Wednesday,Spring,2.0,27.0
North,0,Wednesday,Summer,0.0,27.0
North,0,Wednesday,Summer,1.0,21.0
North,0,Wednesday,Summer,2.0,
North,0,Wednesday,Winter,0.0,19.0
North,0,Wednesday,Winter,1.0,
North,0,Wednesday,Winter,2.0,59.0
North,0,Thursday,Fall,0.0,32.0
North,0,Thursday,Fall,1.0,
North,0,Thursday,Fall,2.0,41.0
North,0,Thursday,Spring,0.0,37.0
North,0,Thursday,Spring,1.0,22.0
North,0,Thursday,Spring,2.0,42.0
North,0,Thursday,Summer,0.0,43.0
North,0,Thursday,Summer,1.0,27.0
North,0,Thursday,Summer,2.0,
North,0,Thursday,Winter,0.0,20.0
North,0,Thursday,Winter,1.0,
North,0,Thursday,Winter,2.0,24.0
North,0,Friday,Fall,0.0,41.0
North,0,Friday,Fall,1.0,
North,0,Friday,Fall,2.0,41.0
North,0,Friday,Spring,0.0,35.0
North,0,Friday,Spring,1.0,26.0
North,0,Friday,Spring,2.0,40.0
North,0,Friday,Summer,0.0,45.0
North,0,Friday,Summer,1.0,31.0
North,0,Friday,Summer,2.0,
North,0,Friday,Winter,0.0,17.0
North,0,Friday,Winter,1.0,
North,0,Friday,Winter,2.0,34.0
North,0,Saturday,Fall,0.0,64.0
North,0,Saturday,Fall,1.0,
North,0,Saturday,Fall,2.0,58.0
North,0,Saturday,Spring,0.0,34.0
North,0,Saturday,Spring,1.0,39.0
North,0,Saturday,Spring,2.0,49.0
North,0,Saturday,Summer,0.0,35.0
North,0,Saturday,Summer,1.0,36.0
North,0,Saturday,Summer,2.0,
North,0,Saturday,Winter,0.0,23.0
North,0,Saturday,Winter,1.0,
North,0,Saturday,Winter,2.0,53.0
North,0,Sunday,Fall,0.0,83.0
North,0,Sunday,Fall,1.0,
North,0,Sunday,Fall,2.0,72.0
North,0,Sunday,Spring,0.0,32.0
North,0,Sunday,Spring,1.0,37.0
North,0,Sunday,Spring,2.0,43.0
North,0,Sunday,Summer,0.0,40.0
North,0,Sunday,Summer,1.0,36.0
North,0,Sunday,Summer,2.0,
North,0,Sunday,Winter,0.0,23.0
North,0,Sunday,Winter,1.0,
North,0,Sunday,Winter,2.0,49.0
North,1,Monday,Fall,0.0,82.0
North,1,Monday,Fall,1.0,
North,1,Monday,Fall,2.0,79.0
North,1,Monday,Spring,0.0,57.0
North,1,Monday,Spring,1.0,36.0
North,1,Monday,Spring,2.0,48.0
North,1,Monday,Summer,0.0,33.0
North,1,Monday,Summer,1.0,44.0
North,1,Monday,Summer,2.0,
North,1,Monday,Winter,0.0,21.0
North,1,Monday,Winter,1.0,
North,1,Monday,Winter,2.0,53.0
North,1,Tuesday,Fall,0.0,
North,1,Tuesday,Fall,1.0,
North,1,Tuesday,Fall,2.0,32.0
North,1,Tuesday,Spring,0.0,17.0
North,1,Tuesday,Spring,1.0,10.0
North,1,Tuesday,Spring,2.0,18.0
North,1,Tuesday,Summer,0.0,24.0
North,1,Tuesday,Summer,1.0,16.0
North,1,Tuesday,Summer,2.0,
North,1,Tuesday,Winter,0.0,7.0
North,1,Tuesday,Winter,1.0,
North,1,Tuesday,Winter,2.0,11.0
North,1,Wednesday,Fall,0.0,11.0
North,1,Wednesday,Fall,1.0,
North,1,Wednesday,Fall,2.0,39.0
North,1,Wednesday,Spring,0.0,26.0
North,1,Wednesday,Spring,1.0,21.0
North,1,Wednesday,Spring,2.0,22.0
North,1,Wednesday,Summer,0.0,28.0
North,1,Wednesday,Summer,1.0,20.0
North,1,Wednesday,Summer,2.0,
North,1,Wednesday,Winter,0.0,17.0
North,1,Wednesday,Winter,1.0,
North,1,Wednesday,Winter,2.0,57.0
North,1,Thursday,Fall,0.0,28.0
North,1,Thursday,Fall,1.0,
North,1,Thursday,Fall,2.0,37.0
North,1,Thursday,Spring,0.0,35.0
North,1,Thursday,Spring,1.0,20.0
North,1,Thursday,Spring,2.0,36.0
North,1,Thursday,Summer,0.0,40.0
