"TimestampUnix","Vehicles","Parkade"
"1717160340",311,"North"
"1717163940",305,"North"
"1717167540",234,"North"
"1717171140",151,"North"
"1717174740",81,"North"
"1717178340",41,"North"
"1717181940",29,"North"
"1717185540",0,"North"
"1717189140",0,"North"
"1717192740",1,"North"
"1717196340",4,"North"
"1717199940",0,"North"
"1717203540",6,"North"
"1717207140",5,"North"
"1717210740",4,"North"
"1717214340",3,"North"
"1717217940",5,"North"
"1717221540",5,"North"
"1717225140",19,"North"
"1717228740",31,"North"
"1717232340",79,"North"
"1717235940",120,"North"
"1717239540",143,"North"
"1717243140",148,"North"
"1717246740",139,"North"
"1717250340",129,"North"
"1717253940",137,"North"
"1717257540",122,"North"
"1717261140",104,"North"
"1717264740",76,"North"
"1717268340",70,"North"
"1717271940",50,"North"
"1717275540",31,"North"
"1717279140",32,"North"
"1717282740",12,"North"
"1717286340",11,"North"
"1717289940",6,"North"
"1717293540",7,"North"
"1717297140",5,"North"
"1717300740",6,"North"
"1717304340",5,"North"
"1717307940",6,"North"
"1717311540",12,"North"
"1717315140",25,"North"
"1717318740",81,"North"
"1717322340",103,"North"
"1717325940",113,"North"
"1717329540",122,"North"
"1717333140",135,"North"
"1717336740",102,"North"
"1717340340",111,"North"
"1717343940",112,"North"
"1717347540",75,"North"
"1717351140",52,"North"
"1717354740",51,"North"
"1717358340",36,"North"
"1717361940",22,"North"
"1717365540",23,"North"
"1717369140",24,"North"
"1717372740",18,"North"
"1717376340",17,"North"
"1717379940",14,"North"
"1717383540",1,"North"
"1717387140",2,"North"
"1717390740",2,"North"
"1717394340",26,"North"
"1717397940",128,"North"
"1717401540",179,"North"
"1717405140",251,"North"
"1717408740",317,"North"
"1717412340",353,"North"
"1717415940",367,"North"
"1717419540",361,"North"
"1717423140",346,"North"
"1717426740",307,"North"
"1717430340",227,"North"
"1717433940",137,"North"
"1717437540",75,"North"
"1717441140",25,"North"
"1717444740",13,"North"
"1717448340",1,"North"
"1717451940",0,"North"
"1717455540",1,"North"
"1717459140",5,"North"
"1717462740",2,"North"
"1717466340",1,"North"
"1717469940",0,"North"
"1717473540",2,"North"
"1717477140",3,"North"
"1717480740",32,"North"
"1717484340",124,"North"
"1717487940",177,"North"
"1717491540",276,"North"
"1717495140",376,"North"
"1717498740",398,"North"
"1717502340",418,"North"
"1717505940",426,"North"
"1717509540",422,"North"
"1717513140",354,"North"
"1717516740",230,"North"
"1717520340",128,"North"
"1717523940",64,"North"
"1717527540",45,"North"
"1717531140",26,"North"
"1717534740",1,"North"
"1717538340",0,"North"
"1717541940",7,"North"
"1717545540",2,"North"
"1717549140",0,"North"
"1717552740",1,"North"
"1717556340",2,"North"
"1717559940",3,"North"
"1717563540",3,"North"
"1717567140",31,"North"
"1717570740",122,"North"
"1717574340",170,"North"
"1717577940",253,"North"
"1717581540",328,"North"
"1717585140",388,"North"
"1717588740",401,"North"
"1717592340",401,"North"
"1717595940",387,"North"
"1717599540",335,"North"
"1717603140",239,"North"
"1717606740",135,"North"
"1717610340",69,"North"
"1717613940",21,"North"
"1717617540",1,"North"
"1717621140",0,"North"
"1717624740",2,"North"
"1717628340",3,"North"
"1717631940",2,"North"
"1717635540",1,"North"
"1717639140",1,"North"
"1717642740",0,"North"
"1717646340",1,"North"
"1717649940",2,"North"
"1717653540",28,"North"
"1717657140",124,"North"
"1717660740",169,"North"
"1717664340",249,"North"
"1717667940",325,"North"
"1717671540",347,"North"
"1717675140",352,"North"
"1717678320",348,"North"
"1717703940",342,"North"
"1717707540",333,"North"
"1717711140",280,"North"
"1717714740",188,"North"
"1717718340",88,"North"
"1717721940",50,"North"
"1717725540",28,"North"
"1717729140",9,"North"
"1717732740",0,"North"
"1717736340",1,"North"
"1717739940",0,"North"
"1717743540",3,"North"
"1717747140",2,"North"
"1717750740",4,"North"
"1717754340",5,"North"
"1717757940",5,"North"
"1717761540",6,"North"
"1717765140",35,"North"
"1717768740",123,"North"
"1717772340",141,"North"
"1717775940",212,"North"
"1717779540",268,"North"
"1717783140",282,"North"
"1717786740",291,"North"
"1717790340",283,"North"
"1717793940",262,"North"
"1717797540",227,"North"
"1717801140",150,"North"
"1717804740",80,"North"
"1717808340",17,"North"
"1717811940",0,"North"
"1717815540",1,"North"
"1717819140",0,"North"
"1717822740",0,"North"
"1717826340",0,"North"
"1717829940",3,"North"
"1717833540",3,"North"
"1717837140",6,"North"
"1717840740",8,"North"
"1717844340",10,"North"
"1717847940",11,"North"
"1717851540",13,"North"
"1717855140",21,"North"
"1717858740",27,"North"
"1717862340",34,"North"
"1717865940",51,"North"
"1717869540",57,"North"
"1717873140",68,"North"
"1717876740",56,"North"
"1717880340",47,"North"
"1717883940",44,"North"
"1717887540",28,"North"
"1717891140",15,"North"
"1717894740",10,"North"
"1717898340",3,"North"
"1717901940",3,"North"
"1717905540",6,"North"
"1717909140",8,"North"
"1717912740",3,"North"
"1717916340",0,"North"
"1717919940",7,"North"
"1717923540",9,"North"
"1717927140",10,"North"
"1717930740",10,"North"
"1717934340",11,"North"
"1717937940",12,"North"
"1717941540",9,"North"
"1717945140",13,"North"
"1717948740",28,"North"
"1717952340",32,"North"
"1717955940",33,"North"
"1717959540",33,"North"
"1717963140",39,"North"
"1717966740",28,"North"
"1717970340",30,"North"
"1717973940",35,"North"
"1717977540",23,"North"
"1717981140",4,"North"
"1717984740",0,"North"
"1717988340",1,"North"
"1717991940",0,"North"
"1717995540",2,"North"
"1717999140",1,"North"
"1718002740",6,"North"
"1718006340",11,"North"
"1718009940",11,"North"
"1718013540",0,"North"
"1718017140",1,"North"
"1718020740",5,"North"
"1718024340",34,"North"
"1718027940",123,"North"
"1718031540",157,"North"
"1718035140",233,"North"
"1718038740",309,"North"
"1718042340",344,"North"
"1718045940",364,"North"
"1718049540",355,"North"
"1718053140",347,"North"
"1718056740",308,"North"
"1718060340",219,"North"
"1718063940",135,"North"
"1718067540",79,"North"
"1718071140",38,"North"
"1718074740",25,"North"
"1718078340",15,"North"
"1718081940",1,"North"
"1718085540",0,"North"
"1718089140",3,"North"
"1718092740",0,"North"
"1718096340",1,"North"
"1718099940",0,"North"
"1718103540",1,"North"
"1718107140",3,"North"
"1718110740",30,"North"
"1718114340",114,"North"
"1718117940",154,"North"
"1718121540",238,"North"
"1718125140",332,"North"
"1718128740",363,"North"
"1718132340",365,"North"
"1718135940",363,"North"
"1718139540",347,"North"
"1718143140",290,"North"
"1718146740",196,"North"
"1718150340",91,"North"
"1718153940",35,"North"
"1718157540",2,"North"
"1718161140",0,"North"
"1718164740",1,"North"
"1718168340",0,"North"
"1718171940",0,"North"
"1718175540",2,"North"
"1718179140",2,"North"
"1718182740",0,"North"
"1718186340",1,"North"
"1718189940",3,"North"
"1718193540",4,"North"
"1718197140",28,"North"
"1718200740",121,"North"
"1718204340",182,"North"
"1718207940",257,"North"
"1718211540",335,"North"
"1718215140",366,"North"
"1718218740",370,"North"
"1718222340",375,"North"
"1718225940",380,"North"
"1718229540",313,"North"
"1718233140",213,"North"
"1718236740",147,"North"
"1718240340",76,"North"
"1718243940",43,"North"
"1718247540",38,"North"
"1718251140",17,"North"
"1718254740",1,"North"
"1718258340",0,"North"
"1718261940",2,"North"
"1718265540",2,"North"
"1718269140",0,"North"
"1718272740",0,"North"
"1718276340",0,"North"
"1718279940",1,"North"
"1718283540",31,"North"
"1718287140",117,"North"
"1718290740",165,"North"
"1718294340",259,"North"
"1718297940",338,"North"
"1718301540",359,"North"
"1718305140",366,"North"
"1718308740",364,"North"
"1718312340",352,"North"
"1718315940",287,"North"
"1718319540",187,"North"
"1718323140",90,"North"
"1718326740",25,"North"
"1718330340",5,"North"
"1718333940",0,"North"
"1718337540",0,"North"
"1718341140",1,"North"
"1718344740",0,"North"
"1718348340",3,"North"
"1718351940",2,"North"
"1718355540",1,"North"
"1718359140",0,"North"
"1718362740",0,"North"
"1718366340",2,"North"
"1718369940",33,"North"
"1718373540",106,"North"
"1718377140",148,"North"
"1718380740",215,"North"
"1718384340",280,"North"
"1718387940",309,"North"
"1718391540",305,"North"
"1718395140",286,"North"
"1718398740",283,"North"
"1718402340",240,"North"
"1718403360",198,"North"
"1718431140",0,"North"
"1718434740",0,"North"
"1718438340",4,"North"
"1718441940",3,"North"
"1718445540",2,"North"
"1718449140",1,"North"
"1718452740",2,"North"
"1718456340",3,"North"
"1718459940",9,"North"
"1718463540",21,"North"
"1718467140",40,"North"
"1718470740",60,"North"
"1718474340",70,"North"
