TimestampUnix,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
1717142340,183,140,16,323,35,158,10
1717145940,252,212,43,490,75,288,19
1717149540,298,266,70,594,100,398,38
1717153140,310,286,87,643,129,430,44
1717156740,313,304,104,653,126,419,52
1717160340,311,310,110,634,133,393,61
1717163940,305,309,102,624,137,399,63
1717167540,234,289,90,570,126,367,62
1717171140,151,195,90,438,95,277,68
1717174740,81,111,49,266,57,167,66
1717178340,41,67,28,171,53,69,81
1717181940,29,40,10,112,57,31,92
1717185540,0,24,9,67,56,18,61
1717189140,0,17,0,49,47,5,36
1717192740,1,22,1,45,25,3,18
1717196340,4,7,5,42,28,0,23
1717199940,0,1,3,13,29,0,19
1717203540,6,0,2,10,29,3,18
1717207140,5,0,2,9,28,3,16
1717210740,4,4,2,9,28,3,16
1717214340,3,5,2,9,28,2,16
1717217940,5,8,3,8,28,2,16
1717221540,5,9,3,13,28,2,16
1717225140,19,12,2,51,28,10,8
1717225200,19,12,2,51,28,10,8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
