stall_name,stall_id,payload_timestamp,status,unix_timestamp
FP-01,418,2024-06-14 07:27:34,vacant,1718375254
FP-02,419,2024-06-14 07:07:12,vacant,1718374032
HP-04,420,2024-06-14 07:44:20,vacant,1718376260
HP-05,421,2024-06-14 07:11:50,vacant,1718374310
HP-03,422,2024-06-14 07:27:10,vacant,1718375230
HP-02,423,2024-06-14 07:39:21,vacant,1718375961
HP-01,424,2024-06-14 07:38:56,vacant,1718375936
HP-10,425,2024-06-14 07:51:04,vacant,1718376664
HP-09,426,2024-06-14 07:40:11,vacant,1718376011
HP-08,427,2024-06-14 07:16:22,vacant,1718374582
HP-07,428,2024-06-14 07:40:07,vacant,1718376007
HP-06,429,2024-06-14 07:24:49,vacant,1718375089
NL-01,430,2024-06-14 07:29:37,vacant,1718375377
NL-02,431,2024-06-14 07:28:33,vacant,1718375313
NL-03,432,2024-06-14 07:23:00,vacant,1718374980
NP-08,434,2024-06-14 06:58:19,vacant,1718373499
NP-07,435,2024-06-14 07:40:10,vacant,1718376010
NP-01,436,2024-06-14 06:55:34,vacant,1718373334
NP-02,437,2024-06-14 07:50:40,vacant,1718376640
NP-03,438,2024-06-14 07:50:05,vacant,1718376605
NP-04,439,2024-06-14 07:42:53,vacant,1718376173
NP-05,440,2024-06-14 07:06:24,vacant,1718373984
NP-06,441,2024-06-14 07:49:16,vacant,1718376556
NP-10,442,2024-06-14 07:47:50,vacant,1718376470
TP-01,443,2024-06-14 07:15:19,vacant,1718374519
TP-02,444,2024-06-14 07:23:48,vacant,1718375028
TP-03,445,2024-06-14 07:36:34,vacant,1718375794
TP-04,446,2024-06-14 07:32:33,vacant,1718375553
TP-05,447,2024-06-14 07:43:06,vacant,1718376186
TP-08,448,2024-06-14 07:43:22,vacant,1718376202
TP-07,449,2024-06-14 07:36:36,vacant,1718375796
TP-06,450,2024-06-14 07:27:13,vacant,1718375233
TP-09,451,2024-06-14 06:59:40,vacant,1718373580
TP-10,452,2024-06-14 07:08:34,vacant,1718374114
TP-11,453,2024-06-14 06:53:31,vacant,1718373211
TP-12,454,2024-06-14 06:56:14,vacant,1718373374
TP-13,455,2024-06-14 07:44:42,vacant,1718376282
TP-14,456,2024-06-14 07:31:08,vacant,1718375468
TP-15,457,2024-06-14 07:27:33,vacant,1718375253
UL-06,458,2024-06-14 07:00:34,vacant,1718373634
UL-05,459,2024-06-14 07:14:01,vacant,1718374441
UL-04,460,2024-06-14 07:44:50,vacant,1718376290
UL-03,461,2024-06-14 07:38:52,vacant,1718375932
UL-02,462,2024-06-14 07:37:46,vacant,1718375866
UL-01,463,2024-06-14 07:32:02,vacant,1718375522
WP-01,464,2024-06-14 07:19:33,vacant,1718374773
WP-02,465,2024-06-14 07:29:26,vacant,1718375366
WP-03,466,2024-06-14 07:39:03,vacant,1718375943
WP-04,467,2024-06-14 07:38:44,vacant,1718375924
WP-10,468,2024-06-14 06:57:20,vacant,1718373440
WP-09,469,2024-06-14 07:02:09,vacant,1718373729
WP-08,470,2024-06-14 07:05:31,vacant,1718373931
WP-07,471,2024-06-14 07:11:21,vacant,1718374281
WP-06,472,2024-06-14 07:02:09,vacant,1718373729
WP-05,473,2024-06-14 07:24:08,vacant,1718375048
AL-07,474,2024-06-14 07:31:13,vacant,1718375473
AL-06,475,2024-06-14 07:27:46,vacant,1718375266
AL-05,476,2024-06-14 07:21:26,vacant,1718374886
AL-01,477,2024-06-14 07:24:56,vacant,1718375096
AL-02,478,2024-06-14 07:14:41,vacant,1718374481
AL-03,479,2024-06-14 06:54:11,vacant,1718373251
ML-01,482,2024-06-14 05:43:43,vacant,1718369023
ML-02,483,2024-06-14 07:41:20,vacant,1718376080
ML-03,484,2024-06-14 07:44:16,vacant,1718376256
CL-03,485,2024-06-14 07:24:59,vacant,1718375099
CL-02,486,2024-06-14 07:27:06,vacant,1718375226
CL-01,487,2024-06-14 07:48:03,vacant,1718376483
Law 1,488,2024-06-14 07:14:26,vacant,1718374466
Law 2,489,2024-06-14 07:05:07,vacant,1718373907
DL-01,490,2024-06-14 07:15:56,vacant,1718374556
FR-02,492,2024-06-14 07:25:12,vacant,1718375112
BR-01,494,2024-06-14 07:53:20,vacant,1718376800
BR-02,495,2024-06-14 06:53:35,vacant,1718373215
MR-01,498,2024-06-14 07:04:48,vacant,1718373888
MR-02,499,2024-06-14 07:04:58,vacant,1718373898
FL-01,500,2024-06-14 07:37:56,vacant,1718375876
TR-01,501,2024-06-14 07:44:44,vacant,1718376284
OL-01,502,2024-06-14 07:22:35,vacant,1718374955
OL-02,503,2024-06-14 07:01:28,vacant,1718373688
OL-03,504,2024-06-14 07:17:44,vacant,1718374664
OL-04,505,2024-06-14 07:05:11,vacant,1718373911
