"Vehicles","TimestampUnix"
35,"1717142340"
75,"1717145940"
100,"1717149540"
129,"1717153140"
126,"1717156740"
133,"1717160340"
137,"1717163940"
126,"1717167540"
95,"1717171140"
57,"1717174740"
53,"1717178340"
57,"1717181940"
56,"1717185540"
47,"1717189140"
25,"1717192740"
28,"1717196340"
29,"1717199940"
29,"1717203540"
28,"1717207140"
28,"1717210740"
28,"1717214340"
28,"1717217940"
28,"1717221540"
28,"1717225140"
28,"1717228740"
40,"1717232340"
44,"1717235940"
47,"1717239540"
51,"1717243140"
56,"1717246740"
54,"1717250340"
51,"1717253940"
48,"1717257540"
50,"1717261140"
43,"1717264740"
45,"1717268340"
58,"1717271940"
56,"1717275540"
24,"1717279140"
25,"1717282740"
26,"1717286340"
25,"1717289940"
25,"1717293540"
26,"1717297140"
26,"1717300740"
26,"1717304340"
25,"1717307940"
26,"1717311540"
28,"1717315140"
39,"1717318740"
42,"1717322340"
44,"1717325940"
49,"1717329540"
49,"1717333140"
50,"1717336740"
51,"1717340340"
48,"1717343940"
45,"1717347540"
36,"1717351140"
31,"1717354740"
29,"1717358340"
30,"1717361940"
31,"1717365540"
32,"1717369140"
32,"1717372740"
30,"1717376340"
30,"1717379940"
30,"1717383540"
0,"1717387140"
0,"1717390740"
1,"1717394340"
8,"1717397940"
29,"1717401540"
96,"1717405140"
133,"1717408740"
149,"1717412340"
155,"1717415940"
153,"1717419540"
160,"1717423140"
147,"1717426740"
128,"1717430340"
72,"1717433940"
44,"1717437540"
29,"1717441140"
19,"1717444740"
13,"1717448340"
8,"1717451940"
5,"1717455540"
3,"1717459140"
3,"1717462740"
2,"1717466340"
3,"1717469940"
3,"1717473540"
3,"1717477140"
1,"1717480740"
13,"1717484340"
35,"1717487940"
129,"1717491540"
203,"1717495140"
227,"1717498740"
232,"1717502340"
230,"1717505940"
227,"1717509540"
217,"1717513140"
187,"1717516740"
101,"1717520340"
41,"1717523940"
27,"1717527540"
10,"1717531140"
5,"1717534740"
2,"1717538340"
3,"1717541940"
2,"1717545540"
3,"1717549140"
3,"1717552740"
1,"1717556340"
1,"1717559940"
2,"1717563540"
1,"1717567140"
5,"1717570740"
5,"1717570800"
