"Vehicles","TimestampUnix"
323,"1717142340"
490,"1717145940"
594,"1717149540"
643,"1717153140"
653,"1717156740"
634,"1717160340"
624,"1717163940"
570,"1717167540"
438,"1717171140"
266,"1717174740"
171,"1717178340"
112,"1717181940"
67,"1717185540"
49,"1717189140"
45,"1717192740"
42,"1717196340"
13,"1717199940"
10,"1717203540"
9,"1717207140"
9,"1717210740"
9,"1717214340"
8,"1717217940"
13,"1717221540"
51,"1717225140"
61,"1717228740"
71,"1717232340"
97,"1717235940"
112,"1717239540"
125,"1717243140"
127,"1717246740"
131,"1717250340"
147,"1717253940"
123,"1717257540"
102,"1717261140"
80,"1717264740"
71,"1717268340"
46,"1717271940"
30,"1717275540"
25,"1717279140"
27,"1717282740"
10,"1717286340"
7,"1717289940"
6,"1717293540"
5,"1717297140"
5,"1717300740"
4,"1717304340"
10,"1717307940"
37,"1717311540"
39,"1717315140"
49,"1717318740"
61,"1717322340"
71,"1717325940"
87,"1717329540"
88,"1717333140"
85,"1717336740"
96,"1717340340"
76,"1717343940"
56,"1717347540"
38,"1717351140"
32,"1717354740"
23,"1717358340"
20,"1717361940"
16,"1717365540"
18,"1717369140"
0,"1717372740"
0,"1717376340"
0,"1717379940"
0,"1717383540"
0,"1717387140"
0,"1717390740"
21,"1717394340"
134,"1717397940"
336,"1717401540"
550,"1717405140"
676,"1717408740"
744,"1717412340"
731,"1717415940"
739,"1717419540"
733,"1717423140"
691,"1717426740"
542,"1717430340"
309,"1717433940"
160,"1717437540"
114,"1717441140"
68,"1717444740"
53,"1717448340"
47,"1717451940"
43,"1717455540"
17,"1717459140"
11,"1717462740"
10,"1717466340"
10,"1717469940"
8,"1717473540"
9,"1717477140"
35,"1717480740"
157,"1717484340"
358,"1717487940"
581,"1717491540"
741,"1717495140"
784,"1717498740"
816,"1717502340"
826,"1717505940"
813,"1717509540"
766,"1717513140"
615,"1717516740"
351,"1717520340"
178,"1717523940"
121,"1717527540"
68,"1717531140"
55,"1717534740"
49,"1717538340"
47,"1717541940"
18,"1717545540"
12,"1717549140"
10,"1717552740"
9,"1717556340"
9,"1717559940"
12,"1717563540"
37,"1717567140"
150,"1717570740"
150,"1717570800"
