"Vehicles","TimestampUnix"
183,"1717142340"
252,"1717145940"
298,"1717149540"
310,"1717153140"
313,"1717156740"
311,"1717160340"
305,"1717163940"
234,"1717167540"
151,"1717171140"
81,"1717174740"
41,"1717178340"
29,"1717181940"
0,"1717185540"
0,"1717189140"
1,"1717192740"
4,"1717196340"
0,"1717199940"
6,"1717203540"
5,"1717207140"
4,"1717210740"
3,"1717214340"
5,"1717217940"
5,"1717221540"
19,"1717225140"
31,"1717228740"
79,"1717232340"
120,"1717235940"
143,"1717239540"
148,"1717243140"
139,"1717246740"
129,"1717250340"
137,"1717253940"
122,"1717257540"
104,"1717261140"
76,"1717264740"
70,"1717268340"
50,"1717271940"
31,"1717275540"
32,"1717279140"
12,"1717282740"
11,"1717286340"
6,"1717289940"
7,"1717293540"
5,"1717297140"
6,"1717300740"
5,"1717304340"
6,"1717307940"
12,"1717311540"
25,"1717315140"
81,"1717318740"
103,"1717322340"
113,"1717325940"
122,"1717329540"
135,"1717333140"
102,"1717336740"
111,"1717340340"
112,"1717343940"
75,"1717347540"
52,"1717351140"
51,"1717354740"
36,"1717358340"
22,"1717361940"
23,"1717365540"
24,"1717369140"
18,"1717372740"
17,"1717376340"
14,"1717379940"
1,"1717383540"
2,"1717387140"
2,"1717390740"
26,"1717394340"
128,"1717397940"
179,"1717401540"
251,"1717405140"
317,"1717408740"
353,"1717412340"
367,"1717415940"
361,"1717419540"
346,"1717423140"
307,"1717426740"
227,"1717430340"
137,"1717433940"
75,"1717437540"
25,"1717441140"
13,"1717444740"
1,"1717448340"
0,"1717451940"
1,"1717455540"
5,"1717459140"
2,"1717462740"
1,"1717466340"
0,"1717469940"
2,"1717473540"
3,"1717477140"
32,"1717480740"
124,"1717484340"
177,"1717487940"
276,"1717491540"
376,"1717495140"
398,"1717498740"
418,"1717502340"
426,"1717505940"
422,"1717509540"
354,"1717513140"
230,"1717516740"
128,"1717520340"
64,"1717523940"
45,"1717527540"
26,"1717531140"
1,"1717534740"
0,"1717538340"
7,"1717541940"
2,"1717545540"
0,"1717549140"
1,"1717552740"
2,"1717556340"
3,"1717559940"
3,"1717563540"
31,"1717567140"
122,"1717570740"
122,"1717570800"
