"Vehicles","TimestampUnix"
158,"1717142340"
288,"1717145940"
398,"1717149540"
430,"1717153140"
419,"1717156740"
393,"1717160340"
399,"1717163940"
367,"1717167540"
277,"1717171140"
167,"1717174740"
69,"1717178340"
31,"1717181940"
18,"1717185540"
5,"1717189140"
3,"1717192740"
0,"1717196340"
0,"1717199940"
3,"1717203540"
3,"1717207140"
3,"1717210740"
2,"1717214340"
2,"1717217940"
2,"1717221540"
10,"1717225140"
19,"1717228740"
33,"1717232340"
45,"1717235940"
57,"1717239540"
51,"1717243140"
52,"1717246740"
46,"1717250340"
44,"1717253940"
29,"1717257540"
25,"1717261140"
20,"1717264740"
15,"1717268340"
7,"1717271940"
5,"1717275540"
4,"1717279140"
3,"1717282740"
3,"1717286340"
4,"1717289940"
3,"1717293540"
4,"1717297140"
5,"1717300740"
5,"1717304340"
5,"1717307940"
6,"1717311540"
15,"1717315140"
28,"1717318740"
34,"1717322340"
31,"1717325940"
29,"1717329540"
30,"1717333140"
31,"1717336740"
31,"1717340340"
25,"1717343940"
24,"1717347540"
17,"1717351140"
13,"1717354740"
14,"1717358340"
6,"1717361940"
10,"1717365540"
10,"1717369140"
5,"1717372740"
4,"1717376340"
4,"1717379940"
0,"1717383540"
0,"1717387140"
1,"1717390740"
14,"1717394340"
72,"1717397940"
159,"1717401540"
336,"1717405140"
459,"1717408740"
500,"1717412340"
507,"1717415940"
501,"1717419540"
492,"1717423140"
448,"1717426740"
370,"1717430340"
208,"1717433940"
90,"1717437540"
40,"1717441140"
35,"1717444740"
31,"1717448340"
23,"1717451940"
8,"1717455540"
5,"1717459140"
4,"1717462740"
5,"1717466340"
6,"1717469940"
6,"1717473540"
6,"1717477140"
17,"1717480740"
78,"1717484340"
172,"1717487940"
359,"1717491540"
505,"1717495140"
558,"1717498740"
573,"1717502340"
575,"1717505940"
571,"1717509540"
507,"1717513140"
403,"1717516740"
229,"1717520340"
116,"1717523940"
79,"1717527540"
53,"1717531140"
33,"1717534740"
21,"1717538340"
9,"1717541940"
1,"1717545540"
0,"1717549140"
0,"1717552740"
1,"1717556340"
1,"1717559940"
1,"1717563540"
19,"1717567140"
76,"1717570740"
77,"1717570800"
