"Vehicles","TimestampUnix"
10,"1717142340"
19,"1717145940"
38,"1717149540"
44,"1717153140"
52,"1717156740"
61,"1717160340"
63,"1717163940"
62,"1717167540"
68,"1717171140"
66,"1717174740"
81,"1717178340"
92,"1717181940"
61,"1717185540"
36,"1717189140"
18,"1717192740"
23,"1717196340"
19,"1717199940"
18,"1717203540"
16,"1717207140"
16,"1717210740"
16,"1717214340"
16,"1717217940"
16,"1717221540"
8,"1717225140"
16,"1717228740"
51,"1717232340"
68,"1717235940"
84,"1717239540"
86,"1717243140"
88,"1717246740"
91,"1717250340"
83,"1717253940"
70,"1717257540"
63,"1717261140"
56,"1717264740"
39,"1717268340"
20,"1717271940"
13,"1717275540"
5,"1717279140"
4,"1717282740"
2,"1717286340"
0,"1717289940"
2,"1717293540"
2,"1717297140"
1,"1717300740"
1,"1717304340"
1,"1717307940"
2,"1717311540"
9,"1717315140"
31,"1717318740"
77,"1717322340"
77,"1717325940"
72,"1717329540"
62,"1717333140"
41,"1717336740"
34,"1717340340"
40,"1717343940"
32,"1717347540"
25,"1717351140"
15,"1717354740"
12,"1717358340"
5,"1717361940"
3,"1717365540"
2,"1717369140"
2,"1717372740"
1,"1717376340"
1,"1717379940"
1,"1717383540"
0,"1717387140"
0,"1717390740"
1,"1717394340"
5,"1717397940"
5,"1717401540"
15,"1717405140"
25,"1717408740"
36,"1717412340"
45,"1717415940"
37,"1717419540"
32,"1717423140"
32,"1717426740"
45,"1717430340"
57,"1717433940"
53,"1717437540"
53,"1717441140"
34,"1717444740"
24,"1717448340"
12,"1717451940"
14,"1717455540"
14,"1717459140"
13,"1717462740"
13,"1717466340"
13,"1717469940"
15,"1717473540"
14,"1717477140"
16,"1717480740"
9,"1717484340"
10,"1717487940"
27,"1717491540"
50,"1717495140"
65,"1717498740"
65,"1717502340"
78,"1717505940"
71,"1717509540"
52,"1717513140"
37,"1717516740"
38,"1717520340"
43,"1717523940"
56,"1717527540"
51,"1717531140"
25,"1717534740"
12,"1717538340"
16,"1717541940"
16,"1717545540"
16,"1717549140"
14,"1717552740"
14,"1717556340"
14,"1717559940"
15,"1717563540"
15,"1717567140"
6,"1717570740"
5,"1717570800"
