"Vehicles","TimestampUnix"
140,"1717142340"
212,"1717145940"
266,"1717149540"
286,"1717153140"
304,"1717156740"
310,"1717160340"
309,"1717163940"
289,"1717167540"
195,"1717171140"
111,"1717174740"
67,"1717178340"
40,"1717181940"
24,"1717185540"
17,"1717189140"
22,"1717192740"
7,"1717196340"
1,"1717199940"
0,"1717203540"
0,"1717207140"
4,"1717210740"
5,"1717214340"
8,"1717217940"
9,"1717221540"
12,"1717225140"
23,"1717228740"
36,"1717232340"
41,"1717235940"
45,"1717239540"
55,"1717243140"
48,"1717246740"
44,"1717250340"
46,"1717253940"
34,"1717257540"
17,"1717261140"
12,"1717264740"
2,"1717268340"
1,"1717271940"
0,"1717275540"
3,"1717279140"
8,"1717282740"
14,"1717286340"
12,"1717289940"
16,"1717293540"
14,"1717297140"
14,"1717300740"
15,"1717304340"
17,"1717307940"
18,"1717311540"
23,"1717315140"
42,"1717318740"
52,"1717322340"
53,"1717325940"
33,"1717329540"
40,"1717333140"
43,"1717336740"
37,"1717340340"
37,"1717343940"
13,"1717347540"
17,"1717351140"
19,"1717354740"
21,"1717358340"
26,"1717361940"
25,"1717365540"
26,"1717369140"
25,"1717372740"
23,"1717376340"
24,"1717379940"
0,"1717383540"
0,"1717387140"
0,"1717390740"
11,"1717394340"
81,"1717397940"
159,"1717401540"
314,"1717405140"
409,"1717408740"
444,"1717412340"
451,"1717415940"
444,"1717419540"
453,"1717423140"
435,"1717426740"
314,"1717430340"
179,"1717433940"
100,"1717437540"
80,"1717441140"
54,"1717444740"
39,"1717448340"
22,"1717451940"
3,"1717455540"
0,"1717459140"
1,"1717462740"
2,"1717466340"
3,"1717469940"
4,"1717473540"
4,"1717477140"
21,"1717480740"
105,"1717484340"
186,"1717487940"
341,"1717491540"
469,"1717495140"
501,"1717498740"
492,"1717502340"
496,"1717505940"
498,"1717509540"
473,"1717513140"
339,"1717516740"
181,"1717520340"
121,"1717523940"
96,"1717527540"
53,"1717531140"
43,"1717534740"
26,"1717538340"
12,"1717541940"
14,"1717545540"
9,"1717549140"
11,"1717552740"
12,"1717556340"
11,"1717559940"
12,"1717563540"
23,"1717567140"
111,"1717570740"
112,"1717570800"
