stall_id,stall_name,status,payload_timestamp
418,FP-01,vacant,2024-08-12 15:27:42
419,FP-02,vacant,2024-08-12 16:05:58
420,HP-04,occupied,2024-08-12 15:38:54
421,HP-05,vacant,2024-08-12 16:12:22
422,HP-03,vacant,2024-08-12 15:38:53
423,HP-02,occupied,2024-08-12 15:39:25
424,HP-01,vacant,2024-08-12 15:38:49
425,HP-10,vacant,2024-08-12 14:52:59
426,HP-09,occupied,2024-08-12 14:46:51
427,HP-08,vacant,2024-08-12 15:17:10
428,HP-07,occupied,2024-08-12 15:40:29
429,HP-06,vacant,2024-08-12 16:07:31
430,NL-01,vacant,2024-08-12 15:29:29
431,NL-02,vacant,2024-08-12 15:28:44
432,NL-03,vacant,2024-08-12 15:29:38
434,NP-08,vacant,2024-08-12 15:01:03
435,NP-07,vacant,2024-08-12 15:51:41
436,NP-01,vacant,2024-08-12 15:01:32
437,NP-02,vacant,2024-08-12 16:06:09
438,NP-03,occupied,2024-08-12 15:49:46
439,NP-04,vacant,2024-08-12 15:43:28
440,NP-05,occupied,2024-08-12 16:07:05
441,NP-06,vacant,2024-08-12 15:50:04
442,NP-10,vacant,2024-08-12 15:21:16
443,TP-01,occupied,2024-08-12 14:56:23
444,TP-02,vacant,2024-08-12 14:39:37
445,TP-03,vacant,2024-08-12 15:37:14
446,TP-04,occupied,2024-08-12 15:32:23
447,TP-05,vacant,2024-08-12 15:43:37
448,TP-08,vacant,2024-08-12 15:44:31
449,TP-07,occupied,2024-08-12 15:36:32
450,TP-06,vacant,2024-08-12 15:27:26
451,TP-09,vacant,2024-08-12 16:00:03
452,TP-10,vacant,2024-08-12 16:09:19
453,TP-11,vacant,2024-08-12 15:53:27
454,TP-12,vacant,2024-08-12 15:56:07
455,TP-13,vacant,2024-08-12 15:45:04
456,TP-14,vacant,2024-08-12 15:31:24
457,TP-15,vacant,2024-08-12 15:27:31
458,UL-06,vacant,2024-08-12 16:00:25
459,UL-05,vacant,2024-08-12 15:14:05
460,UL-04,vacant,2024-08-12 15:44:51
461,UL-03,vacant,2024-08-12 15:38:39
462,UL-02,vacant,2024-08-12 15:37:55
463,UL-01,vacant,2024-08-12 15:54:15
464,WP-01,occupied,2024-08-12 15:19:45
465,WP-02,vacant,2024-08-12 15:29:28
466,WP-03,vacant,2024-08-12 16:00:19
467,WP-04,occupied,2024-08-12 15:38:54
468,WP-10,occupied,2024-08-12 15:18:03
469,WP-09,vacant,2024-08-12 16:02:31
470,WP-08,vacant,2024-08-12 16:05:47
471,WP-07,occupied,2024-08-12 16:11:39
472,WP-06,vacant,2024-08-12 16:02:06
473,WP-05,vacant,2024-08-12 15:24:43
474,AL-07,occupied,2024-08-12 15:38:33
475,AL-06,occupied,2024-08-12 14:46:40
476,AL-05,vacant,2024-08-12 14:28:52
477,AL-01,vacant,2024-08-12 16:08:32
478,AL-02,vacant,2024-08-12 14:15:21
479,AL-03,vacant,2024-08-12 15:54:22
480,AL-04,vacant,2024-08-12 15:59:42
482,ML-01,vacant,2024-08-12 15:43:32
483,ML-02,vacant,2024-08-12 15:19:16
484,ML-03,vacant,2024-08-12 15:39:32
485,CL-03,vacant,2024-08-12 15:25:14
486,CL-02,vacant,2024-08-12 15:26:30
487,CL-01,vacant,2024-08-12 15:48:29
488,Law 1,vacant,2024-08-12 14:37:05
489,Law 2,vacant,2024-08-12 16:03:08
490,DL-01,vacant,2024-08-12 15:16:14
492,FR-02,vacant,2024-08-12 15:24:28
494,BR-01,vacant,2024-08-12 16:01:21
495,BR-02,vacant,2024-08-12 15:53:53
496,UR-01,occupied,2024-08-12 15:26:48
498,MR-01,vacant,2024-08-12 15:48:15
499,MR-02,occupied,2024-08-12 16:05:30
500,FL-01,vacant,2024-08-12 15:23:32
501,TR-01,vacant,2024-08-12 15:44:55
502,OL-01,vacant,2024-08-12 15:22:21
503,OL-02,vacant,2024-08-12 16:01:40
504,OL-03,vacant,2024-08-12 15:18:24
505,OL-04,vacant,2024-08-12 15:12:32
506,OL-05,vacant,2024-08-12 15:12:32
507,AR-01,vacant,2024-08-12 15:43:53
509,SL-01,vacant,2024-08-12 16:08:52
510,SL-04,vacant,2024-08-12 15:17:26
511,SL-03,vacant,2024-08-12 16:13:42
514,SL-02,vacant,2024-08-12 15:16:26
2005,CG-1,vacant,2024-08-12 15:33:56
2006,CG-2,vacant,2024-08-12 15:35:27
2007,CG-3,vacant,2024-08-12 15:42:58
2008,CG-4,vacant,2024-08-12 15:29:16
2009,RG3-1,vacant,2024-08-12 15:48:24
2012,RG5-1,vacant,2024-08-12 15:27:09
2013,RG5-2,vacant,2024-08-12 15:31:23
2014,RG5-3,vacant,2024-08-12 15:23:33
2015,RG5-4,vacant,2024-08-12 15:30:10
2016,RG5-5,vacant,2024-08-12 15:27:24
2017,RG5-6,occupied,2024-08-12 15:22:40
2018,RG5-7,vacant,2024-08-12 15:49:16
2019,RG5-8,vacant,2024-08-12 15:43:57
2020,RG5-9,vacant,2024-08-12 15:40:51
2085,BM-17,vacant,2024-08-12 16:02:08
2086,BM-18,vacant,2024-08-12 16:06:08
3432,New-02,vacant,2024-08-12 15:30:19
3436,New-06,vacant,2024-08-12 15:48:07
3437,New-07,vacant,2024-08-12 15:57:44
3438,New-08,vacant,2024-08-12 15:52:13
3439,New-09,vacant,2024-08-12 15:57:06
3440,New-10,vacant,2024-08-12 15:47:09
3441,New-11,vacant,2024-08-12 15:59:38
3442,New-12,vacant,2024-08-12 16:06:11
3454,New-16,vacant,2024-08-12 15:39:04
3455,New-17,vacant,2024-08-12 15:47:59
3456,New-18,vacant,2024-08-12 15:46:19
3457,New-01,vacant,2024-08-12 15:26:35
3458,New-03,vacant,2024-08-12 15:24:00
3459,New-04,vacant,2024-08-12 15:22:50
3460,New-05,vacant,2024-08-12 15:38:14
3461,New-19,vacant,2024-08-12 15:17:39
3462,New-20,vacant,2024-08-12 16:09:49
4228,HSM-1,occupied,2024-08-12 15:32:44
4229,HSM-2,vacant,2024-08-12 15:38:37
4230,HSM-3,vacant,2024-08-12 16:00:41
4691,EMR-01,vacant,2024-08-12 15:17:21
4692,EMR-02,occupied,2024-08-12 15:39:46
4693,EMR-03,vacant,2024-08-12 15:43:46
4694,EMR-04,vacant,2024-08-12 15:46:21
4695,EMR-05,vacant,2024-08-12 15:59:19
4696,EMR-06,occupied,2024-08-12 15:46:51
4697,EMR-07,vacant,2024-08-12 15:49:57
4698,EMR-08,vacant,2024-08-12 16:04:08
4699,EMR-09,vacant,2024-08-12 16:04:09
4700,EMR-10,vacant,2024-08-12 15:58:55
4701,EMR-11,vacant,2024-08-12 16:03:00
4702,EMR-12,vacant,2024-08-12 16:07:14
4703,EMR-13,vacant,2024-08-12 16:03:26
4704,EMR-14,vacant,2024-08-12 15:56:33
4705,EMR-15,vacant,2024-08-12 16:06:07
4706,EMR-16,occupied,2024-08-12 16:07:42
4707,EMR-17,occupied,2024-08-12 16:04:07
4708,EMR-18,vacant,2024-08-12 16:10:35
4709,EMR-19,vacant,2024-08-12 16:13:07
4710,EMR-20,vacant,2024-08-12 16:09:04
4711,EMR-21,vacant,2024-08-12 15:15:44
4712,EMR-22,vacant,2024-08-12 15:55:07
4713,EMR-23,vacant,2024-08-12 15:14:42
4714,EMR-24,vacant,2024-08-12 16:12:07
4715,EMR-25,vacant,2024-08-12 15:14:24
4716,EMR-26,vacant,2024-08-12 15:16:25
4717,EMR-27,vacant,2024-08-12 15:00:12
4718,EMR-28,vacant,2024-08-12 15:20:09
4719,EMR-29,vacant,2024-08-12 15:21:19
4720,EMR-30,vacant,2024-08-12 15:22:49
4721,EMR-31,vacant,2024-08-12 15:28:41
4722,EMR-32,vacant,2024-08-12 16:08:29
4723,EMR-33,vacant,2024-08-12 15:51:39
4724,EMR-34,vacant,2024-08-12 15:52:36
4725,EMR-35,vacant,2024-08-12 14:40:51
4726,EMR-36,vacant,2024-08-12 15:47:03
4727,EMR-37,vacant,2024-08-12 15:45:32
4728,EMR-38,vacant,2024-08-12 15:52:04
4729,EMR-39,vacant,2024-08-12 16:06:50
4730,EMR-40,vacant,2024-08-12 16:10:45
4731,EMR-41,vacant,2024-08-12 16:02:28
4732,EMR-42,vacant,2024-08-12 15:55:27
4733,EMR-43,vacant,2024-08-12 15:58:04
4734,EMR-44,vacant,2024-08-12 16:11:05
4735,EMR-45,vacant,2024-08-12 16:11:31
4736,EMR-46,vacant,2024-08-12 16:00:56
4737,EMR-47,vacant,2024-08-12 15:57:30
4738,EMR-48,vacant,2024-08-12 15:53:10
4739,EMR-49,vacant,2024-08-12 16:10:30
4740,EMR-50,occupied,2024-08-12 15:56:16
4741,EMR-51,vacant,2024-08-12 15:56:35
4742,EMR-52,vacant,2024-08-12 15:52:48
4743,EMR-53,occupied,2024-08-12 16:09:15
4744,EMR-54,occupied,2024-08-12 16:01:43
4745,EMR-55,vacant,2024-08-12 16:06:08
4746,EMR-56,occupied,2024-08-12 15:59:22
4747,EMR-57,vacant,2024-08-12 16:06:37
4748,EMR-58,vacant,2024-08-12 16:04:53
4749,EMR-59,vacant,2024-08-12 16:03:56
4750,EMR-60,occupied,2024-08-12 15:59:26
4751,EMR-61,vacant,2024-08-12 16:08:44
4752,EMR-62,vacant,2024-08-12 16:11:37
4753,EMR-63,vacant,2024-08-12 15:44:21
4754,EMR-64,vacant,2024-08-12 16:04:05
4755,EMR-65,vacant,2024-08-12 15:44:34
4756,EMR-66,vacant,2024-08-12 16:06:17
4757,EMR-67,occupied,2024-08-12 15:52:15
4758,EMR-68,vacant,2024-08-12 16:00:37
4759,EMR-69,vacant,2024-08-12 16:05:22
4760,EMR-70,vacant,2024-08-12 16:02:17
4761,EMR-71,vacant,2024-08-12 16:09:57
4762,EMR-72,vacant,2024-08-12 16:07:17
4812,EMR-073,occupied,2024-08-12 15:26:14
4813,EMR-074,vacant,2024-08-12 15:31:34
4814,EMR-075,vacant,2024-08-12 15:34:31
4815,EMR-076,vacant,2024-08-12 15:03:14
4816,EMR-077,vacant,2024-08-12 15:38:51
4817,EMR-078,vacant,2024-08-12 15:32:40
4818,EMR-079,vacant,2024-08-12 16:04:06
4819,EMR-080,vacant,2024-08-12 15:42:46
4820,EMR-081,occupied,2024-08-12 16:07:03
4821,EMR-082,vacant,2024-08-12 15:42:08
4822,EMR-083,vacant,2024-08-12 15:48:00
4823,EMR-084,vacant,2024-08-12 15:53:14
4824,EMR-085,vacant,2024-08-12 15:52:35
4825,EMR-086,vacant,2024-08-12 15:51:03
4826,EMR-087,vacant,2024-08-12 15:53:55
4827,EMR-088,vacant,2024-08-12 15:48:05
4828,EMR-089,occupied,2024-08-12 15:56:02
4829,EMR-090,vacant,2024-08-12 15:57:32
4830,EMR-091,vacant,2024-08-12 16:06:33
4831,EMR-092,vacant,2024-08-12 16:07:07
4889,LMR-01,vacant,2024-08-12 15:57:04
4890,LMR-02,vacant,2024-08-12 15:11:26
4891,LMR-03,vacant,2024-08-12 16:04:55
4892,WMR-01,vacant,2024-08-12 16:10:07
4893,WMR-02,occupied,2024-08-12 16:12:11
4894,WMR-03,vacant,2024-08-12 16:07:14
4895,WMR-04,occupied,2024-08-12 16:10:16
4897,Law-3,vacant,2024-08-12 15:45:42
4898,Law-4,vacant,2024-08-12 15:18:57
5116,OL-06,vacant,2024-08-12 15:56:05
5117,OL-07,vacant,2024-08-12 15:57:45
5118,OL-08,vacant,2024-08-12 16:03:50
