zone_display_name,zone_id,stall_id,stall_display_name,longitude,latitude,device_eui,linked_date
ACU,79,474,AL-07,-123.24488738335,49.264741979084,70b3b514900b194d,2022-08-15 20:47:19
ACU,79,475,AL-06,-123.24494102753,49.264723163192,70b3b514900b177c,2022-08-12 22:19:23
ACU,79,476,AL-05,-123.24499735109,49.264703034555,70b3b514900b1a05,2022-08-12 22:18:31
ACU,79,477,AL-01,-123.2453949914,49.264846560308,70b3b514900b15b4,2022-08-12 22:13:36
ACU,79,478,AL-02,-123.24533732391,49.264865813731,70b3b514900b16de,2022-08-12 22:11:19
ACU,79,479,AL-03,-123.24526490426,49.264889442922,70b3b514900b134a,2022-08-12 17:48:25
ACU,79,480,AL-04,-123.24520589567,49.264906946018,70b3b514900b1597,2022-08-12 17:45:46
Fraser River,80,418,FP-01,-123.25798092014,49.266378884324,70b3b514900b1810,2022-01-21 20:02:25
Fraser River,80,419,FP-02,-123.25791788822,49.266404263046,70b3b514900b18bc,2022-01-21 19:58:23
Fraser River,80,1958,FP-1A,-123.25801176554,49.266366632522,,
Fraser River,80,1959,FP-2A,-123.25794940418,49.266390479776,,
Fraser River - Level 2,81,418,FP-01,-123.25798092014,49.266378884324,70b3b514900b1810,2022-01-21 20:02:25
Fraser River - Level 2,81,419,FP-02,-123.25791788822,49.266404263046,70b3b514900b18bc,2022-01-21 19:58:23
Fraser River - Level 2,81,1958,FP-1A,-123.25801176554,49.266366632522,,
Fraser River - Level 2,81,1959,FP-2A,-123.25794940418,49.266390479776,,
Health Sciences,82,420,HP-04,-123.24740931646,49.263186702426,70b3b514900b1960,2022-02-08 16:33:25
Health Sciences,82,421,HP-05,-123.24737780051,49.263198079832,70b3b514900b1947,2022-02-07 22:57:50
Health Sciences,82,422,HP-03,-123.2474187042,49.263231336851,70b3b514900b1996,2022-02-07 20:29:32
Health Sciences,82,423,HP-02,-123.24743613855,49.263253216456,70b3b514900b1586,2022-02-07 20:19:02
Health Sciences,82,424,HP-01,-123.24745156126,49.263271595317,70b3b514900b18ee,2022-02-07 19:53:14
Health Sciences,82,425,HP-10,-123.24721452104,49.263185170852,70b3b514900b19e7,2022-02-07 22:19:10
Health Sciences,82,426,HP-09,-123.24723162012,49.263204206127,70b3b514900b19b3,2022-02-07 22:26:02
Health Sciences,82,427,HP-08,-123.24724737809,49.263222803803,70b3b514900b16c3,2022-02-07 19:57:46
Health Sciences,82,428,HP-07,-123.2472628008,49.26324030749,70b3b514900b195d,2022-02-08 16:35:33
Health Sciences,82,429,HP-06,-123.24727788822,49.263259342744,70b3b514900b19ab,2022-02-07 22:20:45
Health Sciences - Ground Level,83,420,HP-04,-123.24740931646,49.263186702426,70b3b514900b1960,2022-02-08 16:33:25
Health Sciences - Ground Level,83,421,HP-05,-123.24737780051,49.263198079832,70b3b514900b1947,2022-02-07 22:57:50
Health Sciences - Ground Level,83,422,HP-03,-123.2474187042,49.263231336851,70b3b514900b1996,2022-02-07 20:29:32
Health Sciences - Ground Level,83,423,HP-02,-123.24743613855,49.263253216456,70b3b514900b1586,2022-02-07 20:19:02
Health Sciences - Ground Level,83,424,HP-01,-123.24745156126,49.263271595317,70b3b514900b18ee,2022-02-07 19:53:14
Health Sciences - Ground Level,83,425,HP-10,-123.24721452104,49.263185170852,70b3b514900b19e7,2022-02-07 22:19:10
Health Sciences - Ground Level,83,426,HP-09,-123.24723162012,49.263204206127,70b3b514900b19b3,2022-02-07 22:26:02
Health Sciences - Ground Level,83,427,HP-08,-123.24724737809,49.263222803803,70b3b514900b16c3,2022-02-07 19:57:46
Health Sciences - Ground Level,83,428,HP-07,-123.2472628008,49.26324030749,70b3b514900b195d,2022-02-08 16:35:33
Health Sciences - Ground Level,83,429,HP-06,-123.24727788822,49.263259342744,70b3b514900b19ab,2022-02-07 22:20:45
Nest,84,430,NL-01,-123.24946332391,49.266005013052,70b3b514900b19ea,2022-08-12 17:30:44
Nest,84,431,NL-02,-123.24945024814,49.265982697099,70b3b514900b19df,2022-08-12 15:22:24
Nest,84,432,NL-03,-123.24943516072,49.26596059992,70b3b514900b1418,2022-08-12 15:19:28
North,85,433,NP-09,-123.25091924288,49.268606389908,,
North,85,434,NP-08,-123.25095008829,49.268595888838,70b3b514900b15fb,2021-12-10 23:37:10
North,85,435,NP-07,-123.2509822748,49.268584512676,70b3b514900b1829,2021-12-13 23:56:38
North,85,436,NP-01,-123.25155894974,49.269196196415,70b3b514900b15d5,2021-12-16 20:34:37
North,85,437,NP-02,-123.25151335219,49.269211947828,70b3b514900b1697,2021-12-14 23:42:11
North,85,438,NP-03,-123.25146775463,49.269226824157,70b3b514900b1963,2021-12-15 23:02:48
North,85,439,NP-04,-123.25140740493,49.269247826026,70b3b514900b1973,2021-12-15 23:04:16
North,85,440,NP-05,-123.25136583069,49.269262702345,70b3b514900b193c,2021-12-15 23:06:28
North,85,441,NP-06,-123.25132023314,49.269278453736,70b3b514900b17b8,2021-12-15 23:09:19
North,85,442,NP-10,-123.25041364649,49.268862790339,70b3b514900b15b8,2021-12-14 23:06:52
TBird,86,443,TP-01,-123.24391235218,49.261680901688,70b3b514900b189a,2021-12-09 19:47:22
TBird,86,444,TP-02,-123.24386071966,49.261698405923,70b3b514900b1695,2021-12-16 22:46:09
TBird,86,445,TP-03,-123.24380707548,49.261717222969,70b3b514900b1837,2021-12-10 19:41:51
TBird,86,446,TP-04,-123.24375678406,49.261736040007,70b3b514900b186d,2024-03-08 21:33:25
