stall_id,device_eui,payload_timestamp,status,battery_percentage,battery_voltage,temperature,new_car
474,70b3b514900b194d,2024-06-11 17:31:13,occupied,,,16.2,0
475,70b3b514900b177c,2024-06-11 17:27:50,occupied,,,20,0
476,70b3b514900b1a05,2024-06-11 16:59:16,occupied,,,,0
477,70b3b514900b15b4,2024-06-11 17:15:48,occupied,,,,1
478,70b3b514900b16de,2024-06-11 17:56:09,occupied,,,,1
479,70b3b514900b134a,2024-06-11 17:31:06,occupied,,,,1
480,70b3b514900b1597,2024-06-09 23:51:37,vacant,,,47.5,
418,70b3b514900b1810,2024-06-11 17:27:33,occupied,,,13.9,0
419,70b3b514900b18bc,2024-06-11 18:07:15,vacant,,,13.4,
420,70b3b514900b1960,2024-06-11 17:44:18,occupied,,,11.7,0
421,70b3b514900b1947,2024-06-11 18:11:48,occupied,,,10.2,0
422,70b3b514900b1996,2024-06-11 17:50:16,occupied,,,,1
423,70b3b514900b1586,2024-06-11 17:39:21,vacant,,,13.3,
424,70b3b514900b18ee,2024-06-11 17:38:52,vacant,,,13.2,
425,70b3b514900b19e7,2024-06-11 17:51:03,occupied,,,13.6,0
426,70b3b514900b19b3,2024-06-11 17:40:10,occupied,,,12.7,0
427,70b3b514900b16c3,2024-06-11 18:16:20,occupied,,,12.7,0
428,70b3b514900b195d,2024-06-11 17:40:06,occupied,,,13.5,0
429,70b3b514900b19ab,2024-06-11 17:28:39,occupied,,,,1
430,70b3b514900b19ea,2024-06-11 18:07:36,vacant,,,,
431,70b3b514900b19df,2024-06-11 17:28:33,vacant,,,19.8,
432,70b3b514900b1418,2024-06-11 17:23:01,vacant,,,15.9,
434,70b3b514900b15fb,2024-06-11 17:58:19,occupied,,,13.7,0
435,70b3b514900b1829,2024-06-11 17:40:10,occupied,,,13.6,0
436,70b3b514900b15d5,2024-06-11 17:55:32,vacant,,,12.6,
437,70b3b514900b1697,2024-06-11 17:50:40,vacant,,,12.5,
438,70b3b514900b1963,2024-06-11 17:50:05,occupied,,,12.4,0
439,70b3b514900b1973,2024-06-11 17:42:50,vacant,,,10.6,
440,70b3b514900b193c,2024-06-11 18:06:21,vacant,,,10.9,
441,70b3b514900b17b8,2024-06-11 17:49:14,vacant,,,12.9,
442,70b3b514900b15b8,2024-06-11 17:47:49,occupied,,,12.7,0
443,70b3b514900b189a,2024-06-11 18:15:24,occupied,,,16,0
444,70b3b514900b1695,2024-06-11 17:35:25,occupied,,,,1
445,70b3b514900b1837,2024-06-11 17:36:32,occupied,,,12.4,0
446,70b3b514900b186d,2024-06-11 17:32:34,vacant,,,12.4,
447,70b3b514900b160c,2024-06-11 17:43:05,vacant,,,12.2,
448,70b3b514900b1948,2024-06-11 17:43:15,vacant,,,11.7,
449,70b3b514900b197a,2024-06-11 17:36:37,vacant,,,13.2,
450,70b3b514900b189e,2024-06-11 17:27:12,vacant,,,13,
451,70b3b514900b17f5,2024-06-11 17:47:51,vacant,,,,
452,70b3b514900b1855,2024-06-11 17:49:33,vacant,,,,
453,70b3b514900b168a,2024-06-11 17:35:56,occupied,,,,0
454,70b3b514900b1ac7,2024-06-11 18:00:31,vacant,,,,
455,70b3b514900b15ea,2024-06-11 17:10:48,occupied,,,,0
456,70b3b514900b1828,2024-06-11 17:18:52,occupied,,,,0
457,70b3b514900b1873,2024-06-11 17:27:32,vacant,,,12.4,
3461,70b3b514900b1763,2024-06-11 18:00:33,vacant,,,12.2,
3462,70b3b514900b1402,2024-06-11 18:09:56,vacant,,,14.4,
458,70b3b514900b16e3,2024-06-11 18:00:34,vacant,,,16.9,
459,70b3b514900b18be,2024-06-11 18:14:01,vacant,,,16.4,
460,70b3b514900b189b,2024-06-11 18:16:03,vacant,,,,1
461,70b3b514900b18c4,2024-06-11 18:01:47,occupied,,,,1
462,70b3b514900b1903,2024-06-11 17:37:46,vacant,,,15.4,
463,70b3b514900b17bf,2024-06-11 17:32:00,vacant,,,17.8,
464,70b3b514900b193b,2024-06-11 17:19:32,occupied,,,12.2,0
465,70b3b514900b16a3,2024-06-11 17:29:19,occupied,,,13.5,0
466,70b3b514900b188a,2024-06-11 17:39:04,occupied,,,13.2,0
467,70b3b514900b1700,2024-06-11 17:38:44,occupied,,,14,0
468,70b3b514900b196b,2024-06-11 17:57:20,vacant,,,14.7,
469,70b3b514900b17cd,2024-06-11 18:02:13,vacant,,,14.4,
470,70b3b514900b1730,2024-06-11 18:05:31,vacant,,,13.9,
471,70b3b514900b1770,2024-06-11 18:11:19,vacant,,,14.5,
472,70b3b514900b17a6,2024-06-11 18:02:10,vacant,,,12.7,
473,70b3b514900b178d,2024-06-11 17:24:05,vacant,97,,15.2,
500,70b3b514900b13f3,2024-06-11 17:37:55,vacant,,,22.6,
501,70b3b514900b1a09,2024-06-11 17:44:44,vacant,,,20.9,
507,70b3b514900b1348,2024-06-11 17:43:20,vacant,,,23.3,
3437,70b3b514900b1341,2024-06-11 17:56:42,vacant,,,20.9,
3438,70b3b514900b1427,2024-06-11 17:51:55,vacant,,,21.2,
482,70b3b514900b1377,2024-06-11 17:43:43,vacant,,,16.2,
483,70b3b514900b137c,2024-06-11 17:41:21,vacant,,,18.8,
484,70b3b514900b195a,2024-06-11 17:44:16,vacant,,,18.8,
485,70b3b514900b13a5,2024-06-11 17:22:02,vacant,,,,
486,70b3b514900b13db,2024-06-11 17:27:08,vacant,,,19.5,
487,70b3b514900b14e7,2024-06-11 17:39:43,vacant,,,,
488,70b3b514900b17e0,2024-06-11 18:14:25,vacant,97,,18,
489,70b3b514900b17c0,2024-06-11 18:02:16,vacant,,,16.6,
490,70b3b514900b190a,2024-06-11 18:15:55,vacant,,,16.9,
3436,70b3b514900b1474,2024-06-11 17:47:54,vacant,,,20.7,
3439,70b3b514900b133c,2024-06-11 17:56:58,vacant,,,19.5,
