occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
2.47,2.83,1.43,14.23,24.89

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2022-08-08,0,0,1,100,0,600,1,0
2022-08-09,2,3,3,60.4,0,289.91,3,5
2022-08-10,2,2,2,1.17,0,8.41,2,4
2022-08-11,1,1,1,1.02,0,14.7,1,2
2022-08-12,3,3,3,2.18,0,10.46,3,6
2022-08-13,2,2,2,3.26,0,23.48,2,4
2022-08-14,3,3,3,0.9,0,4.34,3,6
2022-08-15,4,4,4,1.13,0,4.05,4,8
2022-08-16,10,9,10,15.23,0,21.93,10,19
2022-08-17,2,2,3,85.95,0,412.56,3,4
2022-08-18,3,4,4,37.89,0,136.39,4,7
2022-08-19,2,2,2,1.65,0,11.86,2,4
2022-08-20,2,2,2,5.08,0,36.54,2,4
2022-08-21,2,2,2,0.85,0,6.13,2,4
2022-08-22,0,0,0,0,0,0,0,0
2022-08-23,9,9,9,6.23,0,9.98,9,18
2022-08-24,4,4,4,11.23,0,40.41,4,8
2022-08-25,3,3,3,0.46,0,2.2,3,6
2022-08-26,0,0,0,0,0,0,0,0
2022-08-27,2,2,2,0.87,0,6.28,2,4
2022-08-28,2,2,2,4.41,0,31.78,2,4
2022-08-29,3,3,3,2.72,0,13.06,3,6
2022-08-30,0,0,0,0,0,0,0,0
2022-08-31,2,2,2,0.32,0,2.28,2,4
2022-09-01,5,5,5,4.12,0,11.87,5,10
2022-09-02,4,4,4,1.86,0,6.69,4,8
2022-09-03,2,2,2,0.22,0,1.58,2,4
2022-09-04,2,2,2,1.52,0,10.93,2,4
2022-09-05,1,1,1,0.76,0,10.97,1,2
2022-09-06,3,3,3,7.21,0,34.6,3,6
2022-09-07,1,1,1,1.24,0,17.9,1,2
2022-09-08,1,1,1,0.27,0,3.88,1,2
2022-09-09,1,1,1,0.19,0,2.75,1,2
2022-09-10,2,2,2,0.83,0,6.01,2,4
2022-09-11,2,2,2,0.42,0,3.03,2,4
2022-09-12,2,2,2,0.7,0,5.06,2,4
2022-09-13,1,1,1,0.05,0,0.7,1,2
2022-09-14,1,1,1,2.13,0,30.73,1,2
2022-09-15,1,1,1,0.14,0,1.97,1,2
2022-09-16,0,0,0,0,0,0,0,0
2022-09-17,1,1,1,0.13,0,1.9,1,2
2022-09-18,1,1,1,1.87,0,26.88,1,2
2022-09-19,0,0,0,0,0,0,0,0
2022-09-20,0,0,0,0,0,0,0,0
2022-09-21,2,2,2,0.38,0,2.75,2,4
2022-09-22,0,0,0,0,0,0,0,0
2022-09-23,1,1,1,0.42,0,6,1,2
2022-09-24,0,0,0,0,0,0,0,0
2022-09-25,0,0,0,0,0,0,0,0
2022-09-26,1,1,1,10.21,0,146.98,1,2
2022-09-27,0,0,0,0,0,0,0,0
2022-09-28,1,1,1,0.42,0,5.98,1,2
2022-09-29,5,5,5,5.93,0,17.09,5,10
2022-09-30,0,0,0,0,0,0,0,0
2022-10-01,3,3,3,34.07,0,163.55,3,6
2022-10-02,0,0,0,0,0,0,0,0
2022-10-03,0,0,0,0,0,0,0,0
2022-10-04,4,4,4,4.5,0,16.22,4,8
2022-10-05,3,3,3,2.91,0,13.99,3,6
2022-10-06,1,1,1,0.13,0,1.82,1,2
2022-10-07,2,2,2,0.46,0,3.29,2,4
2022-10-08,3,3,3,0.7,0,3.38,3,6
2022-10-09,0,0,0,0,0,0,0,0
2022-10-10,1,1,1,0.23,0,3.35,1,2
2022-10-11,0,0,0,0,0,0,0,0
2022-10-12,3,3,3,1.21,0,5.79,3,6
2022-10-13,1,1,1,0.36,0,5.17,1,2
2022-10-14,3,3,3,0.81,0,3.9,3,6
2022-10-15,2,2,2,0.41,0,2.98,2,4
2022-10-16,1,1,1,0.12,0,1.75,1,2
2022-10-17,1,1,1,0.31,0,4.53,1,2
2022-10-18,2,2,2,15.73,0,113.23,2,4
2022-10-19,1,1,1,0.96,0,13.82,1,2
2022-10-20,1,1,1,0.57,0,8.23,1,2
2022-10-21,3,3,3,0.72,0,3.48,3,6
2022-10-22,3,3,3,0.42,0,2.01,3,6
2022-10-23,1,1,1,0.26,0,3.68,1,2
2022-10-24,3,2,3,13.86,0,66.53,3,5
2022-10-25,3,4,4,41.18,0,148.23,4,7
2022-10-26,1,1,1,0.48,0,6.85,1,2
2022-10-27,2,2,2,0.5,0,3.58,2,4
2022-10-28,0,0,0,0,0,0,0,0
2022-10-29,3,3,3,0.9,0,4.33,3,6
2022-10-30,4,4,4,1.78,0,6.4,4,8
2022-10-31,3,3,3,0.75,0,3.58,3,6
2022-11-01,2,2,2,2.53,0,18.22,2,4
2022-11-02,2,2,2,2.44,0,17.58,2,4
2022-11-03,5,5,5,6.11,0,17.6,5,10
2022-11-04,4,4,4,10.63,0,38.26,4,8
2022-11-05,1,1,1,1.68,0,24.23,1,2
2022-11-06,1,1,1,0.15,0,2.22,1,2
2022-11-07,0,0,0,0,0,0,0,0
2022-11-08,1,1,1,0.61,0,8.78,1,2
2022-11-09,0,0,0,0,0,0,0,0
2022-11-10,2,2,2,0.28,0,2.03,2,4
2022-11-11,0,0,0,0,0,0,0,0
2022-11-12,1,1,1,0.1,0,1.4,1,2
2022-11-13,1,1,1,2.18,0,31.38,1,2
2022-11-14,3,3,3,0.98,0,4.69,3,6
2022-11-15,1,1,1,0.1,0,1.43,1,2
2022-11-16,5,5,5,12.47,0,35.93,5,10
2022-11-17,3,3,3,0.33,0,1.57,3,6
2022-11-18,2,2,2,0.75,0,5.41,2,4
2022-11-19,1,1,1,0.52,0,7.43,1,2
2022-11-20,3,3,3,1.02,0,4.87,3,6
2022-11-21,3,3,3,1.25,0,5.98,3,6
2022-11-22,7,7,7,1.83,0,3.77,7,14
2022-11-23,4,4,4,3.56,0,12.8,4,8
2022-11-24,5,5,5,2.4,0,6.9,5,10
2022-11-25,7,7,7,8.3,0,17.08,7,14
2022-11-26,1,1,1,0.28,0,4.02,1,2
2022-11-27,1,1,1,0.33,0,4.7,1,2
2022-11-28,3,3,3,4.86,0,23.32,3,6
2022-11-29,3,3,3,2.74,0,13.16,3,6
2022-11-30,2,2,2,0.14,0,1.03,2,4
2022-12-01,3,3,3,0.91,0,4.39,3,6
2022-12-02,2,2,2,0.73,0,5.26,2,4
2022-12-03,2,2,2,0.61,0,4.41,2,4
2022-12-04,1,1,1,0.09,0,1.28,1,2
2022-12-05,0,0,0,0,0,0,0,0
2022-12-06,3,3,3,27.95,0,134.18,3,6
2022-12-07,2,2,2,0.26,0,1.87,2,4
2022-12-08,2,2,2,14.51,0,104.45,2,4
2022-12-09,1,1,1,0.14,0,1.97,1,2
2022-12-10,0,0,0,0,0,0,0,0
2022-12-11,0,0,0,0,0,0,0,0
2022-12-12,2,2,2,11.38,0,81.95,2,4
2022-12-13,4,4,4,13.81,0,49.7,4,8
2022-12-14,1,1,1,0.14,0,1.95,1,2
2022-12-15,1,1,1,0.33,0,4.72,1,2
2022-12-16,1,1,1,0.47,0,6.82,1,2
2022-12-17,1,1,1,0.22,0,3.23,1,2
2022-12-18,0,0,0,0,0,0,0,0
2022-12-19,1,1,1,0.32,0,4.65,1,2
2022-12-20,0,0,0,0,0,0,0,0
2022-12-21,0,0,0,0,0,0,0,0
2022-12-22,4,4,4,11.68,0,42.04,4,8
2022-12-23,0,0,0,0,0,0,0,0
2022-12-24,0,0,0,0,0,0,0,0
2022-12-25,1,1,1,0.81,0,11.62,1,2
2022-12-26,0,0,0,0,0,0,0,0
2022-12-27,0,0,0,0,0,0,0,0
2022-12-28,0,0,0,0,0,0,0,0
2022-12-29,1,1,1,0.44,0,6.4,1,2
2022-12-30,0,0,0,0,0,0,0,0
2022-12-31,0,0,0,0,0,0,0,0
2023-01-01,0,0,0,0,0,0,0,0
2023-01-02,1,1,1,1.73,24.93,24.93,1,2
2023-01-03,0,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0,0
2023-01-05,1,1,1,0.41,5.9,5.9,1,2
2023-01-06,1,1,1,1.5,21.65,21.65,1,2
2023-01-07,1,1,1,0.12,1.77,1.77,1,2
2023-01-08,2,2,2,0.57,4.09,4.09,2,4
2023-01-09,3,3,3,1.52,7.28,7.28,3,6
2023-01-10,0,0,0,0,0,0,0,0
2023-01-11,1,1,1,0.06,0.87,0.87,1,2
2023-01-12,0,0,0,0,0,0,0,0
