occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
15.8,2.05,1.04,151,219.54

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2022-01-27,0,0,0,0,0,0,0,0
2022-01-28,0,0,0,0,0,0,0,0
2022-01-29,0,0,0,0,0,0,0,0
2022-01-30,0,0,0,0,0,0,0,0
2022-01-31,0,0,0,0,0,0,0,0
2022-02-01,0,0,0,0,0,0,0,0
2022-02-02,0,0,0,0,0,0,0,0
2022-02-03,0,0,0,0,0,0,0,0
2022-02-04,0,0,0,0,0,0,0,0
2022-02-05,0,0,0,0,0,0,0,0
2022-02-06,0,0,0,0,0,0,0,0
2022-02-07,1,1,1,13.57,0,195.42,1,2
2022-02-08,4,4,4,11.27,0,40.56,4,8
2022-02-09,0,0,0,0,0,0,0,0
2022-02-10,2,2,2,16.44,0,118.38,2,4
2022-02-11,2,2,2,0.34,0,2.42,2,4
2022-02-12,0,0,0,0,0,0,0,0
2022-02-13,0,0,0,0,0,0,0,0
2022-02-14,1,1,1,0.26,0,3.7,1,2
2022-02-15,0,0,0,0,0,0,0,0
2022-02-16,2,2,2,4.47,0,32.21,2,4
2022-02-17,2,2,2,14.34,0,103.28,2,4
2022-02-18,1,1,1,13.33,0,191.97,1,2
2022-02-19,0,0,0,0,0,0,0,0
2022-02-20,0,0,0,0,0,0,0,0
2022-02-21,0,0,0,0,0,0,0,0
2022-02-22,0,0,0,0,0,0,0,0
2022-02-23,0,0,0,0,0,0,0,0
2022-02-24,0,0,0,0,0,0,0,0
2022-02-25,2,2,2,8.14,0,58.62,2,4
2022-02-26,0,0,0,0,0,0,0,0
2022-02-27,0,0,0,0,0,0,0,0
2022-02-28,2,2,2,17.77,0,127.94,2,4
2022-03-01,2,2,2,16.84,0,121.28,2,4
2022-03-02,2,2,2,34.41,0,247.77,2,4
2022-03-03,1,1,1,8.49,0,122.2,1,2
2022-03-04,1,1,1,12.93,0,186.22,1,2
2022-03-05,0,0,0,0,0,0,0,0
2022-03-06,0,0,0,0,0,0,0,0
2022-03-07,0,0,0,0,0,0,0,0
2022-03-08,2,2,2,39.44,0,283.96,2,4
2022-03-09,2,2,2,7.16,0,51.53,2,4
2022-03-10,3,3,3,25.72,0,123.44,3,6
2022-03-11,1,1,1,13.91,0,200.23,1,2
2022-03-12,0,0,0,0,0,0,0,0
2022-03-13,1,1,1,3.28,0,45.3,1,2
2022-03-14,2,2,2,9.75,0,70.18,2,4
2022-03-15,0,0,0,0,0,0,0,0
2022-03-16,1,1,1,24.07,0,346.57,1,2
2022-03-17,2,2,2,36.34,0,261.68,2,4
2022-03-18,0,0,0,0,0,0,0,0
2022-03-19,0,0,0,0,0,0,0,0
2022-03-20,1,1,1,0.64,0,9.15,1,2
2022-03-21,3,3,3,18.8,0,90.24,3,6
2022-03-22,3,3,3,14.25,0,68.39,3,6
2022-03-23,0,0,0,0,0,0,0,0
2022-03-24,2,2,2,17.02,0,122.58,2,4
2022-03-25,1,1,1,14.28,0,205.6,1,2
2022-03-26,0,0,0,0,0,0,0,0
2022-03-27,0,0,0,0,0,0,0,0
2022-03-28,2,2,2,17.95,0,129.21,2,4
2022-03-29,2,2,2,9.58,0,69.01,2,4
2022-03-30,1,1,1,5.09,0,73.35,1,2
2022-03-31,2,2,2,17.39,0,125.18,2,4
2022-04-01,1,1,1,13.59,0,195.72,1,2
2022-04-02,0,0,0,0,0,0,0,0
2022-04-03,0,0,0,0,0,0,0,0
2022-04-04,3,3,3,20.63,0,99.02,3,6
2022-04-05,1,1,1,5.69,0,81.97,1,2
2022-04-06,1,1,1,5.91,0,85.17,1,2
2022-04-07,3,2,3,27.49,0,131.97,3,5
2022-04-08,0,1,1,44.53,0,641.18,1,1
2022-04-09,0,0,0,0,0,0,0,0
2022-04-10,0,0,0,0,0,0,0,0
2022-04-11,1,1,1,7.92,0,114.02,1,2
2022-04-12,0,0,0,0,0,0,0,0
2022-04-13,0,0,0,0,0,0,0,0
2022-04-14,0,0,0,0,0,0,0,0
2022-04-15,0,0,0,0,0,0,0,0
2022-04-16,1,1,1,0.08,0,1.12,1,2
2022-04-17,0,0,0,0,0,0,0,0
2022-04-18,1,1,1,23.76,0,342.2,1,2
2022-04-19,1,1,1,16.69,0,240.4,1,2
2022-04-20,0,0,0,0,0,0,0,0
2022-04-21,4,4,4,12.44,0,44.78,4,8
2022-04-22,0,0,0,0,0,0,0,0
2022-04-23,0,0,0,0,0,0,0,0
2022-04-24,1,1,1,14.82,0,213.38,1,2
2022-04-25,0,0,0,0,0,0,0,0
2022-04-26,1,1,1,7.99,0,115.1,1,2
2022-04-27,0,0,0,0,0,0,0,0
2022-04-28,0,0,0,0,0,0,0,0
2022-04-29,1,1,1,0.14,0,2,1,2
2022-04-30,0,0,0,0,0,0,0,0
2022-05-01,1,1,1,2.74,0,39.47,1,2
2022-05-02,0,0,0,0,0,0,0,0
2022-05-03,0,0,0,0,0,0,0,0
2022-05-04,0,0,0,0,0,0,0,0
2022-05-05,2,2,2,12.14,0,87.4,2,4
2022-05-06,0,0,0,0,0,0,0,0
2022-05-07,2,2,2,21.57,0,155.28,2,4
2022-05-08,0,0,0,0,0,0,0,0
2022-05-09,0,0,0,0,0,0,0,0
2022-05-10,0,0,0,0,0,0,0,0
2022-05-11,1,1,1,4.45,0,64.12,1,2
2022-05-12,0,0,0,0,0,0,0,0
2022-05-13,0,0,0,0,0,0,0,0
2022-05-14,0,0,0,0,0,0,0,0
2022-05-15,2,2,2,3.85,0,27.73,2,4
2022-05-16,0,0,0,0,0,0,0,0
2022-05-17,0,0,0,0,0,0,0,0
2022-05-18,0,0,0,0,0,0,0,0
2022-05-19,0,0,0,0,0,0,0,0
2022-05-20,1,1,1,13.19,0,189.97,1,2
2022-05-21,2,2,2,13.97,0,100.58,2,4
2022-05-22,1,1,1,22.75,0,327.6,1,2
2022-05-23,1,1,1,12.45,0,179.25,1,2
2022-05-24,0,0,0,0,0,0,0,0
2022-05-25,0,0,0,0,0,0,0,0
2022-05-26,1,1,1,12.03,0,173.27,1,2
