occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
22.45,7.98,4,62.23,80.79

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2022-08-15,9,9,9,14.55,0,23.27,9,18
2022-08-16,3,3,3,24.38,0,117.02,3,6
2022-08-17,6,6,6,12.74,0,30.59,6,12
2022-08-18,4,4,4,26.93,0,96.95,4,8
2022-08-19,4,4,4,19.49,0,70.18,4,8
2022-08-20,1,1,1,2.03,0,29.17,1,2
2022-08-21,2,2,2,16.9,0,121.66,2,4
2022-08-22,4,4,4,19.15,0,68.93,4,8
2022-08-23,3,3,3,16.46,0,79.01,3,6
2022-08-24,4,4,4,19.84,0,71.43,4,8
2022-08-25,3,3,3,27.08,0,130.01,3,6
2022-08-26,2,2,2,13.84,0,99.64,2,4
2022-08-27,1,1,1,2.17,0,31.3,1,2
2022-08-28,0,0,0,0,0,0,0,0
2022-08-29,4,4,4,30.2,0,108.72,4,8
2022-08-30,9,9,9,22.72,0,36.36,9,18
2022-08-31,5,5,5,31.16,0,89.73,5,10
2022-09-01,4,4,4,22.3,0,80.27,4,8
2022-09-02,3,3,3,20.88,0,100.23,3,6
2022-09-03,0,0,0,0,0,0,0,0
2022-09-04,0,0,0,0,0,0,0,0
2022-09-05,0,0,0,0,0,0,0,0
2022-09-06,10,10,10,27.95,0,40.24,10,20
2022-09-07,4,4,4,39.14,0,140.89,4,8
2022-09-08,6,6,6,38.49,0,92.38,6,12
2022-09-09,2,2,2,21.28,0,153.2,2,4
2022-09-10,3,3,3,5.8,0,27.84,3,6
2022-09-11,1,1,1,23.06,0,332.02,1,2
2022-09-12,3,3,3,12.75,0,61.22,3,6
2022-09-13,6,6,6,29.38,0,70.52,6,12
2022-09-14,4,4,4,37.16,0,133.79,4,8
2022-09-15,5,5,5,33.26,0,95.78,5,10
2022-09-16,10,10,10,40.75,0,58.68,10,20
2022-09-17,3,3,3,8.1,0,38.86,3,6
2022-09-18,2,2,2,29.15,0,209.86,2,4
2022-09-19,7,7,7,31.03,0,63.84,7,14
2022-09-20,5,5,5,27.3,0,78.63,5,10
2022-09-21,5,5,5,18.08,0,52.07,5,10
2022-09-22,3,3,3,27.2,0,125.14,3,6
2022-09-23,3,3,3,22.42,0,107.6,3,6
2022-09-24,0,0,0,0,0,0,0,0
2022-09-25,1,1,1,4.85,0,69.78,1,2
2022-09-26,5,5,5,17.71,0,51.02,5,10
2022-09-27,5,5,5,13.15,0,37.86,5,10
2022-09-28,6,6,6,49.82,0,119.56,6,12
2022-09-29,10,9,10,32.24,0,46.43,10,19
2022-09-30,1,2,2,14.09,0,101.43,2,3
2022-10-01,0,0,0,0,0,0,0,0
2022-10-02,2,2,2,10.36,0,74.61,2,4
2022-10-03,6,6,6,39.91,0,95.78,6,12
2022-10-04,3,3,3,46.66,0,223.97,3,6
2022-10-05,7,7,7,31.12,0,64.02,7,14
2022-10-06,7,7,7,18.87,0,38.82,7,14
2022-10-07,5,5,5,21.8,0,62.8,5,10
2022-10-08,1,1,1,0.24,0,3.45,1,2
2022-10-09,1,1,1,8.44,0,121.55,1,2
2022-10-10,1,1,1,4.53,0,65.2,1,2
2022-10-11,3,3,3,22.09,0,106.02,3,6
2022-10-12,6,6,6,21.59,0,51.81,6,12
2022-10-13,5,5,5,28.45,0,81.93,5,10
2022-10-14,3,3,3,16.62,0,79.78,3,6
2022-10-15,0,0,0,0,0,0,0,0
2022-10-16,3,3,3,3.48,0,16.69,3,6
2022-10-17,3,3,3,31.04,0,148.97,3,6
2022-10-18,4,4,4,33.57,0,120.85,4,8
2022-10-19,4,4,4,17.87,0,64.34,4,8
2022-10-20,9,9,9,49.35,0,78.97,9,18
2022-10-21,10,10,10,39.36,0,56.68,10,20
2022-10-22,2,2,2,8.16,0,58.75,2,4
2022-10-23,1,1,1,6.44,0,92.77,1,2
2022-10-24,5,5,5,9.49,0,27.34,5,10
2022-10-25,5,5,5,26.95,0,77.61,5,10
2022-10-26,4,4,4,34.78,0,125.21,4,8
2022-10-27,3,3,3,31.8,0,152.63,3,6
2022-10-28,6,6,6,23.87,0,57.28,6,12
2022-10-29,1,1,1,8.79,0,126.63,1,2
2022-10-30,5,5,5,15.46,0,44.54,5,10
2022-10-31,4,4,4,36.91,0,132.86,4,8
2022-11-01,5,5,5,32.68,0,94.11,5,10
2022-11-02,6,6,6,27.76,0,66.63,6,12
2022-11-03,7,7,7,31.85,0,65.52,7,14
2022-11-04,3,3,3,20.2,0,96.96,3,6
2022-11-05,2,2,2,5.97,0,42.95,2,4
2022-11-06,0,0,0,0,0,0,0,0
2022-11-07,5,5,5,33.61,0,96.78,5,10
2022-11-08,3,3,3,12.87,0,61.79,3,6
2022-11-09,3,3,3,19.43,0,93.27,3,6
2022-11-10,5,5,5,36.31,0,104.56,5,10
2022-11-11,0,0,0,0,0,0,0,0
