occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
19.4,7,3.51,79.62,79.48

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-08-01,8,7,8,52.46,88.14,51.15,8,15
2023-08-02,2,2,3,25,90,119.99,3,4
2023-08-03,7,8,8,22.15,29.02,39.88,8,15
2023-08-04,5,5,5,16.93,48.75,48.75,5,10
2023-08-05,0,0,0,0,0,0,0,0
2023-08-06,0,0,0,0,0,0,0,0
2023-08-07,1,1,1,6.52,93.95,93.95,1,2
2023-08-08,2,2,2,0.99,7.13,7.13,2,4
2023-08-09,2,2,2,5.71,41.14,41.14,2,4
2023-08-10,0,0,0,0,0,0,0,0
2023-08-11,1,1,1,0.45,6.45,6.45,1,2
2023-08-12,1,1,1,18.76,270.08,270.08,1,2
2023-08-13,0,0,0,0,0,0,0,0
2023-08-14,1,1,1,8.25,118.78,118.78,1,2
2023-08-15,0,0,0,0,0,0,0,0
2023-08-16,1,1,1,0.16,2.33,2.33,1,2
2023-08-17,2,2,2,0.37,2.64,2.64,2,4
2023-08-18,1,1,1,0.52,7.5,7.5,1,2
2023-08-19,2,2,2,5.64,40.6,40.6,2,4
2023-08-20,3,3,3,0.45,2.15,2.15,3,6
2023-08-21,3,3,3,3.81,18.28,18.28,3,6
2023-08-22,7,7,7,17.86,36.73,36.73,7,14
2023-08-23,2,2,2,6.25,44.99,44.99,2,4
2023-08-24,9,9,9,6.23,9.96,9.96,9,18
2023-08-25,9,9,9,3.36,5.38,5.38,9,18
2023-08-26,11,11,11,17.87,23.39,23.39,11,22
2023-08-27,4,4,4,25.59,92.14,92.14,4,8
2023-08-28,3,3,3,3.29,15.77,15.77,3,6
2023-08-29,3,3,3,10.7,51.34,51.34,3,6
2023-08-30,4,4,4,2.83,10.2,10.2,4,8
2023-08-31,2,2,2,0.15,1.1,1.1,2,4
2023-09-01,2,2,2,10.05,72.34,72.34,2,4
2023-09-02,2,2,2,0.56,4.06,4.06,2,4
2023-09-03,0,0,0,0,0,0,0,0
2023-09-04,0,0,0,0,0,0,0,0
2023-09-05,2,2,2,9.86,70.96,70.96,2,4
2023-09-06,2,2,2,29.02,208.94,208.94,2,4
2023-09-07,3,3,3,8.14,39.08,39.08,3,6
2023-09-08,3,3,3,20.31,97.51,97.51,3,6
2023-09-09,2,2,2,0.14,0.98,0.98,2,4
2023-09-10,2,2,2,12.85,92.49,92.49,2,4
2023-09-11,5,5,5,24.33,70.08,70.08,5,10
2023-09-12,4,4,4,19.7,70.91,70.91,4,8
2023-09-13,6,6,6,15.25,36.59,36.59,6,12
2023-09-14,3,3,3,23.65,113.54,113.54,3,6
2023-09-15,2,2,2,33.86,243.78,243.78,2,4
2023-09-16,6,6,6,32.4,77.77,77.77,6,12
2023-09-17,4,4,4,28.75,103.5,103.5,4,8
2023-09-18,4,4,4,18.61,67,67,4,8
2023-09-19,4,4,4,27.11,97.58,97.58,4,8
2023-09-20,6,6,6,19.16,45.99,45.99,6,12
2023-09-21,5,5,5,40.06,115.37,115.37,5,10
2023-09-22,4,4,4,33.12,119.24,119.24,4,8
2023-09-23,2,2,2,44.99,323.92,323.92,2,4
2023-09-24,3,3,3,26.96,129.42,129.42,3,6
2023-09-25,5,5,5,16.86,48.57,48.57,5,10
2023-09-26,5,5,5,36.39,104.79,104.79,5,10
2023-09-27,5,5,5,20.92,60.25,60.25,5,10
2023-09-28,5,5,5,21.17,60.97,60.97,5,10
2023-09-29,2,2,2,17.36,125,125,2,4
2023-09-30,5,5,5,2.14,6.18,6.18,5,10
2023-10-01,2,2,2,7.3,52.55,52.55,2,4
2023-10-02,0,0,0,0,0,0,0,0
2023-10-03,6,6,6,28.86,69.26,69.26,6,12
2023-10-04,5,5,5,19.08,54.95,54.95,5,10
2023-10-05,2,2,2,29.99,215.93,215.93,2,4
2023-10-06,1,1,1,1.73,24.93,24.93,1,2
2023-10-07,2,2,2,24.94,179.59,179.59,2,4
2023-10-08,3,3,3,7.81,37.5,37.5,3,6
2023-10-09,0,0,0,0,0,0,0,0
2023-10-10,4,4,4,24.5,88.19,88.19,4,8
2023-10-11,3,3,3,42.72,205.03,205.03,3,6
2023-10-12,3,3,3,11.14,53.49,53.49,3,6
2023-10-13,5,5,5,19.48,56.1,56.1,5,10
2023-10-14,3,3,3,23.9,114.72,114.72,3,6
2023-10-15,5,5,5,19.36,55.77,55.77,5,10
2023-10-16,5,5,5,24.46,70.45,70.45,5,10
2023-10-17,7,7,7,32.78,67.43,67.43,7,14
2023-10-18,5,5,5,42.56,122.58,122.58,5,10
2023-10-19,7,7,7,35.27,72.55,72.55,7,14
2023-10-20,1,1,1,27,388.87,388.87,1,2
2023-10-21,5,5,5,33.75,97.21,97.21,5,10
2023-10-22,8,8,8,35.79,64.41,64.41,8,16
2023-10-23,5,5,5,26.05,75.01,75.01,5,10
2023-10-24,5,5,5,29.75,85.69,85.69,5,10
2023-10-25,5,5,5,44.38,127.8,127.8,5,10
2023-10-26,6,6,6,43.44,104.26,104.26,6,12
2023-10-27,6,6,6,24.83,59.58,59.58,6,12
2023-10-28,4,4,4,31.88,114.78,114.78,4,8
2023-10-29,4,4,4,15.82,56.97,56.97,4,8
2023-10-30,2,2,2,1.02,7.31,7.31,2,4
2023-10-31,2,2,2,18.18,130.88,130.88,2,4
2023-11-01,4,4,4,12.89,46.42,46.42,4,8
2023-11-02,3,3,3,29.08,139.57,139.57,3,6
2023-11-03,5,5,5,32.71,94.21,94.21,5,10
2023-11-04,5,5,5,31.92,91.93,91.93,5,10
2023-11-05,1,1,1,11.09,166.42,166.42,1,2
2023-11-06,5,5,5,13.23,38.11,38.11,5,10
2023-11-07,4,4,4,20.21,72.75,72.75,4,8
2023-11-08,3,3,3,27.95,134.18,134.18,3,6
2023-11-09,2,2,2,35,251.98,251.98,2,4
2023-11-10,4,4,4,29.64,106.72,106.72,4,8
2023-11-11,2,2,2,28.19,202.99,202.99,2,4
2023-11-12,2,2,2,1.36,9.83,9.82,2,4
2023-11-13,0,0,0,0,0,0,0,0
2023-11-14,5,5,5,18.58,53.51,53.51,5,10
2023-11-15,5,5,5,25.18,58.43,72.51,5,10
2023-11-16,4,4,4,21.36,76.91,76.91,4,8
2023-11-17,4,4,4,28.33,101.99,101.99,4,8
2023-11-18,2,2,2,22.38,161.14,161.14,2,4
2023-11-19,7,7,7,28.8,59.24,59.24,7,14
2023-11-20,6,6,6,16.01,38.43,38.43,6,12
2023-11-21,5,5,5,35.79,103.08,103.08,5,10
2023-11-22,4,4,4,26.82,96.57,96.57,4,8
2023-11-23,7,7,7,10.62,21.84,21.84,7,14
2023-11-24,3,3,3,9.1,43.69,43.69,3,6
2023-11-25,6,6,6,8.68,20.83,20.83,6,12
2023-11-26,2,2,2,0.59,4.27,4.27,2,4
2023-11-27,6,6,6,46.25,111.01,111.01,6,12
2023-11-28,2,2,2,42.01,302.45,302.45,2,4
2023-11-29,4,4,4,17.53,63.13,63.13,4,8
2023-11-30,4,4,4,24.92,89.7,89.7,4,8
2023-12-01,7,7,7,29.55,60.78,60.78,7,14
2023-12-02,5,5,5,20.68,59.57,59.57,5,10
2023-12-03,6,6,6,11.36,27.26,27.26,6,12
2023-12-04,6,6,6,25.55,61.33,61.33,6,12
2023-12-05,4,4,4,19.08,68.68,68.68,4,8
2023-12-06,4,4,4,23.87,85.92,85.92,4,8
2023-12-07,4,4,4,11.47,41.28,41.28,4,8
2023-12-08,4,4,4,27.77,99.97,99.97,4,8
2023-12-09,3,3,3,12.76,61.26,61.26,3,6
2023-12-10,3,3,3,21.01,100.84,100.84,3,6
2023-12-11,4,4,4,10.96,39.46,39.46,4,8
2023-12-12,5,5,5,12.91,37.17,37.17,5,10
2023-12-13,5,5,5,19.55,56.29,56.29,5,10
2023-12-14,5,5,5,14.3,41.19,41.19,5,10
2023-12-15,4,4,4,24.42,87.92,87.92,4,8
2023-12-16,3,3,3,26.6,127.7,127.7,3,6
2023-12-17,2,2,2,13.14,94.59,94.59,2,4
2023-12-18,1,1,1,9.97,143.63,143.63,1,2
2023-12-19,4,4,4,9.69,34.9,34.9,4,8
2023-12-20,1,1,1,2.67,38.43,38.43,1,2
2023-12-21,1,1,1,4.91,70.67,70.67,1,2
2023-12-22,1,1,1,0.52,7.42,7.42,1,2
2023-12-23,1,1,1,1.71,24.6,24.6,1,2
2023-12-24,1,1,1,0.74,10.72,10.72,1,2
