Timestamp,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2024-07-30 01:00:00,51.0,25.0,14.0,104,16.0,69.0,51
2024-07-30 02:00:00,32.0,16.0,16.0,52,12.0,49.0,28
2024-07-30 03:00:00,6.0,21.0,9.0,44,6.0,38.0,16
2024-07-30 04:00:00,6.0,14.0,8.0,39,4.0,10.0,12
2024-07-30 05:00:00,3.0,7.0,8.0,36,4.0,0.0,16
2024-07-30 06:00:00,4.0,3.0,5.0,12,3.0,0.0,13
2024-07-30 07:00:00,2.0,1.0,6.0,8,3.0,0.0,12
2024-07-30 08:00:00,5.0,3.0,6.0,8,3.0,1.0,12
2024-07-30 09:00:00,6.0,3.0,6.0,8,3.0,1.0,12
2024-07-30 10:00:00,6.0,1.0,6.0,8,3.0,1.0,11
2024-07-30 11:00:00,9.0,2.0,6.0,9,4.0,1.0,11
2024-07-30 12:00:00,32.0,14.0,7.0,32,4.0,17.0,13
2024-07-30 13:00:00,130.0,95.0,9.0,161,6.0,75.0,9
2024-07-30 14:00:00,190.0,164.0,23.0,320,25.0,162.0,14
2024-07-30 15:00:00,290.0,276.0,90.0,555,111.0,322.0,36
2024-07-30 16:00:00,382.0,367.0,156.0,625,161.0,437.0,46
2024-07-30 17:00:00,400.0,398.0,178.0,671,180.0,473.0,46
2024-07-30 18:00:00,410.0,410.0,207.0,691,183.0,497.0,60
2024-07-30 19:00:00,418.0,425.0,248.0,702,191.0,493.0,52
2024-07-30 20:00:00,413.0,423.0,262.0,700,199.0,493.0,56
2024-07-30 21:00:00,381.0,397.0,240.0,702,185.0,447.0,54
2024-07-30 22:00:00,284.0,279.0,198.0,507,154.0,368.0,58
2024-07-30 23:00:00,178.0,125.0,96.0,288,73.0,202.0,53
2024-07-31 00:00:00,107.0,63.0,47.0,156,29.0,93.0,40
2024-07-31 01:00:00,66.0,47.0,24.0,100,22.0,55.0,32
2024-07-31 02:00:00,42.0,31.0,17.0,55,13.0,32.0,18
2024-07-31 03:00:00,28.0,21.0,9.0,39,6.0,17.0,14
2024-07-31 04:00:00,14.0,15.0,3.0,35,4.0,6.0,4
2024-07-31 05:00:00,21.0,3.0,4.0,37,4.0,0.0,9
2024-07-31 06:00:00,11.0,0.0,4.0,8,3.0,0.0,10
2024-07-31 07:00:00,8.0,3.0,3.0,3,3.0,0.0,10
2024-07-31 08:00:00,9.0,2.0,3.0,3,3.0,0.0,9
2024-07-31 09:00:00,9.0,2.0,3.0,2,3.0,2.0,9
2024-07-31 10:00:00,8.0,2.0,3.0,2,3.0,2.0,9
2024-07-31 11:00:00,9.0,4.0,4.0,7,5.0,3.0,10
2024-07-31 12:00:00,32.0,15.0,4.0,25,7.0,26.0,10
2024-07-31 13:00:00,122.0,89.0,5.0,135,12.0,85.0,3
2024-07-31 14:00:00,174.0,166.0,26.0,320,40.0,175.0,7
2024-07-31 15:00:00,266.0,283.0,93.0,541,131.0,357.0,30
2024-07-31 16:00:00,379.0,363.0,158.0,656,190.0,473.0,47
2024-07-31 17:00:00,408.0,382.0,184.0,700,203.0,503.0,42
2024-07-31 18:00:00,419.0,382.0,189.0,719,207.0,513.0,50
2024-07-31 19:00:00,423.0,382.0,202.0,736,200.0,515.0,57
2024-07-31 20:00:00,420.0,370.0,211.0,731,201.0,515.0,52
2024-07-31 21:00:00,458.0,343.0,203.0,735,201.0,475.0,43
2024-07-31 22:00:00,368.0,248.0,163.0,549,173.0,403.0,56
2024-07-31 23:00:00,278.0,132.0,95.0,321,93.0,250.0,42
2024-08-01 00:00:00,212.0,77.0,42.0,177,38.0,120.0,43
2024-08-01 01:00:00,172.0,51.0,19.0,122,21.0,74.0,57
2024-08-01 02:00:00,141.0,32.0,8.0,66,20.0,48.0,37
2024-08-01 03:00:00,134.0,24.0,8.0,51,15.0,27.0,33
2024-08-01 04:00:00,116.0,21.0,4.0,37,11.0,14.0,12
2024-08-01 05:00:00,109.0,8.0,1.0,34,9.0,11.0,21
2024-08-01 06:00:00,99.0,2.0,0.0,12,8.0,2.0,24
2024-08-01 07:00:00,97.0,4.0,2.0,9,9.0,1.0,23
2024-08-01 08:00:00,97.0,6.0,2.0,7,9.0,1.0,18
2024-08-01 09:00:00,90.0,5.0,2.0,7,9.0,1.0,11
2024-08-01 10:00:00,90.0,6.0,2.0,7,9.0,1.0,12
2024-08-01 11:00:00,91.0,5.0,2.0,9,10.0,2.0,12
2024-08-01 12:00:00,110.0,18.0,2.0,30,11.0,27.0,12
2024-08-01 13:00:00,194.0,92.0,5.0,137,16.0,83.0,4
2024-08-01 14:00:00,242.0,157.0,22.0,306,41.0,150.0,11
2024-08-01 15:00:00,308.0,257.0,88.0,521,95.0,324.0,30
2024-08-01 16:00:00,380.0,327.0,135.0,601,136.0,428.0,44
2024-08-01 17:00:00,408.0,356.0,156.0,653,148.0,465.0,51
2024-08-01 18:00:00,420.0,379.0,165.0,679,156.0,478.0,75
2024-08-01 19:00:00,431.0,381.0,185.0,672,161.0,468.0,61
2024-08-01 20:00:00,434.0,385.0,181.0,669,163.0,467.0,56
