date,Actual,Predicted
2023-02-05 03:00:00,0,14.322690097790392
2023-02-05 04:00:00,0,14.428884008020628
2023-02-05 05:00:00,0,14.428884008020628
2023-02-05 06:00:00,5,16.19549217524288
2023-02-05 07:00:00,34,57.37322003680231
2023-02-05 08:00:00,39,59.8890962473273
2023-02-05 09:00:00,49,63.31060458531384
2023-02-05 10:00:00,54,71.4383085409137
2023-02-05 11:00:00,71,87.64006806323182
2023-02-05 12:00:00,74,99.62189043144205
2023-02-05 13:00:00,79,105.96734894740632
2023-02-05 14:00:00,82,107.50902855874591
2023-02-05 15:00:00,108,111.27224274972163
2023-02-05 16:00:00,97,95.38657773601605
2023-02-05 17:00:00,75,87.07611203730701
2023-02-05 18:00:00,65,77.08169808152138
2023-02-05 19:00:00,57,79.59022725760802
2023-02-05 20:00:00,40,62.498890332376625
2023-02-05 21:00:00,37,53.99966955161435
2023-02-05 22:00:00,36,48.30465335698436
2023-02-05 23:00:00,31,40.58743880281589
2023-02-06 00:00:00,10,25.33920694992754
2023-02-06 01:00:00,9,22.812165793151262
2023-02-06 02:00:00,9,21.728960694827133
2023-02-06 03:00:00,8,23.446131232411535
2023-02-06 04:00:00,0,0.0
2023-02-06 05:00:00,0,0.0
2023-02-06 06:00:00,11,4.497755854811357
2023-02-06 07:00:00,124,122.26569211555491
2023-02-06 08:00:00,325,305.96179422305414
2023-02-06 09:00:00,545,534.03838021093
2023-02-06 10:00:00,723,690.9421815741912
2023-02-06 11:00:00,790,762.3451512293083
2023-02-06 12:00:00,803,775.1786735866514
2023-02-06 13:00:00,798,773.5959992201003
2023-02-06 14:00:00,801,766.3832654560606
2023-02-06 15:00:00,765,740.7613122415925
2023-02-06 16:00:00,612,592.6090989304915
2023-02-06 17:00:00,380,347.3955342010579
2023-02-06 18:00:00,198,192.95875191373958
2023-02-06 19:00:00,130,115.24677619283322
2023-02-06 20:00:00,68,65.61209092273138
2023-02-06 21:00:00,50,48.59537249024422
2023-02-06 22:00:00,43,40.83609349723822
2023-02-06 23:00:00,36,32.0222808562157
2023-02-07 00:00:00,3,6.2135008888552585
2023-02-07 01:00:00,3,1.435183304230571
2023-02-07 02:00:00,2,0.03924164592297578
2023-02-07 03:00:00,2,1.631222057571575
2023-02-07 04:00:00,1,0.4439486016971762
2023-02-07 05:00:00,1,0.4439486016971762
2023-02-07 06:00:00,13,18.10748490911777
2023-02-07 07:00:00,127,145.63252919865988
2023-02-07 08:00:00,339,336.15879299479457
2023-02-07 09:00:00,620,596.9880694063436
2023-02-07 10:00:00,819,755.2103387634066
2023-02-07 11:00:00,895,826.0224461818826
2023-02-07 12:00:00,902,838.4688312717352
2023-02-07 13:00:00,909,837.6647808117991
2023-02-07 14:00:00,929,832.7104380358817
2023-02-07 15:00:00,874,806.0743436735888
2023-02-07 16:00:00,696,652.6294375893135
2023-02-07 17:00:00,418,408.1201554819582
2023-02-07 18:00:00,220,228.4411840794517
2023-02-07 19:00:00,140,140.38201663581987
2023-02-07 20:00:00,76,78.74389697553507
2023-02-07 21:00:00,59,58.432806206989085
2023-02-07 22:00:00,52,51.627833887199586
2023-02-07 23:00:00,34,42.3169575317819
2023-02-08 00:00:00,6,9.899901314418157
2023-02-08 01:00:00,3,6.141746313220779
2023-02-08 02:00:00,1,5.035331986125864
2023-02-08 03:00:00,0,6.59737885348102
2023-02-08 04:00:00,0,7.62984190609587
2023-02-08 05:00:00,2,7.715734083081316
2023-02-08 06:00:00,18,24.957286102990746
2023-02-08 07:00:00,132,150.52283982945733
2023-02-08 08:00:00,330,340.7760759187709
2023-02-08 09:00:00,614,597.5389433279187
2023-02-08 10:00:00,819,753.2694506425174
2023-02-08 11:00:00,894,824.2229244562927
2023-02-08 12:00:00,917,839.6762976407888
2023-02-08 13:00:00,924,838.5265024674555
2023-02-08 14:00:00,906,832.9943176956584
2023-02-08 15:00:00,861,807.2199912241775
2023-02-08 16:00:00,681,656.0717470851229
2023-02-08 17:00:00,421,411.98644057350316
2023-02-08 18:00:00,257,236.62122576080742
2023-02-08 19:00:00,192,150.40817582665804
2023-02-08 20:00:00,123,86.5150239062899
2023-02-08 21:00:00,74,66.05392814325326
2023-02-08 22:00:00,61,59.7138367237525
2023-02-08 23:00:00,51,48.41930285648461
2023-02-09 00:00:00,23,18.879177618231754
2023-02-09 01:00:00,21,13.553677444387114
2023-02-09 02:00:00,20,12.03479891906955
2023-02-09 03:00:00,20,11.977764787093214
2023-02-09 04:00:00,19,10.67535312656305
2023-02-09 05:00:00,19,11.742737274700016
2023-02-09 06:00:00,33,28.81387755130896
2023-02-09 07:00:00,145,153.3650269966993
2023-02-09 08:00:00,342,344.1545035635001
2023-02-09 09:00:00,596,596.2035903568361
2023-02-09 10:00:00,790,748.7507782674272
2023-02-09 11:00:00,858,818.8857290465093
2023-02-09 12:00:00,895,831.8927492743828
2023-02-09 13:00:00,902,831.2208625780517
