date,Actual,Predicted
2023-02-05 03:00:00,0,0.0
2023-02-05 04:00:00,0,0.0
2023-02-05 05:00:00,1,0.0
2023-02-05 06:00:00,4,5.660589144993585
2023-02-05 07:00:00,6,7.742149200639723
2023-02-05 08:00:00,18,33.163989846928125
2023-02-05 09:00:00,45,92.05071986406473
2023-02-05 10:00:00,90,122.22229055123347
2023-02-05 11:00:00,91,133.03309028195514
2023-02-05 12:00:00,89,131.92744163283567
2023-02-05 13:00:00,90,137.11087903686098
2023-02-05 14:00:00,70,123.8288499334356
2023-02-05 15:00:00,106,134.65456204188817
2023-02-05 16:00:00,109,133.68455484423214
2023-02-05 17:00:00,83,119.30813574921777
2023-02-05 18:00:00,83,141.72489635965692
2023-02-05 19:00:00,101,134.89061926480827
2023-02-05 20:00:00,97,128.0218339847278
2023-02-05 21:00:00,73,127.20061453542453
2023-02-05 22:00:00,46,98.67711365571253
2023-02-05 23:00:00,36,58.56448841744394
2023-02-06 00:00:00,20,36.49788136728948
2023-02-06 01:00:00,18,32.74043173866688
2023-02-06 02:00:00,19,27.640511105142078
2023-02-06 03:00:00,2,0.4134367925893929
2023-02-06 04:00:00,2,0.719681359358282
2023-02-06 05:00:00,4,2.135463707181404
2023-02-06 06:00:00,18,11.57803451983
2023-02-06 07:00:00,61,64.70622080673732
2023-02-06 08:00:00,324,306.74192868647793
2023-02-06 09:00:00,605,597.6685507986886
2023-02-06 10:00:00,874,807.348847871137
2023-02-06 11:00:00,959,884.8458924623017
2023-02-06 12:00:00,970,933.8031955901688
2023-02-06 13:00:00,1007,1023.805282994117
2023-02-06 14:00:00,1023,1015.6006048724424
2023-02-06 15:00:00,950,887.3693329135516
2023-02-06 16:00:00,819,764.3868379168521
2023-02-06 17:00:00,610,578.9720180425145
2023-02-06 18:00:00,402,377.0205002583436
2023-02-06 19:00:00,318,281.2781002711708
2023-02-06 20:00:00,255,234.75669173719683
2023-02-06 21:00:00,187,162.7742701068737
2023-02-06 22:00:00,116,118.71931780297321
2023-02-06 23:00:00,50,67.91107502125621
2023-02-07 00:00:00,18,30.135893623943147
2023-02-07 01:00:00,14,18.968651924993644
2023-02-07 02:00:00,11,10.61127785045684
2023-02-07 03:00:00,13,10.544085139394017
2023-02-07 04:00:00,14,10.418275986867071
2023-02-07 05:00:00,14,7.752264034007423
2023-02-07 06:00:00,21,23.757338337089216
2023-02-07 07:00:00,85,80.94272684654311
2023-02-07 08:00:00,317,255.45458727235777
2023-02-07 09:00:00,611,516.6355865558103
2023-02-07 10:00:00,894,742.5820491915237
2023-02-07 11:00:00,1029,899.7741944285006
2023-02-07 12:00:00,1071,924.0392622894034
2023-02-07 13:00:00,1099,957.7182680646004
2023-02-07 14:00:00,1152,1004.5621192991337
2023-02-07 15:00:00,1106,924.0225367405096
2023-02-07 16:00:00,945,781.5720223020445
2023-02-07 17:00:00,655,553.4401022945007
2023-02-07 18:00:00,407,306.55132766778013
2023-02-07 19:00:00,281,238.08731268282318
2023-02-07 20:00:00,209,202.95144344988137
2023-02-07 21:00:00,142,138.97275571725024
2023-02-07 22:00:00,91,100.6413011719264
2023-02-07 23:00:00,34,49.51680502718896
2023-02-08 00:00:00,11,54.987274421259606
2023-02-08 01:00:00,3,46.359360077899154
2023-02-08 02:00:00,2,45.03547985278999
2023-02-08 03:00:00,1,45.01177896606594
2023-02-08 04:00:00,2,46.22044619487221
2023-02-08 05:00:00,2,47.93522154092004
2023-02-08 06:00:00,14,77.63392281309862
2023-02-08 07:00:00,75,82.69455943030482
2023-02-08 08:00:00,341,349.8869706728482
2023-02-08 09:00:00,639,622.1315197651514
2023-02-08 10:00:00,968,846.3819086458428
2023-02-08 11:00:00,1071,1027.892325247647
2023-02-08 12:00:00,1102,1036.597863381133
2023-02-08 13:00:00,1139,1046.552180782501
2023-02-08 14:00:00,1154,1043.5537603360483
2023-02-08 15:00:00,1058,1024.902884663185
2023-02-08 16:00:00,873,852.6755761113037
2023-02-08 17:00:00,614,627.4966234291193
2023-02-08 18:00:00,375,387.9435352902346
2023-02-08 19:00:00,311,324.66175443165264
2023-02-08 20:00:00,238,266.06296247318573
2023-02-08 21:00:00,154,173.87842081241598
2023-02-08 22:00:00,98,110.07438714541574
2023-02-08 23:00:00,44,76.9916211454287
2023-02-09 00:00:00,12,48.522847316757016
2023-02-09 01:00:00,5,29.279427379627347
2023-02-09 02:00:00,2,33.411856122952045
2023-02-09 03:00:00,3,35.28326524137994
2023-02-09 04:00:00,4,35.211484404672795
2023-02-09 05:00:00,5,35.48208139279533
2023-02-09 06:00:00,16,59.83928532169714
2023-02-09 07:00:00,79,105.03847402352778
2023-02-09 08:00:00,252,330.6806543864471
2023-02-09 09:00:00,594,616.2302529655941
2023-02-09 10:00:00,881,864.7439768365477
2023-02-09 11:00:00,1030,983.8434945887291
2023-02-09 12:00:00,1060,1007.8988310418365
2023-02-09 13:00:00,1074,1039.1347561531845
2023-02-09 14:00:00,1106,1076.0226752084016
2023-02-09 15:00:00,1019,993.3943812465728
2023-02-09 16:00:00,839,819.3533974881711
2023-02-09 17:00:00,667,641.1286730095519
2023-02-09 18:00:00,435,422.2863321488045
2023-02-09 19:00:00,278,307.96743078900755
2023-02-09 20:00:00,206,261.77100340887154
