PARKADE,CAPACITY,MAE,ΔMAE,NORMALIZED_MAE (BY CAPACITY),NORMALIZED_ΔMAE (BY CAPACITY),MSE,ΔMSE,NORMALIZED_MSE (BY CAPACITY),NORMALIZED_ΔMSE (BY CAPACITY),RMSE,ΔRMSE,NORMALIZED_RMSE (BY CAPACITY),NORMALIZED_ΔRMSE (BY CAPACITY),R2,ΔR2
LightGBM - longterm,,,,,,,,,,,,,,,
North,990,0.0460705742755421,51.79642942572446,4.6535933611658686e-05,0.05231962568254996,0.0062170469198388,6119.92238295308,6.2798453735745456e-06,6.181739780760687,0.0788482524843691,78.15115174751564,7.96446994791607e-05,0.07894055732072287,0.8031030226782627,-0.003696977321737238
West,1232,0.0370049366792339,68.50069506332076,3.0036474577300243e-05,0.055601213525422695,0.0047394676490108,12295.82916053235,3.846970494326948e-06,9.980380812120414,0.0688437916519047,110.8177562083481,5.587970101615641e-05,0.089949477441841,0.8617950939374264,0.09669509393742637
Rose,807,0.0497694873226357,50.771730512677365,6.167222716559566e-05,0.06291416420406117,0.0081117197901307,7257.59088828021,1.0051697385539901e-05,8.993297259331115,0.0900650864104996,85.1014349135895,0.00011160481587422503,0.10545407052489406,0.8074177498551278,0.07441774985512783
Health Sciences,1189,0.036711880224039,5.409988119775961,3.0876265957980655e-05,0.004550032060366662,0.0053845751185167,10329.378815424881,4.528658636262994e-06,8.687450643755156,0.0733796642028074,101.5602203357972,6.17154450822602e-05,0.08541650154398418,0.9022628040395158,0.034962804039515794
Fraser,725,0.0508559466425571,41.775144053357444,7.014613330007875e-05,0.05762088834945854,0.006225132632817,4266.176874867368,8.586389838368276e-06,5.884381896368783,0.0788995097121459,65.23710049028786,0.00010882690994778745,0.08998220757281084,0.8079643344247786,0.06226433442477852
Thunderbird,1634,0.0476034023445951,95.0476965976554,2.9133049170498836e-05,0.058168724967965366,0.0121630983208281,37123.06663690168,7.443756622293819e-06,22.7191350287036,0.1102864376105608,192.56321356238942,6.749475985958433e-05,0.11784774391823098,0.7043928068260902,0.04059280682609023
University Lot Blvd,216,0.069384109837638,19.19161589016236,0.00032122273072980557,0.08885007356556648,0.0131034194350788,863.865396580565,6.0663978866105555e-05,3.999376836021134,0.1144701683194308,29.277329831680568,0.0005299544829603278,0.13554319366518783,0.4828648498499908,0.22286484984999078
,,,,,,,,,,,,,,,
LightGBM - week,,,,,,,,,,,,,,,
North,990,0.0345732489166614,51.80792675108334,3.4922473653193336e-05,0.05233123914250843,0.0049139415490155,6119.9236860584515,4.963577322237879e-06,6.1817410970287385,0.0700995117601795,78.15990048823983,7.080758763654495e-05,0.07894939443256548,0.8443730198256346,0.03757301982563466
West,1232,0.0371892199993078,68.5005107800007,3.0186055194243343e-05,0.05560106394480576,0.0049922990100668,12295.82890770099,4.052190754924351e-06,9.980380606900155,0.0706562029128855,110.81594379708712,5.7350814052666806e-05,0.08994800632880448,0.8544224231878521,0.0893224231878521
Rose,807,0.0533720720873504,50.76812792791265,6.613639663860024e-05,0.06290970003458816,0.0104225954491142,7257.588577404551,1.291523599642404e-05,8.993294395792505,0.1020911134678932,85.08940888653211,0.00012650695597012787,0.10543916838479815,0.752554706539269,0.01955470653926905
