PARKADE,CAPACITY,MAE,ΔMAE,NORMALIZED_MAE (BY CAPACITY),NORMALIZED_ΔMAE (BY CAPACITY),MSE,ΔMSE,NORMALIZED_MSE (BY CAPACITY),NORMALIZED_ΔMSE (BY CAPACITY),RMSE,ΔRMSE,NORMALIZED_RMSE (BY CAPACITY),NORMALIZED_ΔRMSE (BY CAPACITY),R2,ΔR2
LightGBM - longterm,,,,,,,,,,,,,,,
North,990,45.612084247370106,6.230415752629895,0.046072812371080914,0.006293349245080702,6095.825271374414,24.103328625586073,6.157399264014559,0.024346796591501085,78.07576622342181,0.15423377657819515,0.0788644103266887,0.00015579169351332843,0.8030469605246262,-0.003753039475373754
West,1232,45.60097703390964,22.936722966090358,0.03701378005999159,0.018617469940008406,7204.942129245318,5090.891770754682,5.848167312699122,4.132217346391787,84.88193052261074,26.004669477389257,0.06889767087874249,0.021107686264114658,0.8616408479707475,0.09654084797074747
Rose,807,40.16724734838205,10.654252651617952,0.049773540704314806,0.01320229572691196,5284.535476826083,1973.063523173917,6.548371098917079,2.4449362121114215,72.69481052197662,12.496689478023384,0.09008031043615443,0.01548536490461386,0.8073848540532775,0.07438485405327755
Health Sciences,1189,43.71848486448378,-38.27178486448378,0.036769120996201665,-0.03218821266987702,7662.675274289735,2666.7089257102652,6.444638582245362,2.242816590168432,87.53670815314987,14.096891846850127,0.07362212628523959,0.011856090703826852,0.9017837275414332,0.03448372754143325
Fraser,725,36.87636413030494,4.949635869695058,0.05086395052455854,0.00682708395820008,3275.2519909734647,990.9311090265355,4.517588953066848,1.366801529691773,57.22981732430626,8.086182675693742,0.07893767906800864,0.011153355414749988,0.8078597335448694,0.06215973354486937
Thunderbird,1634,77.783959071186,17.31134092881399,0.04760340212434884,0.01059445589278702,32474.93729839629,4648.141501603714,19.874502630597483,2.8446398418627377,180.20803893943324,12.465461060566753,0.11028643753943282,0.007628801138657743,0.7043928072073871,0.040592807207387116
University Lot Blvd,216,14.986967763724234,4.274032236275765,0.06938411001724182,0.01978718627905447,611.3531402341067,252.5253597658933,2.8303386121949385,1.1690988878050617,24.7255564191002,4.666243580899799,0.11447016860694538,0.021602979541202775,0.482864847252216,0.222864847252216
,,,,,,,,,,,,,,,
LightGBM - week,,,,,,,,,,,,,,,
North,990,34.22973221698964,17.612767783010362,0.03457548708786832,0.017790674528293294,4819.094457761201,1300.8341422387994,4.867772179556768,1.3139738810492922,69.41969790888751,8.81030209111249,0.07012090697867426,0.008899295041527767,0.8442974890648404,0.037497489064840406
West,1232,45.59468236589877,22.94301763410123,0.03700867075154121,0.018622579248458792,7595.411718828851,4700.422181171149,6.1651069146338076,3.8152777444571013,87.15165930049095,23.734940699509053,0.07073998319845044,0.019265373944406698,0.8541425169170258,0.0890425169170258
Rose,807,43.07453332803305,7.746966671966952,0.053376125561379245,0.009599710869847525,6790.77370939826,466.82529060174056,8.41483731028285,0.5784700007456512,82.40615091968718,2.7853490803128267,0.10211418949155784,0.0034514858492104418,0.7524842297184262,0.019484229718426227
Health Sciences,1189,45.14617924169546,-39.69947924169546,0.03796987320579937,-0.03338896487947473,7633.803873663407,2695.5803263365933,6.420356495932218,2.2670986764815755,87.3716422740434,14.261957725956606,0.07348329880070933,0.011994918188357111,0.9021537864632424,0.03485378646324244
Fraser,725,34.043876202940325,7.7821237970596755,0.04695707062474527,0.010733963858013345,3309.592565600332,956.5905343996683,4.564955262897009,1.3194352198616115,57.52905844527904,7.786941554720961,0.0793504254417642,0.01074060904099443,0.8058451688099382,0.06014516880993814
Thunderbird,1634,84.82361944380087,10.27168055619913,0.05191163980648768,0.006286218210648182,36307.64854711496,815.4302528850458,22.220103150009155,0.4990393224510684,190.54566000598112,2.1278399940188706,0.11661301101957229,0.0013022276585182807,0.669505072009994,0.005705072009994039
University Lot Blvd,216,14.056709886457911,5.204290113542088,0.0650773605854533,0.024093935710843,523.6827378894263,340.1957621105737,2.4244571198584555,1.574980380141545,22.88411540543847,6.507684594561528,0.10594497872888181,0.030128169419266333,0.557024026169028,0.297024026169028
