,Actual,Predicted
0,18,48.60740759007167
1,34,79.70729784113968
2,45,119.89054410410122
3,51,150.35302280408578
4,43,161.76506924227473
5,42,156.06100245094635
6,39,141.3155470488856
7,52,109.62280354677127
8,37,97.63540549122776
9,32,74.6994457896326
10,27,51.83969943760295
11,17,32.796029373107025
12,0,18.65385526306417
13,0,7.2745720059062435
14,0,0.0
15,2,0.0
16,5,10.25869447058422
17,2,1.3332092393852322
18,2,0.0
19,0,0.0
20,0,0.0
21,2,0.0
22,17,0.0
23,75,23.720952803197925
24,135,110.94279677611749
25,243,276.10334921936146
26,339,429.64331597748946
27,384,522.386932714429
28,386,573.5655197996298
29,382,600.0440712607136
30,374,601.9205689386907
31,321,546.1638074956938
32,190,448.0365972931017
33,85,309.64500917210745
34,1,194.45048510058336
35,0,123.65287137732648
36,0,73.00336042317606
37,0,28.765215787672453
38,0,0.0
39,0,0.0
40,0,0.0
41,2,0.0
42,1,0.0
43,0,0.0
44,0,0.0
45,1,0.0
46,12,0.0
47,70,56.86748611782214
48,146,141.44186704213
49,243,308.64489665829495
50,380,469.96944846132436
51,463,574.5070211956238
52,486,638.360072415853
53,491,675.4753021698651
54,484,684.1625477255004
55,443,630.6995774017001
56,316,530.1852252096257
57,166,384.67199236304043
58,62,257.83618260264063
59,1,171.94162561950606
60,1,105.0638147216548
61,1,46.72394961259666
62,0,2.6004240815273927
63,0,0.0
64,0,0.0
65,0,0.0
66,3,0.0
67,4,0.0
68,2,0.0
69,3,0.0
70,18,0.0
71,82,62.16188701795377
72,144,147.67503442386996
73,285,315.1416106802891
74,388,472.59280877968115
75,441,567.1782066397675
76,473,615.9633241722993
77,476,636.6583157901116
78,475,632.5844041575015
79,424,574.099132205858
80,313,477.75720573938963
81,131,344.0253768643833
82,27,232.8772044311934
83,0,162.41322538965287
84,1,107.59566533056254
85,0,56.607630370674485
86,0,15.398465522276217
87,0,0.0
88,3,0.0
89,1,0.0
90,2,0.0
91,1,0.0
92,2,0.0
93,4,0.0
94,18,3.7391826660800365
95,81,69.39096095080454
96,146,151.56792293277587
97,250,312.669953182404
98,373,462.2241964554814
99,438,549.9689577231399
100,448,595.5151105622381
101,445,617.8166932890985
102,457,619.4570205021017
103,424,568.3866520248924
104,309,478.2484101244095
105,201,347.47154891848766
106,82,235.70172845937608
107,12,162.28588518902134
108,0,104.05987521517166
109,0,50.57971822733585
110,0,8.052965526168562
111,0,0.0
112,0,0.0
113,3,0.0
114,3,0.0
115,5,0.0
116,5,0.0
117,4,0.0
118,20,0.0
119,73,53.94165908084487
120,122,123.8753147620672
