,Actual,Predicted
0,13,259.25703015776384
1,55,298.9208172030697
2,99,336.71837104176785
3,102,359.76790839624266
4,127,367.7505084823074
5,116,367.6520908864891
6,109,357.1114136728887
7,131,326.08201791696905
8,140,334.7725458124694
9,140,325.9152354576482
10,85,319.6843162426296
11,87,333.5192240649221
12,63,364.2712078013562
13,42,386.942102389211
14,31,390.61713288107484
15,32,363.94977620125064
16,13,272.07702021438695
17,5,233.9386570449362
18,5,186.44766635860373
19,1,107.11855972490396
20,0,60.07363531757785
21,1,27.561622489602794
22,16,25.77272635051707
23,61,95.10118777488479
24,302,285.95473690011715
25,568,556.1262519824453
26,766,790.8982065134736
27,853,898.6253469606255
28,885,942.7836912164397
29,901,974.7552935017872
30,912,980.9103501073977
31,850,909.9352286827798
32,747,774.6549303455353
33,569,563.0944395384645
34,343,388.0695259780705
35,263,322.0934085752321
36,209,297.6581336501156
37,152,278.9471841266236
38,106,272.9720811753191
39,58,264.05984117502754
40,32,248.3445399798998
41,17,249.84752830359898
42,15,248.93902661096092
43,16,214.01766859912314
44,17,201.41004174540547
45,18,188.23420529714008
46,31,188.96652249220907
47,88,245.7449873408371
48,314,413.53709532745836
49,601,656.3517261229687
50,862,865.926762213016
51,1000,955.9389343584678
52,1044,993.0017337983195
53,1072,1028.9193053023366
54,1089,1047.8397343563968
55,1012,994.2099124667578
56,852,875.6214058997547
57,608,675.0583616969718
58,391,501.58237454170006
59,326,426.01717210005836
60,280,381.5454475942834
61,189,335.2313777835797
62,109,298.5255371107853
63,52,260.8306603054827
64,35,222.98407964948058
65,18,212.44968591417918
66,10,211.18248225012
67,10,187.1018024786557
68,11,194.1882361018328
69,13,205.87851631779907
70,29,232.36637398119464
71,84,311.68220662135593
72,321,495.52642464130776
73,618,745.9213552554504
74,887,954.0576248508418
75,989,1034.3898441892698
76,1034,1055.3105113905397
77,1067,1070.9671935329598
78,1071,1067.9715023584042
79,1016,992.9901907601565
80,849,855.36110228691
81,605,639.2563035563195
82,366,454.4008762357073
83,307,371.859560237979
84,247,324.74708530381196
85,166,279.83131552628674
86,121,248.066105151899
87,68,218.14106394471136
88,48,189.93605970756016
89,31,189.71589185800448
90,29,198.0652443207266
91,31,181.51673608277324
92,30,192.87465362308927
93,30,204.8667286137493
94,41,227.66955403054328
95,89,300.113541436198
96,236,475.489719150777
97,520,718.0018229033684
98,774,921.2591167420996
99,903,1001.9249604658778
100,944,1029.9399071957262
101,957,1059.984346412549
102,987,1078.0155355286745
103,934,1028.9199805978587
104,780,919.424071973524
105,570,730.7316625799233
106,375,569.7991376900125
107,263,505.6387296390575
108,202,470.3885022218337
109,153,431.0327026549262
110,110,399.77759243219856
111,57,367.20166597707436
112,25,335.1584678122706
113,10,331.3975067868856
114,9,337.04388533429994
115,9,318.0074486761605
116,9,325.3904491401579
117,11,329.5227998550129
118,22,338.09502117348376
119,81,388.0614170119703
120,319,532.0729973328815
121,564,735.3279123804648
122,739,894.1226680322023
123,806,929.1784148772556
124,818,915.2045433943209
125,784,911.4863220320435
126,732,907.5076180756511
127,652,849.8434636296632
128,537,744.634746214788
129,362,570.2207386871482
130,212,428.8594502371619
131,155,383.8517105678875
132,113,361.65203740004654
133,97,324.64557279369916
134,74,282.385343501597
135,36,225.23595022761637
136,19,252.49089682340252
137,7,201.6920349022907
138,3,185.3683683014264
139,2,175.4467380020496
140,1,171.32521051489184
141,0,173.9783670261461
142,5,182.77913416568217
143,10,202.2494343713041
144,13,242.21856341016885
145,31,291.82691858234955
146,79,342.4349985109398
147,118,380.9950659805911
148,115,406.20321696531727
149,128,423.1318231049941
150,127,426.74887189824153
151,133,404.0282865545565
152,146,412.5347806773442
153,127,393.3895933057692
154,84,366.76414852895397
155,66,351.99214466006106
156,46,349.60652348079464
157,43,339.5426501288352
158,21,316.1811520733691
159,13,272.75085680838134
160,0,272.3802914418616
161,0,239.77413643001955
162,4,235.14350628906672
163,4,231.12185870876013
164,4,228.294670533645
165,3,228.8845238366854
166,3,233.20082883985566
167,4,246.17525031571472
168,13,277.52474941081647
169,44,315.9792835870269
170,66,352.56860230759173
171,54,374.4110022936463
172,58,381.1876425802262
173,65,379.8845223923797
174,61,368.1404792580906
175,69,335.909133507244
176,72,343.399206402836
177,88,333.3430149051237
178,93,325.9148670478387
179,226,338.55427716640804
180,539,368.112572349277
181,674,389.5916655121769
182,668,392.0768594578555
183,616,364.2217086155123
184,32,271.16327811567385
185,16,231.84143708028932
186,10,183.16924193407763
187,1,102.66128073137992
188,0,54.43992785911547
189,1,20.753988611662702
190,6,17.79374376030506
191,45,85.9535095452005
192,278,275.64109119263765
193,589,544.649441721757
194,758,778.2611091139348
195,826,884.8309140055336
196,883,927.8349481301187
197,914,958.6553392417414
198,940,963.6623568321307
199,898,891.5424414253176
200,742,755.1206666741621
201,520,542.4220892042073
202,353,366.2625505810302
203,268,299.15534120343915
204,220,273.5925785160339
205,173,253.7578162112794
206,148,246.66264585339403
207,69,236.6341538426873
208,33,219.80648567555858
209,27,220.2010613150085
210,25,218.1881700995813
211,25,182.1665141901204
212,27,168.46274912806635
213,28,154.19500183060782
214,38,153.8397027876172
215,88,209.5349128442291
216,262,376.24819390582934
217,555,617.9884916181531
218,778,826.4937540644537
219,884,915.4407771051093
220,925,951.44311666724
221,937,986.3049817699975
222,988,1004.1745216928111
223,920,949.4986912768318
224,772,829.8691196782138
225,560,628.2700163579294
226,359,453.7630379497378
227,290,377.1719736007195
228,218,331.67957753793206
229,152,284.3500870454768
230,118,246.63413660843514
231,79,207.93452050648472
232,57,169.08863007600885
233,34,157.56041465121172
234,26,155.30493544295797
235,24,130.24158382531152
236,25,136.35100634345676
237,25,147.0699927253809
238,40,172.59232983621428
239,86,250.9484707008348
240,323,433.83888068281544
241,622,683.2859414365511
242,840,890.4803332433876
243,902,969.8767202418138
244,982,989.8676533723486
245,977,1004.6007519969656
246,977,1000.687679591561
247,940,924.7952402277276
248,785,786.2613280861547
249,580,569.2580598619221
250,421,383.5105667191323
251,363,300.0836375202063
252,313,252.09205038247592
253,204,206.3037171994714
254,127,173.67253944964267
255,72,142.88817355164224
256,46,113.83053338106755
257,32,112.76446383685622
258,29,120.27469375213272
259,27,102.89388642052428
260,26,113.42637204036042
261,26,124.59992541328654
262,37,146.59118203317487
263,90,218.23059538665345
264,281,392.8092351247139
265,589,634.530877686512
266,799,837.0048272228215
267,895,916.8944830328237
268,910,944.1404371192098
269,917,973.4231172228415
270,920,990.6998184063382
271,860,940.8570837528952
272,735,830.6213400164021
273,555,641.196475902949
274,367,479.5389118317851
275,269,414.6609146622496
276,201,378.7005820851978
277,140,338.64219456642076
278,129,306.69204622689557
279,71,273.4286634727963
280,41,240.7056221760886
281,34,236.27246188555904
282,30,241.25431510519397
283,29,221.561056469549
284,31,228.29496708245756
285,33,231.78598820155656
286,43,239.7246676588566
287,94,289.0653361907291
288,342,432.45902995173367
289,563,635.1039246992626
290,713,793.2965511776723
291,763,827.7580842029973
292,758,813.1979378119703
293,725,808.9014033472203
294,700,804.3523703419552
295,609,746.1258924869514
296,502,640.362878227524
297,336,465.4026206824934
298,219,323.5031486467454
299,163,277.96531075039303
300,112,255.2436430062242
301,88,217.72330507716822
302,83,174.95734066566862
303,51,117.31036675800269
304,34,144.0759028225194
305,22,92.79581542861543
306,12,75.99912269254746
307,12,65.61267921571749
308,8,61.03456446125772
309,8,63.23937190381546
310,13,71.60003978777732
311,13,90.63850150098288
312,24,130.1840630975979
313,42,179.37713149274694
314,77,229.57821425981174
315,112,267.7395824660992
316,108,292.55733970463194
317,112,309.10386456380246
318,104,312.3471508252918
319,111,289.2611273169867
320,111,297.4105125968398
321,84,277.91654999011047
322,81,250.95066721734182
323,59,235.84656554327512
324,35,233.13718905525081
325,41,222.75790452346266
326,34,199.0893403880367
327,15,155.36032446255822
328,13,154.69938350543015
329,4,121.8111969698715
330,0,116.9068777058703
331,0,112.61988108521666
332,0,109.53568097873661
333,0,109.87685582912982
334,1,113.95281157243026
335,3,126.69520804613734
336,9,157.8210008099348
337,31,196.06014109741022
338,38,232.44237147434745
339,41,254.08598113972664
340,45,260.6721209547224
341,68,259.1867813201691
342,82,247.26879030473998
343,81,214.8717581329728
344,90,222.2043953346311
345,96,211.999007494341
346,74,204.4298906268728
347,78,216.93654642410442
348,67,246.37028870282919
349,66,267.7330164772722
350,55,270.1100180065464
351,36,242.15483257088528
352,12,149.00450951759152
353,7,109.59890157505498
354,8,60.851048141104506
355,0,0.0
356,0,0.0
357,2,0.0
358,11,0.0
359,50,0.0
360,300,153.03819832999886
361,625,422.0271229385883
362,789,655.6273148996595
363,847,762.1935723659166
364,866,805.2019640122559
365,914,836.0345939263314
366,911,841.0617073514279
367,844,768.9697199839925
368,756,632.5836800528988
369,520,419.9286181944727
370,317,243.82034939922295
371,265,176.77213692348545
372,206,151.27607049641855
373,140,131.51567553416973
374,98,124.50251474761548
375,38,114.56364513776418
376,16,97.83318223524546
377,11,98.33251549259268
378,11,96.43190317036343
379,13,60.53001582114115
380,13,46.95347682849497
381,14,32.82038041056979
382,27,32.607123820912314
383,87,88.45173413588304
384,287,255.32173894909238
385,560,497.2260491193069
386,779,705.9025773474218
387,904,795.0280836306417
388,927,831.2160875363512
389,925,866.2707611772508
390,966,884.3402164397718
391,912,829.8713702583872
392,759,710.4558133999479
393,547,509.0777164002997
394,342,334.798696535861
395,258,258.44250305812704
396,173,213.1918498473328
397,121,166.11093334400385
398,83,128.65034671697313
399,34,90.21284246219007
400,15,51.6357696689727
401,4,40.38303494971126
402,3,38.409656347464725
403,1,13.63498160720698
404,1,20.039613200309866
405,0,31.06029632881131
406,12,56.890772901211015
407,53,135.56145053642317
408,301,318.7727487709558
409,592,568.547002998472
410,775,776.0748468207673
411,871,855.810897271753
412,887,876.1476577894819
413,910,891.2326997989081
414,942,887.6776384570724
415,896,812.1492291014478
416,781,673.9853167950669
417,543,457.3579687262746
418,323,271.9922661365795
419,257,188.95294762400215
420,203,141.35474065493614
421,114,95.96550609171005
422,55,63.739094013249414
423,18,33.365109084068855
424,10,4.723413072992122
425,6,4.078798413029581
426,5,12.015941124016763
427,5,0.0
428,5,6.0376058009642755
429,6,17.65412545592369
430,16,40.093591663583865
431,60,112.18640344225132
432,223,287.2235756524265
433,529,529.4088296394871
434,718,732.3514141552101
435,837,812.7146727912686
436,897,840.4391415453505
437,895,870.205191880276
438,970,887.9700622734872
439,847,838.620238953253
440,755,728.8820915425016
441,545,539.9594513422578
442,328,378.80868111479424
443,235,314.441989792057
444,180,278.99741687460937
445,135,239.45918441404243
446,115,208.0335278541663
447,58,175.298914693715
448,34,143.10886166541346
449,15,139.21284894887003
450,15,144.73594945668074
451,16,125.58797801642957
452,14,132.8711557186704
453,14,136.91536359345687
454,21,145.41108905246375
455,63,195.31260221523598
456,297,339.2708784190048
457,541,542.4840324337098
458,676,701.2485338629093
459,722,736.2854961463562
460,731,722.3042718243997
461,734,718.5900905668333
462,700,714.626780081968
463,631,656.98933208298
464,511,551.818592887682
465,330,377.45379335456784
466,219,236.15289988209298
467,163,191.21669857510338
468,113,169.099662793728
469,91,132.18688943773077
470,76,90.03135932813689
471,18,32.99762646852375
472,4,60.379147238415406
473,0,9.71772502253018
474,0,0.0
475,0,0.0
476,4,0.0
477,4,0.0
478,5,0.0
479,6,11.32514331320136
