Timestamp,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd,temp,visibility,dew_point,feels_like,pressure,humidity,wind_speed,clouds_all,rain_1h,snow_1h
2018-09-06 09:00:00,950,1015.0,475,909,556,934,,14.69,10000.0,11.09,14.28,1015,79,1.54,20,,
2018-09-06 10:00:00,918,1160.0,612,972,706,1049,,14.59,10000.0,10.21,14.06,1015,75,1.03,20,,
2018-09-06 11:00:00,832,1210.0,659,964,724,1072,,14.01,10000.0,9.85,13.45,1016,76,0.0,40,,
2018-09-06 12:00:00,850,1166.0,695,953,720,1095,,14.16,10000.0,10.58,13.69,1016,79,2.1,75,,
2018-09-06 13:00:00,859,1219.0,709,962,727,1073,,13.85,10000.0,9.7,13.28,1016,76,2.1,30,,
2018-09-06 14:00:00,769,1150.0,682,914,700,989,,13.96,10000.0,9.41,13.34,1017,74,2.6,75,,
2018-09-06 15:00:00,648,998.0,574,746,623,855,,14.92,10000.0,11.31,14.53,1017,79,3.1,100,,
2018-09-06 16:00:00,523,877.0,439,456,465,616,,16.93,10000.0,10.08,16.35,1017,64,2.6,75,,
2018-09-06 17:00:00,363,674.0,275,225,343,346,,19.16,10000.0,9.91,18.57,1017,55,2.1,75,,
2018-09-06 18:00:00,254,539.0,177,150,287,203,,21.82,10000.0,9.7,21.26,1017,46,3.1,40,,
2018-09-06 19:00:00,199,442.0,85,93,221,145,,23.94,10000.0,9.15,23.41,1017,39,3.6,40,,
2018-09-06 20:00:00,138,375.0,4,65,188,103,,23.3,10000.0,13.76,23.12,1017,55,3.1,20,,
2018-09-06 21:00:00,100,329.0,0,61,165,86,,23.92,10000.0,13.77,23.75,1016,53,4.12,0,,
2018-09-06 22:00:00,81,332.0,0,60,159,78,,24.05,10000.0,12.37,23.76,1015,48,3.6,0,,
2018-09-06 23:00:00,78,312.0,3,36,156,68,,21.5,10000.0,9.73,20.93,1015,47,3.6,20,,
2018-09-07 00:00:00,76,309.0,2,32,154,64,,24.28,10000.0,9.07,23.76,1015,38,3.6,20,,
2018-09-07 01:00:00,74,305.0,0,32,150,60,,24.13,10000.0,9.7,23.64,1014,40,2.6,20,,
2018-09-07 02:00:00,76,290.0,0,32,149,60,,23.01,10000.0,7.94,22.36,1014,38,2.6,0,,
2018-09-07 03:00:00,76,289.0,0,31,149,59,,19.41,10000.0,8.73,18.71,1014,50,5.14,20,,
2018-09-07 04:00:00,78,290.0,0,33,149,61,,18.11,10000.0,8.94,17.41,1015,55,5.14,20,,
2018-09-07 05:00:00,111,299.0,3,65,155,70,,19.18,10000.0,7.92,18.41,1015,48,5.14,20,,
2018-09-07 06:00:00,195,369.0,13,192,168,121,,17.56,10000.0,9.71,16.94,1016,60,6.7,20,,
2018-09-07 07:00:00,292,595.0,76,397,220,413,,16.19,10000.0,10.72,15.69,1016,70,5.7,20,,
2018-09-07 08:00:00,520,878.0,247,702,362,720,,16.78,10000.0,10.17,16.21,1017,65,6.7,75,,
2018-09-07 09:00:00,709,1111.0,388,874,487,945,,15.92,10000.0,10.88,15.45,1017,72,6.7,20,,
2018-09-07 10:00:00,771,1190.0,486,943,539,1047,,15.23,10000.0,10.63,14.74,1017,74,6.2,75,,
2018-09-07 11:00:00,827,1210.0,525,930,580,1079,,15.27,10000.0,10.47,14.76,1017,73,7.2,75,,
2018-09-07 12:00:00,836,1212.0,474,898,592,1058,,15.15,10000.0,10.55,14.65,1018,74,6.7,40,0.1,
2018-09-07 13:00:00,830,1176.0,464,895,577,1023,,15.02,10000.0,10.22,14.48,1018,73,6.7,75,0.1,
2018-09-07 14:00:00,746,1042.0,384,827,522,940,,14.18,10000.0,11.52,13.85,1018,84,7.2,75,0.27,
2018-09-07 15:00:00,634,855.0,271,669,469,834,,14.83,10000.0,11.42,14.46,1019,80,5.7,75,,
2018-09-07 16:00:00,462,629.0,124,395,313,514,,14.8,10000.0,11.57,14.45,1018,81,6.2,75,0.1,
2018-09-07 17:00:00,327,485.0,13,201,205,300,,15.46,10000.0,11.65,15.1,1018,78,6.7,100,,
