dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1704067200,2024-01-01 00:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,7.94,10000,6.4,5.97,7.11,8.87,1022,,,90,3.1,130,0,,,,,20,801,Clouds,few clouds,02d
1704070800,2024-01-01 01:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,7.27,,6.06,5.17,5.94,8.91,1023,,,92,3.09,150,,,,,,99,804,Clouds,overcast clouds,04n
1704074400,2024-01-01 02:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,6.56,10000,5.82,4.32,5.4,8.12,1023,,,95,3.09,120,,,,,,75,803,Clouds,broken clouds,04n
1704078000,2024-01-01 03:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,6.03,10000,5.29,4.04,4.81,7.8,1023,,,95,2.6,130,0,,,,,75,803,Clouds,broken clouds,04n
1704081600,2024-01-01 04:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.53,10000,4.94,3.93,4.27,7.35,1023,,,96,2.06,70,,,,,,75,803,Clouds,broken clouds,04n
1704085200,2024-01-01 05:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.48,10000,5.04,3.87,4.27,7.35,1023,,,97,2.06,100,,,,,,100,804,Clouds,overcast clouds,04n
1704088800,2024-01-01 06:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.69,,4.95,2.94,3.9,7.35,1023,,,95,3.6,80,,,,,,100,804,Clouds,overcast clouds,04n
1704092400,2024-01-01 07:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.6,10000,5.01,2.53,4.4,7.35,1023,,,96,4.12,90,,,,,,100,804,Clouds,overcast clouds,04n
1704096000,2024-01-01 08:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,4.95,10000,4.37,3.21,3.4,6.82,1023,,,96,2.1,100,0,,,,,75,803,Clouds,broken clouds,04n
1704099600,2024-01-01 09:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,4.98,10000,4.4,3.24,3.83,6.69,1024,,,96,2.1,130,0,,,,,100,741,Fog,fog,50n
1704103200,2024-01-01 10:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,4.48,10000,4.05,1.81,3.4,6.52,1024,,,97,3.09,100,,,,,,100,804,Clouds,overcast clouds,04n
1704106800,2024-01-01 11:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,4.52,10000,3.94,2.75,3.16,6.45,1024,,,96,2.06,110,,,,,,100,804,Clouds,overcast clouds,04n
1704110400,2024-01-01 12:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,4.06,10000,3.63,1.7,2.91,5.65,1024,,,97,2.6,100,0,,,,,40,741,Fog,fog,50n
1704114000,2024-01-01 13:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,3.96,,3.38,0.83,3.01,5.58,1023,,,96,3.6,100,,,,,,80,803,Clouds,broken clouds,04n
1704117600,2024-01-01 14:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,3.43,10000,3,-0.43,2.16,5.35,1023,,,97,4.63,110,,,,,,100,701,Mist,mist,50n
1704121200,2024-01-01 15:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,3,400,2.57,0.03,1.61,4.71,1023,,,97,3.1,80,0,,,,,20,741,Fog,fog,50n
1704121200,2024-01-01 15:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,3,400,2.57,0.03,1.61,4.71,1023,,,97,3.1,80,0,,,,,20,701,Mist,mist,50n
1704124800,2024-01-01 16:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,2.75,10000,2.32,0.17,1.4,4.51,1023,,,97,2.57,100,,,,,,40,741,Fog,fog,50n
1704128400,2024-01-01 17:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,3.56,,2.84,0.71,1.4,5.4,1024,,,95,3.09,150,,,,,,23,801,Clouds,few clouds,02d
1704132000,2024-01-01 18:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,4.77,,4.04,4.77,2.3,6.6,1024,,,95,1.03,170,,,,,,6,800,Clear,sky is clear,01d
1704135600,2024-01-01 19:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.33,10000,4.44,5.33,3.3,7.35,1024,,,94,1.03,0,,,,,,75,803,Clouds,broken clouds,04d
1704139200,2024-01-01 20:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.74,10000,4.85,4.74,4.25,7.35,1023,,,94,1.54,70,,,,,,100,804,Clouds,overcast clouds,04d
1704142800,2024-01-01 21:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,6.11,10000,4.91,6.11,4.65,7.72,1023,,,92,1,150,0,,,,,40,802,Clouds,scattered clouds,03d
1704146400,2024-01-01 22:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,6.12,10000,4.76,4.58,4.85,7.75,1023,,,91,2.1,230,0,,,,,75,803,Clouds,broken clouds,04d
1704150000,2024-01-01 23:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,6.23,10000,4.87,4.74,5.35,7.75,1023,,,91,2.06,70,,,,,,75,803,Clouds,broken clouds,04d
1704153600,2024-01-02 00:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.7,10000,4.35,5.7,4.94,7.52,1023,,,91,1.03,80,,,,,,40,802,Clouds,scattered clouds,03d
1704157200,2024-01-02 01:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.37,,4.33,5.37,4,6.72,1023,,,93,0.51,360,,,,,,98,804,Clouds,overcast clouds,04n
1704160800,2024-01-02 02:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.04,10000,4.16,3.35,3.82,6.69,1022,,,94,2.06,40,,,,,,75,803,Clouds,broken clouds,04n
1704164400,2024-01-02 03:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,5.35,10000,4.16,2.86,4.27,6.92,1022,,,92,3.1,60,0,,,,,75,803,Clouds,broken clouds,04n
1704168000,2024-01-02 04:00:00 +0000 UTC,-28800,The University of British Columbia,49.260605,-123.245994,4.94,10000,3.75,3.24,3.72,6.64,1021,,,92,2.06,90,,,,,,75,803,Clouds,broken clouds,04n
