date,Actual,Predicted
2023-01-20 14:00:00,356,376.71286870322575
2023-01-20 15:00:00,261,325.0689321800615
2023-01-20 16:00:00,117,190.57660573562308
2023-01-20 17:00:00,34,68.64887672543668
2023-01-20 18:00:00,0,40.40157439923463
2023-01-20 19:00:00,2,25.471478550306102
2023-01-20 20:00:00,0,18.206191278542978
2023-01-20 21:00:00,1,10.830026565024818
2023-01-20 22:00:00,0,11.42520165782331
2023-01-20 23:00:00,0,11.42520165782331
2023-01-21 00:00:00,2,6.523290229516053
2023-01-21 01:00:00,0,6.355439436681892
2023-01-21 02:00:00,0,6.355439436681892
2023-01-21 03:00:00,0,6.9137014180712475
2023-01-21 04:00:00,1,6.355439436681892
2023-01-21 05:00:00,2,8.25517786378981
2023-01-21 06:00:00,2,16.663868802105682
2023-01-21 07:00:00,0,16.664121876557147
2023-01-21 08:00:00,53,47.333617403035284
2023-01-21 09:00:00,91,90.56704213508552
2023-01-21 10:00:00,122,107.19386532072643
2023-01-21 11:00:00,158,127.69417319086335
2023-01-21 12:00:00,121,125.47732832280131
2023-01-21 13:00:00,65,112.74022046903745
2023-01-21 14:00:00,56,110.11005019496352
2023-01-21 15:00:00,62,82.97977764896038
2023-01-21 16:00:00,52,70.37934614944072
2023-01-21 17:00:00,34,64.53621085003677
2023-01-21 18:00:00,17,49.51792453286993
2023-01-21 19:00:00,9,36.246392950305435
2023-01-21 20:00:00,1,27.322469873148037
2023-01-21 21:00:00,0,20.669386558470016
2023-01-21 22:00:00,2,20.8290808181133
2023-01-21 23:00:00,1,19.48760437239475
2023-01-22 00:00:00,7,6.355439436681892
2023-01-22 01:00:00,2,6.355439436681892
2023-01-22 02:00:00,1,6.355439436681892
2023-01-22 03:00:00,0,7.696915882400451
2023-01-22 04:00:00,1,7.696915882400451
2023-01-22 05:00:00,3,7.696915882400451
2023-01-22 06:00:00,4,16.663868802105682
2023-01-22 07:00:00,3,16.664121876557147
2023-01-22 08:00:00,6,29.274337291811772
2023-01-22 09:00:00,19,39.626750319544485
2023-01-22 10:00:00,37,51.510635382960224
2023-01-22 11:00:00,37,60.765507777242526
2023-01-22 12:00:00,50,79.18179000338279
2023-01-22 13:00:00,43,68.28925739333269
2023-01-22 14:00:00,35,70.91476346091758
2023-01-22 15:00:00,51,89.45155294418203
2023-01-22 16:00:00,47,80.71816621210955
2023-01-22 17:00:00,17,59.35939836815873
2023-01-22 18:00:00,12,46.13460125638012
2023-01-22 19:00:00,1,22.466316665111453
2023-01-22 20:00:00,0,13.178601959062359
2023-01-22 21:00:00,9,11.785107323366345
2023-01-22 22:00:00,3,15.989174705167809
2023-01-22 23:00:00,1,16.53447759454917
2023-01-23 00:00:00,0,8.318906789910809
2023-01-23 01:00:00,2,8.324786061397003
2023-01-23 02:00:00,6,8.023416955478321
2023-01-23 03:00:00,1,6.438006726297078
2023-01-23 04:00:00,0,7.373710106464679
2023-01-23 05:00:00,1,6.694899601767753
2023-01-23 06:00:00,12,25.81204958239389
2023-01-23 07:00:00,47,59.18737084126251
2023-01-23 08:00:00,103,124.71184908626066
2023-01-23 09:00:00,213,248.89570829321625
2023-01-23 10:00:00,354,358.88180669706566
2023-01-23 11:00:00,412,414.85566413966893
2023-01-23 12:00:00,431,441.537348624518
2023-01-23 13:00:00,423,453.3428075032866
2023-01-23 14:00:00,413,421.996242961762
2023-01-23 15:00:00,377,375.4041042144259
2023-01-23 16:00:00,295,271.4080797500549
2023-01-23 17:00:00,154,147.54643661126826
2023-01-23 18:00:00,53,45.62930894557538
2023-01-23 19:00:00,0,21.28680338796498
2023-01-23 20:00:00,2,21.127109128321695
2023-01-23 21:00:00,0,19.29766359992418
2023-01-23 22:00:00,0,19.29766359992418
2023-01-23 23:00:00,0,19.29766359992418
2023-01-24 00:00:00,0,6.656808542600573
