date,Actual,Predicted
2023-01-20 14:00:00,96,67.0872967441817
2023-01-20 15:00:00,73,66.50788823255138
2023-01-20 16:00:00,63,66.94777973398241
2023-01-20 17:00:00,92,76.40609994811344
2023-01-20 18:00:00,129,73.96613000868892
2023-01-20 19:00:00,179,74.574329594682
2023-01-20 20:00:00,148,65.14865471327887
2023-01-20 21:00:00,125,44.17574613807007
2023-01-20 22:00:00,42,34.037953614441136
2023-01-20 23:00:00,35,29.782243120872618
2023-01-21 00:00:00,30,11.137929902588994
2023-01-21 01:00:00,24,11.223412870097674
2023-01-21 02:00:00,11,12.321045444744072
2023-01-21 03:00:00,10,14.10072452758201
2023-01-21 04:00:00,10,14.484339981799948
2023-01-21 05:00:00,10,14.592614551165909
2023-01-21 06:00:00,10,14.592614551165909
2023-01-21 07:00:00,12,17.2374123638207
2023-01-21 08:00:00,23,22.401863467557963
2023-01-21 09:00:00,39,32.20069009597374
2023-01-21 10:00:00,63,48.84394470148291
2023-01-21 11:00:00,101,62.064136944935186
2023-01-21 12:00:00,116,69.2474710838553
2023-01-21 13:00:00,129,69.2007119009246
2023-01-21 14:00:00,152,69.2007119009246
2023-01-21 15:00:00,138,68.68203538931702
2023-01-21 16:00:00,121,68.39975788311027
2023-01-21 17:00:00,129,77.72927200233235
2023-01-21 18:00:00,125,75.68954751935993
2023-01-21 19:00:00,124,74.11101295725912
2023-01-21 20:00:00,84,62.27445181057628
2023-01-21 21:00:00,45,43.35639647412035
2023-01-21 22:00:00,35,32.967135286063154
2023-01-21 23:00:00,39,28.388199986371845
2023-01-22 00:00:00,36,13.382301392706687
2023-01-22 01:00:00,27,13.429060575637386
2023-01-22 02:00:00,22,13.200058511421148
2023-01-22 03:00:00,18,15.929466331805152
2023-01-22 04:00:00,18,12.805530267147345
2023-01-22 05:00:00,18,12.796251839317195
2023-01-22 06:00:00,18,12.980149474135276
2023-01-22 07:00:00,18,15.453273243697083
2023-01-22 08:00:00,20,19.766563063351807
2023-01-22 09:00:00,26,29.081687867079594
2023-01-22 10:00:00,43,44.060001371893875
2023-01-22 11:00:00,45,56.18220476495732
2023-01-22 12:00:00,52,59.97973870055692
2023-01-22 13:00:00,53,57.739717058321936
2023-01-22 14:00:00,58,58.41375373847133
2023-01-22 15:00:00,51,58.073430934230416
2023-01-22 16:00:00,47,56.304556006564574
2023-01-22 17:00:00,43,54.45959687621528
2023-01-22 18:00:00,39,53.60265564001529
2023-01-22 19:00:00,37,53.60265564001529
2023-01-22 20:00:00,31,41.83668296201261
2023-01-22 21:00:00,26,30.721894827975817
2023-01-22 22:00:00,26,24.224936516103572
2023-01-22 23:00:00,22,22.768102906170597
2023-01-23 00:00:00,20,10.365730934545253
2023-01-23 01:00:00,19,11.705305164087475
2023-01-23 02:00:00,19,11.448324829784715
2023-01-23 03:00:00,19,11.400929899939923
2023-01-23 04:00:00,0,10.900571864303936
2023-01-23 05:00:00,0,10.900571864303936
2023-01-23 06:00:00,1,10.900571864303936
2023-01-23 07:00:00,5,12.895975424313
2023-01-23 08:00:00,4,18.332285091841864
2023-01-23 09:00:00,15,28.175604088876664
2023-01-23 10:00:00,29,45.920185506397374
2023-01-23 11:00:00,43,58.721424955041
2023-01-23 12:00:00,46,64.08338468220498
2023-01-23 13:00:00,47,64.08338468220498
2023-01-23 14:00:00,42,64.08338468220498
2023-01-23 15:00:00,36,63.62561667083033
2023-01-23 16:00:00,45,63.33877001520782
2023-01-23 17:00:00,51,62.598283447859515
2023-01-23 18:00:00,68,62.598283447859515
2023-01-23 19:00:00,68,61.24021174376054
2023-01-23 20:00:00,42,47.503639882403235
2023-01-23 21:00:00,29,34.45662926469429
