Timestamp,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2018-09-06 10:00:00,951,1016,476,913,556,939,-1
2018-09-06 11:00:00,922,1160,609,972,707,1050,-1
2018-09-06 12:00:00,833,1206,659,963,724,1072,-1
2018-09-06 13:00:00,851,1168,695,953,719,1094,-1
2018-09-06 14:00:00,857,1220,710,963,727,1069,-1
2018-09-06 15:00:00,768,1148,679,911,699,988,-1
2018-09-06 16:00:00,644,997,576,744,622,854,-1
2018-09-06 17:00:00,520,873,431,454,461,612,-1
2018-09-06 18:00:00,362,671,276,223,344,343,-1
2018-09-06 19:00:00,255,537,175,150,285,202,-1
2018-09-06 20:00:00,199,439,83,91,219,145,-1
2018-09-06 21:00:00,138,377,3,65,188,102,-1
2018-09-06 22:00:00,99,328,0,61,166,85,-1
2018-09-06 23:00:00,81,332,0,60,158,78,-1
2018-09-07 00:00:00,78,312,3,36,156,65,-1
2018-09-07 01:00:00,76,309,2,32,154,64,-1
2018-09-07 02:00:00,74,302,0,32,150,60,-1
2018-09-07 03:00:00,76,290,0,32,149,60,-1
2018-09-07 04:00:00,76,290,0,31,149,59,-1
2018-09-07 05:00:00,78,290,0,33,149,61,-1
2018-09-07 06:00:00,111,299,3,65,155,72,-1
2018-09-07 07:00:00,197,371,13,192,169,122,-1
2018-09-07 08:00:00,295,598,76,400,221,423,-1
2018-09-07 09:00:00,525,885,249,704,369,725,-1
2018-09-07 10:00:00,709,1112,392,874,489,946,-1
2018-09-07 11:00:00,770,1189,479,943,540,1049,-1
2018-09-07 12:00:00,827,1209,526,926,581,1078,-1
2018-09-07 13:00:00,838,1210,478,898,591,1059,-1
2018-09-07 14:00:00,825,1173,460,892,573,1022,-1
2018-09-07 15:00:00,746,1036,381,825,520,936,-1
2018-09-07 16:00:00,633,851,265,667,468,829,-1
2018-09-07 17:00:00,456,630,123,391,310,508,-1
2018-09-07 18:00:00,327,483,10,197,205,296,-1
2018-09-07 19:00:00,274,404,0,143,169,190,-1
2018-09-07 20:00:00,252,382,0,114,155,151,-1
2018-09-07 21:00:00,231,373,0,98,139,133,-1
2018-09-07 22:00:00,232,373,0,84,131,133,-1
2018-09-07 23:00:00,223,365,0,76,117,129,-1
2018-09-08 00:00:00,211,351,0,42,116,116,-1
2018-09-08 01:00:00,203,344,0,37,113,107,-1
2018-09-08 02:00:00,205,328,0,36,111,97,-1
2018-09-08 03:00:00,207,327,0,33,112,90,-1
2018-09-08 04:00:00,204,329,0,32,113,91,-1
2018-09-08 05:00:00,206,330,0,31,113,91,-1
2018-09-08 06:00:00,220,333,0,38,113,93,-1
2018-09-08 07:00:00,220,338,3,67,114,112,-1
2018-09-08 08:00:00,231,395,25,88,119,153,-1
2018-09-08 09:00:00,249,441,77,123,142,191,-1
2018-09-08 10:00:00,291,474,206,148,156,215,-1
2018-09-08 11:00:00,323,482,268,176,170,231,-1
2018-09-08 12:00:00,322,477,291,180,174,222,-1
2018-09-08 13:00:00,323,474,298,171,171,205,-1
2018-09-08 14:00:00,328,402,288,163,170,207,-1
2018-09-08 15:00:00,330,384,274,153,168,220,-1
2018-09-08 16:00:00,331,386,276,143,163,203,-1
2018-09-08 17:00:00,326,346,243,113,149,153,-1
2018-09-08 18:00:00,310,329,82,89,143,126,-1
2018-09-08 19:00:00,297,323,42,78,129,102,-1
2018-09-08 20:00:00,294,318,18,63,126,99,-1
2018-09-08 21:00:00,292,326,12,57,119,100,-1
2018-09-08 22:00:00,288,323,0,57,111,104,-1
2018-09-08 23:00:00,286,320,1,50,112,113,-1
2018-09-09 00:00:00,274,321,0,32,110,112,-1
2018-09-09 01:00:00,269,330,0,32,110,108,-1
2018-09-09 02:00:00,266,334,0,32,112,99,-1
2018-09-09 03:00:00,266,334,0,32,112,102,-1
2018-09-09 04:00:00,264,334,0,31,112,99,-1
2018-09-09 05:00:00,264,335,0,31,112,99,-1
2018-09-09 06:00:00,263,339,0,34,111,101,-1
2018-09-09 07:00:00,267,342,0,59,115,101,-1
2018-09-09 08:00:00,285,344,3,66,116,112,-1
2018-09-09 09:00:00,299,361,11,85,132,126,-1
2018-09-09 10:00:00,318,372,45,99,138,146,-1
2018-09-09 11:00:00,327,386,56,117,143,159,-1
2018-09-09 12:00:00,340,383,88,132,144,154,-1
2018-09-09 13:00:00,350,392,118,141,152,161,-1
2018-09-09 14:00:00,354,394,289,138,162,176,-1
2018-09-09 15:00:00,364,378,314,153,155,198,-1
2018-09-09 16:00:00,376,370,302,129,155,204,-1
2018-09-09 17:00:00,372,348,63,121,145,143,-1
2018-09-09 18:00:00,370,332,34,105,140,126,-1
2018-09-09 19:00:00,371,325,27,100,143,125,-1
2018-09-09 20:00:00,354,323,22,92,133,122,-1
2018-09-09 21:00:00,332,321,8,81,128,137,-1
2018-09-09 22:00:00,326,336,1,67,121,127,-1
2018-09-09 23:00:00,321,348,0,55,119,104,-1
2018-09-10 00:00:00,320,343,1,40,117,94,-1
2018-09-10 01:00:00,319,350,0,38,117,92,-1
2018-09-10 02:00:00,320,352,0,36,117,92,-1
2018-09-10 03:00:00,0,0,0,35,117,0,-1
2018-09-10 04:00:00,1,0,0,0,0,1,-1
2018-09-10 05:00:00,4,0,0,1,0,3,-1
2018-09-10 06:00:00,35,14,2,39,1,12,-1
2018-09-10 07:00:00,121,89,12,161,14,78,-1
2018-09-10 08:00:00,231,307,73,394,75,363,-1
2018-09-10 09:00:00,442,629,251,691,251,686,-1
2018-09-10 10:00:00,672,906,462,879,431,942,-1
2018-09-10 11:00:00,783,1025,572,940,500,1060,-1
2018-09-10 12:00:00,824,1081,594,962,546,1092,-1
2018-09-10 13:00:00,923,1207,779,1028,729,1109,-1
2018-09-10 14:00:00,925,1198,775,1042,717,1104,-1
2018-09-10 15:00:00,858,1097,716,969,667,1049,-1
2018-09-10 16:00:00,756,921,628,790,617,948,-1
2018-09-10 17:00:00,580,672,430,513,437,703,-1
2018-09-10 18:00:00,448,515,304,302,284,423,-1
2018-09-10 19:00:00,367,446,198,203,221,289,-1
2018-09-10 20:00:00,286,349,142,154,187,213,-1
2018-09-10 21:00:00,248,295,94,130,164,163,-1
2018-09-10 22:00:00,214,217,78,122,149,109,-1
2018-09-10 23:00:00,186,217,73,120,149,64,-1
2018-09-11 00:00:00,181,206,70,88,149,40,-1
2018-09-11 01:00:00,177,202,70,85,149,35,-1
2018-09-11 02:00:00,178,189,69,84,148,34,-1
2018-09-11 03:00:00,179,183,69,84,148,34,-1
2018-09-11 04:00:00,179,183,69,84,148,33,-1
2018-09-11 05:00:00,182,183,69,86,148,34,-1
2018-09-11 06:00:00,219,199,72,115,151,50,-1
2018-09-11 07:00:00,284,285,81,244,165,118,-1
2018-09-11 08:00:00,450,529,145,469,229,413,-1
2018-09-11 09:00:00,659,792,286,817,404,753,-1
2018-09-11 10:00:00,893,1089,543,1002,589,992,-1
2018-09-11 11:00:00,998,1258,686,1092,692,1105,-1
2018-09-11 12:00:00,1048,1248,757,1094,687,1127,-1
2018-09-11 13:00:00,1083,1221,735,1085,687,1142,-1
2018-09-11 14:00:00,1110,1248,732,1075,683,1141,-1
2018-09-11 15:00:00,1033,1122,678,1025,648,1074,-1
2018-09-11 16:00:00,928,925,583,837,584,911,-1
2018-09-11 17:00:00,764,762,436,542,428,677,-1
2018-09-11 18:00:00,609,561,237,316,270,417,-1
2018-09-11 19:00:00,540,456,109,237,187,266,-1
2018-09-11 20:00:00,460,335,8,178,141,197,-1
2018-09-11 21:00:00,405,286,0,148,122,142,-1
2018-09-11 22:00:00,352,260,0,132,104,143,-1
2018-09-11 23:00:00,328,256,0,128,98,104,-1
2018-09-12 00:00:00,316,239,1,102,94,63,-1
2018-09-12 01:00:00,317,241,1,98,94,54,-1
2018-09-12 02:00:00,318,234,0,98,93,51,-1
