Timestamp,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2024-03-05 23:00:00,0,28,5,15,19,2,18
2024-03-06 00:00:00,1,19,3,10,18,0,16
2024-03-06 01:00:00,2,22,3,10,19,1,18
2024-03-06 02:00:00,1,18,3,9,19,1,17
2024-03-06 03:00:00,1,18,3,9,20,1,17
2024-03-06 04:00:00,2,18,3,11,21,3,17
2024-03-06 05:00:00,20,32,4,28,21,27,17
2024-03-06 06:00:00,114,109,16,139,29,99,9
2024-03-06 07:00:00,206,245,69,355,85,324,14
2024-03-06 08:00:00,357,480,201,659,253,648,29
2024-03-06 09:00:00,489,694,398,847,410,886,83
2024-03-06 10:00:00,586,779,530,942,491,1008,114
2024-03-06 11:00:00,630,831,580,965,521,1047,134
2024-03-06 12:00:00,641,861,607,955,519,1070,147
2024-03-06 13:00:00,637,860,593,937,536,1032,158
2024-03-06 14:00:00,589,818,549,887,507,983,145
2024-03-06 15:00:00,468,624,476,697,442,833,101
2024-03-06 16:00:00,325,439,333,440,307,613,91
2024-03-06 17:00:00,187,335,216,262,193,383,105
2024-03-06 18:00:00,116,237,130,175,156,311,127
2024-03-06 19:00:00,47,129,66,106,106,221,86
2024-03-06 20:00:00,0,81,28,63,62,170,49
2024-03-06 21:00:00,0,66,15,47,39,133,37
2024-03-06 22:00:00,0,36,8,37,31,62,45
2024-03-06 23:00:00,2,27,5,4,26,21,40
2024-03-07 00:00:00,1,21,2,2,26,1,38
2024-03-07 01:00:00,0,21,2,0,25,2,35
2024-03-07 02:00:00,1,19,2,0,25,2,32
2024-03-07 03:00:00,0,18,2,1,25,2,32
2024-03-07 04:00:00,0,16,1,2,27,5,32
2024-03-07 05:00:00,21,30,3,18,28,24,32
2024-03-07 06:00:00,105,114,11,139,39,91,21
2024-03-07 07:00:00,172,241,50,353,78,253,27
2024-03-07 08:00:00,276,420,159,576,168,500,37
2024-03-07 09:00:00,457,613,386,766,286,693,58
2024-03-07 10:00:00,545,731,493,830,389,816,63
2024-03-07 11:00:00,585,753,519,838,438,886,71
2024-03-07 12:00:00,599,728,542,834,449,866,89
2024-03-07 13:00:00,616,768,592,811,448,880,99
2024-03-07 14:00:00,554,732,546,774,418,792,93
2024-03-07 15:00:00,449,582,476,624,363,678,79
2024-03-07 16:00:00,327,443,400,388,290,491,86
2024-03-07 17:00:00,224,330,289,224,208,306,97
2024-03-07 18:00:00,152,254,204,154,148,222,119
2024-03-07 19:00:00,77,163,140,93,93,161,106
2024-03-07 20:00:00,1,109,43,63,67,112,78
2024-03-07 21:00:00,0,64,10,49,50,93,44
2024-03-07 22:00:00,0,33,6,37,41,50,38
2024-03-07 23:00:00,1,21,1,4,36,4,32
2024-03-08 00:00:00,0,15,0,2,35,1,29
2024-03-08 01:00:00,3,16,0,0,36,2,29
2024-03-08 02:00:00,4,19,2,0,36,1,29
2024-03-08 03:00:00,4,18,2,0,36,1,29
2024-03-08 04:00:00,5,20,3,1,37,4,30
2024-03-08 05:00:00,25,32,4,11,39,25,30
2024-03-08 06:00:00,104,102,16,130,41,95,31
2024-03-08 07:00:00,150,215,48,320,79,304,37
2024-03-08 08:00:00,249,383,168,535,157,515,56
2024-03-08 09:00:00,371,520,324,671,242,678,80
2024-03-08 10:00:00,442,598,402,746,313,729,92
2024-03-08 11:00:00,482,627,432,763,320,752,94
2024-03-08 12:00:00,485,603,436,727,305,752,100
2024-03-08 13:00:00,457,601,417,695,289,749,92
2024-03-08 14:00:00,390,541,363,645,261,660,85
