North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd,Hour
950.0,1015.0,475.0,909.0,556.0,934.0,0.0,2018-09-06 09:00:00
918.0,1160.0,612.0,972.0,706.0,1049.0,0.0,2018-09-06 10:00:00
832.0,1210.0,659.0,964.0,724.0,1072.0,0.0,2018-09-06 11:00:00
850.0,1166.0,695.0,953.0,720.0,1095.0,0.0,2018-09-06 12:00:00
859.0,1219.0,709.0,962.0,727.0,1073.0,0.0,2018-09-06 13:00:00
769.0,1150.0,682.0,914.0,700.0,989.0,0.0,2018-09-06 14:00:00
648.0,998.0,574.0,746.0,623.0,855.0,0.0,2018-09-06 15:00:00
523.0,877.0,439.0,456.0,465.0,616.0,0.0,2018-09-06 16:00:00
363.0,674.0,275.0,225.0,343.0,346.0,0.0,2018-09-06 17:00:00
254.0,539.0,177.0,150.0,287.0,203.0,0.0,2018-09-06 18:00:00
199.0,442.0,85.0,93.0,221.0,145.0,0.0,2018-09-06 19:00:00
138.0,375.0,4.0,65.0,188.0,103.0,0.0,2018-09-06 20:00:00
100.0,329.0,0.0,61.0,165.0,86.0,0.0,2018-09-06 21:00:00
81.0,332.0,0.0,60.0,159.0,78.0,0.0,2018-09-06 22:00:00
78.0,312.0,3.0,36.0,156.0,68.0,0.0,2018-09-06 23:00:00
76.0,309.0,2.0,32.0,154.0,64.0,0.0,2018-09-07 00:00:00
74.0,305.0,0.0,32.0,150.0,60.0,0.0,2018-09-07 01:00:00
76.0,290.0,0.0,32.0,149.0,60.0,0.0,2018-09-07 02:00:00
76.0,289.0,0.0,31.0,149.0,59.0,0.0,2018-09-07 03:00:00
78.0,290.0,0.0,33.0,149.0,61.0,0.0,2018-09-07 04:00:00
111.0,299.0,3.0,65.0,155.0,70.0,0.0,2018-09-07 05:00:00
195.0,369.0,13.0,192.0,168.0,121.0,0.0,2018-09-07 06:00:00
292.0,595.0,76.0,397.0,220.0,413.0,0.0,2018-09-07 07:00:00
520.0,878.0,247.0,702.0,362.0,720.0,0.0,2018-09-07 08:00:00
709.0,1111.0,388.0,874.0,487.0,945.0,0.0,2018-09-07 09:00:00
771.0,1190.0,486.0,943.0,539.0,1047.0,0.0,2018-09-07 10:00:00
827.0,1210.0,525.0,930.0,580.0,1079.0,0.0,2018-09-07 11:00:00
836.0,1212.0,474.0,898.0,592.0,1058.0,0.0,2018-09-07 12:00:00
830.0,1176.0,464.0,895.0,577.0,1023.0,0.0,2018-09-07 13:00:00
746.0,1042.0,384.0,827.0,522.0,940.0,0.0,2018-09-07 14:00:00
634.0,855.0,271.0,669.0,469.0,834.0,0.0,2018-09-07 15:00:00
462.0,629.0,124.0,395.0,313.0,514.0,0.0,2018-09-07 16:00:00
327.0,485.0,13.0,201.0,205.0,300.0,0.0,2018-09-07 17:00:00
274.0,406.0,1.0,143.0,170.0,192.0,0.0,2018-09-07 18:00:00
253.0,383.0,0.0,114.0,155.0,149.0,0.0,2018-09-07 19:00:00
231.0,373.0,0.0,98.0,140.0,132.0,0.0,2018-09-07 20:00:00
231.0,373.0,0.0,85.0,131.0,133.0,0.0,2018-09-07 21:00:00
223.0,365.0,0.0,77.0,116.0,129.0,0.0,2018-09-07 22:00:00
210.0,352.0,0.0,43.0,116.0,116.0,0.0,2018-09-07 23:00:00
203.0,345.0,0.0,37.0,113.0,107.0,0.0,2018-09-08 00:00:00
205.0,332.0,0.0,36.0,111.0,97.0,0.0,2018-09-08 01:00:00
206.0,327.0,0.0,33.0,112.0,90.0,0.0,2018-09-08 02:00:00
204.0,329.0,0.0,32.0,113.0,91.0,0.0,2018-09-08 03:00:00
206.0,330.0,0.0,31.0,113.0,91.0,0.0,2018-09-08 04:00:00
219.0,333.0,0.0,37.0,113.0,93.0,0.0,2018-09-08 05:00:00
219.0,338.0,4.0,67.0,114.0,110.0,0.0,2018-09-08 06:00:00
231.0,391.0,24.0,88.0,119.0,153.0,0.0,2018-09-08 07:00:00
250.0,441.0,77.0,123.0,142.0,189.0,0.0,2018-09-08 08:00:00
292.0,475.0,203.0,148.0,156.0,211.0,0.0,2018-09-08 09:00:00
324.0,482.0,267.0,176.0,170.0,231.0,0.0,2018-09-08 10:00:00
322.0,475.0,292.0,181.0,174.0,223.0,0.0,2018-09-08 11:00:00
324.0,473.0,299.0,170.0,171.0,206.0,0.0,2018-09-08 12:00:00
325.0,401.0,286.0,164.0,170.0,206.0,0.0,2018-09-08 13:00:00
327.0,384.0,274.0,154.0,169.0,220.0,0.0,2018-09-08 14:00:00
330.0,386.0,276.0,144.0,163.0,203.0,0.0,2018-09-08 15:00:00
327.0,346.0,246.0,113.0,149.0,153.0,0.0,2018-09-08 16:00:00
309.0,329.0,83.0,90.0,143.0,126.0,0.0,2018-09-08 17:00:00
294.0,323.0,44.0,78.0,129.0,102.0,0.0,2018-09-08 18:00:00
294.0,318.0,18.0,63.0,127.0,98.0,0.0,2018-09-08 19:00:00
292.0,325.0,12.0,57.0,121.0,100.0,0.0,2018-09-08 20:00:00
289.0,322.0,0.0,57.0,111.0,104.0,0.0,2018-09-08 21:00:00
286.0,320.0,1.0,53.0,112.0,113.0,0.0,2018-09-08 22:00:00
274.0,321.0,0.0,32.0,110.0,112.0,0.0,2018-09-08 23:00:00
269.0,330.0,0.0,32.0,110.0,108.0,0.0,2018-09-09 00:00:00
265.0,334.0,0.0,32.0,112.0,99.0,0.0,2018-09-09 01:00:00
266.0,334.0,0.0,32.0,112.0,101.0,0.0,2018-09-09 02:00:00
264.0,334.0,0.0,31.0,112.0,99.0,0.0,2018-09-09 03:00:00
264.0,335.0,0.0,31.0,112.0,99.0,0.0,2018-09-09 04:00:00
263.0,339.0,0.0,34.0,111.0,101.0,0.0,2018-09-09 05:00:00
267.0,342.0,0.0,59.0,114.0,101.0,0.0,2018-09-09 06:00:00
285.0,344.0,3.0,66.0,116.0,112.0,0.0,2018-09-09 07:00:00
297.0,360.0,11.0,85.0,132.0,126.0,0.0,2018-09-09 08:00:00
318.0,371.0,46.0,99.0,138.0,144.0,0.0,2018-09-09 09:00:00
327.0,385.0,56.0,116.0,143.0,158.0,0.0,2018-09-09 10:00:00
340.0,383.0,89.0,132.0,140.0,154.0,0.0,2018-09-09 11:00:00
350.0,393.0,117.0,141.0,152.0,161.0,0.0,2018-09-09 12:00:00
354.0,395.0,286.0,137.0,162.0,174.0,0.0,2018-09-09 13:00:00
362.0,375.0,315.0,152.0,155.0,198.0,0.0,2018-09-09 14:00:00
375.0,371.0,302.0,129.0,155.0,202.0,0.0,2018-09-09 15:00:00
373.0,349.0,64.0,121.0,145.0,144.0,0.0,2018-09-09 16:00:00
370.0,330.0,34.0,104.0,140.0,125.0,0.0,2018-09-09 17:00:00
370.0,325.0,27.0,100.0,144.0,125.0,0.0,2018-09-09 18:00:00
353.0,324.0,22.0,92.0,133.0,123.0,0.0,2018-09-09 19:00:00
333.0,320.0,11.0,81.0,128.0,138.0,0.0,2018-09-09 20:00:00
325.0,336.0,1.0,67.0,121.0,127.0,0.0,2018-09-09 21:00:00
321.0,348.0,0.0,57.0,119.0,104.0,0.0,2018-09-09 22:00:00
320.0,343.0,1.0,39.0,117.0,93.0,0.0,2018-09-09 23:00:00
319.0,350.0,0.0,38.0,117.0,92.0,0.0,2018-09-10 00:00:00
320.0,352.0,0.0,36.0,117.0,92.0,0.0,2018-09-10 01:00:00
0.0,0.0,0.0,35.0,117.0,0.0,0.0,2018-09-10 02:00:00
1.0,0.0,0.0,0.0,0.0,1.0,0.0,2018-09-10 03:00:00
4.0,0.0,0.0,1.0,0.0,3.0,0.0,2018-09-10 04:00:00
33.0,14.0,2.0,37.0,1.0,11.0,0.0,2018-09-10 05:00:00
121.0,87.0,12.0,158.0,14.0,77.0,0.0,2018-09-10 06:00:00
228.0,302.0,69.0,385.0,74.0,356.0,0.0,2018-09-10 07:00:00
439.0,620.0,248.0,687.0,248.0,682.0,0.0,2018-09-10 08:00:00
672.0,902.0,457.0,877.0,423.0,941.0,0.0,2018-09-10 09:00:00
780.0,1026.0,573.0,939.0,502.0,1059.0,0.0,2018-09-10 10:00:00
826.0,1083.0,594.0,962.0,544.0,1089.0,0.0,2018-09-10 11:00:00
923.0,1210.0,781.0,1026.0,730.0,1109.0,0.0,2018-09-10 12:00:00
926.0,1197.0,779.0,1044.0,718.0,1104.0,0.0,2018-09-10 13:00:00
856.0,1105.0,723.0,973.0,668.0,1052.0,0.0,2018-09-10 14:00:00
756.0,927.0,630.0,795.0,617.0,951.0,0.0,2018-09-10 15:00:00
585.0,675.0,436.0,517.0,444.0,711.0,0.0,2018-09-10 16:00:00
446.0,516.0,307.0,305.0,287.0,425.0,0.0,2018-09-10 17:00:00
366.0,447.0,198.0,206.0,221.0,291.0,0.0,2018-09-10 18:00:00
287.0,350.0,142.0,154.0,187.0,216.0,0.0,2018-09-10 19:00:00
248.0,296.0,94.0,130.0,165.0,163.0,0.0,2018-09-10 20:00:00
216.0,219.0,78.0,122.0,149.0,109.0,0.0,2018-09-10 21:00:00
186.0,217.0,73.0,121.0,149.0,66.0,0.0,2018-09-10 22:00:00
181.0,210.0,70.0,88.0,149.0,43.0,0.0,2018-09-10 23:00:00
177.0,202.0,70.0,85.0,149.0,35.0,0.0,2018-09-11 00:00:00
178.0,196.0,69.0,84.0,148.0,34.0,0.0,2018-09-11 01:00:00
178.0,183.0,69.0,84.0,148.0,34.0,0.0,2018-09-11 02:00:00
179.0,183.0,69.0,84.0,148.0,33.0,0.0,2018-09-11 03:00:00
181.0,183.0,69.0,86.0,148.0,34.0,0.0,2018-09-11 04:00:00
