,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd,Hour
0,950,1015.0,475,909,556,934,,2018-09-06 09:00:00
1,918,1160.0,612,972,706,1049,,2018-09-06 10:00:00
2,832,1210.0,659,964,724,1072,,2018-09-06 11:00:00
3,850,1166.0,695,953,720,1095,,2018-09-06 12:00:00
4,859,1219.0,709,962,727,1073,,2018-09-06 13:00:00
5,769,1150.0,682,914,700,989,,2018-09-06 14:00:00
6,648,998.0,574,746,623,855,,2018-09-06 15:00:00
7,523,877.0,439,456,465,616,,2018-09-06 16:00:00
8,363,674.0,275,225,343,346,,2018-09-06 17:00:00
9,254,539.0,177,150,287,203,,2018-09-06 18:00:00
10,199,442.0,85,93,221,145,,2018-09-06 19:00:00
11,138,375.0,4,65,188,103,,2018-09-06 20:00:00
12,100,329.0,3,61,165,86,,2018-09-06 21:00:00
13,81,332.0,3,60,159,78,,2018-09-06 22:00:00
14,78,312.0,3,36,156,68,,2018-09-06 23:00:00
15,76,309.0,2,32,154,64,,2018-09-07 00:00:00
16,74,305.0,3,32,150,60,,2018-09-07 01:00:00
17,76,290.0,3,32,149,60,,2018-09-07 02:00:00
18,76,289.0,3,31,149,59,,2018-09-07 03:00:00
19,78,290.0,3,33,149,61,,2018-09-07 04:00:00
20,111,299.0,3,65,155,70,,2018-09-07 05:00:00
21,195,369.0,13,192,168,121,,2018-09-07 06:00:00
22,292,595.0,76,397,220,413,,2018-09-07 07:00:00
23,520,878.0,247,702,362,720,,2018-09-07 08:00:00
24,709,1111.0,388,874,487,945,,2018-09-07 09:00:00
25,771,1190.0,486,943,539,1047,,2018-09-07 10:00:00
26,827,1210.0,525,930,580,1079,,2018-09-07 11:00:00
27,836,1212.0,474,898,592,1058,,2018-09-07 12:00:00
28,830,1176.0,464,895,577,1023,,2018-09-07 13:00:00
29,746,1042.0,384,827,522,940,,2018-09-07 14:00:00
30,634,855.0,271,669,469,834,,2018-09-07 15:00:00
31,462,629.0,124,395,313,514,,2018-09-07 16:00:00
32,327,485.0,13,201,205,300,,2018-09-07 17:00:00
33,274,406.0,1,143,170,192,,2018-09-07 18:00:00
34,253,383.0,4,114,155,149,,2018-09-07 19:00:00
35,231,373.0,4,98,140,132,,2018-09-07 20:00:00
36,231,373.0,4,85,131,133,,2018-09-07 21:00:00
37,223,365.0,4,77,116,129,,2018-09-07 22:00:00
38,210,352.0,4,43,116,116,,2018-09-07 23:00:00
39,203,345.0,4,37,113,107,,2018-09-08 00:00:00
40,205,332.0,4,36,111,97,,2018-09-08 01:00:00
41,206,327.0,4,33,112,90,,2018-09-08 02:00:00
42,204,329.0,4,32,113,91,,2018-09-08 03:00:00
43,206,330.0,4,31,113,91,,2018-09-08 04:00:00
44,219,333.0,4,37,113,93,,2018-09-08 05:00:00
45,219,338.0,4,67,114,110,,2018-09-08 06:00:00
46,231,391.0,24,88,119,153,,2018-09-08 07:00:00
47,250,441.0,77,123,142,189,,2018-09-08 08:00:00
48,292,475.0,203,148,156,211,,2018-09-08 09:00:00
49,324,482.0,267,176,170,231,,2018-09-08 10:00:00
50,322,475.0,292,181,174,223,,2018-09-08 11:00:00
51,324,473.0,299,170,171,206,,2018-09-08 12:00:00
52,325,401.0,286,164,170,206,,2018-09-08 13:00:00
53,327,384.0,274,154,169,220,,2018-09-08 14:00:00
54,330,386.0,276,144,163,203,,2018-09-08 15:00:00
55,327,346.0,246,113,149,153,,2018-09-08 16:00:00
56,309,329.0,83,90,143,126,,2018-09-08 17:00:00
57,294,323.0,44,78,129,102,,2018-09-08 18:00:00
58,294,318.0,18,63,127,98,,2018-09-08 19:00:00
59,292,325.0,12,57,121,100,,2018-09-08 20:00:00
60,289,322.0,1,57,111,104,,2018-09-08 21:00:00
61,286,320.0,1,53,112,113,,2018-09-08 22:00:00
62,274,321.0,3,32,110,112,,2018-09-08 23:00:00
63,269,330.0,3,32,110,108,,2018-09-09 00:00:00
64,265,334.0,3,32,112,99,,2018-09-09 01:00:00
65,266,334.0,3,32,112,101,,2018-09-09 02:00:00
66,264,334.0,3,31,112,99,,2018-09-09 03:00:00
67,264,335.0,3,31,112,99,,2018-09-09 04:00:00
68,263,339.0,3,34,111,101,,2018-09-09 05:00:00
69,267,342.0,3,59,114,101,,2018-09-09 06:00:00
70,285,344.0,3,66,116,112,,2018-09-09 07:00:00
71,297,360.0,11,85,132,126,,2018-09-09 08:00:00
72,318,371.0,46,99,138,144,,2018-09-09 09:00:00
73,327,385.0,56,116,143,158,,2018-09-09 10:00:00
