date,Actual,Predicted
2023-01-20 14:00:00,356,561.00214
2023-01-20 15:00:00,261,429.43594
2023-01-20 16:00:00,117,300.66428
2023-01-20 17:00:00,34,344.9639
2023-01-20 18:00:00,0,427.22302
2023-01-20 19:00:00,2,424.4199
2023-01-20 20:00:00,0,-1.1975727
2023-01-20 21:00:00,1,-0.49264783
2023-01-20 22:00:00,0,3.0069854
2023-01-20 23:00:00,0,-0.56197137
2023-01-21 00:00:00,2,0.4131411
2023-01-21 01:00:00,0,0.52512527
2023-01-21 02:00:00,0,0.6793067
2023-01-21 03:00:00,0,0.9885532
2023-01-21 04:00:00,1,2.0154076
2023-01-21 05:00:00,2,3.536249
2023-01-21 06:00:00,2,10.312765
2023-01-21 07:00:00,0,14.47108
2023-01-21 08:00:00,53,31.729097
2023-01-21 09:00:00,91,101.3687
2023-01-21 10:00:00,122,148.82216
2023-01-21 11:00:00,158,164.20605
2023-01-21 12:00:00,121,172.69461
2023-01-21 13:00:00,65,128.63763
2023-01-21 14:00:00,56,82.23507
2023-01-21 15:00:00,62,74.33295
2023-01-21 16:00:00,52,69.34376
2023-01-21 17:00:00,34,42.578346
2023-01-21 18:00:00,17,27.064842
2023-01-21 19:00:00,9,13.794512
2023-01-21 20:00:00,1,5.90052
2023-01-21 21:00:00,0,3.8471353
2023-01-21 22:00:00,2,2.6426227
2023-01-21 23:00:00,1,-0.26839855
2023-01-22 00:00:00,7,1.6232709
2023-01-22 01:00:00,2,2.313676
2023-01-22 02:00:00,1,0.73339874
2023-01-22 03:00:00,0,2.1532032
2023-01-22 04:00:00,1,3.9297745
2023-01-22 05:00:00,3,4.331108
2023-01-22 06:00:00,4,9.964567
2023-01-22 07:00:00,3,14.105445
2023-01-22 08:00:00,6,17.89811
2023-01-22 09:00:00,19,31.038857
2023-01-22 10:00:00,37,38.291565
2023-01-22 11:00:00,37,49.891586
2023-01-22 12:00:00,50,49.028202
2023-01-22 13:00:00,43,49.917572
2023-01-22 14:00:00,35,41.712914
2023-01-22 15:00:00,51,38.57859
2023-01-22 16:00:00,47,49.45585
2023-01-22 17:00:00,17,36.36652
2023-01-22 18:00:00,12,12.608847
2023-01-22 19:00:00,1,8.707955
2023-01-22 20:00:00,0,2.5004573
2023-01-22 21:00:00,9,1.3957139
2023-01-22 22:00:00,3,5.252862
2023-01-22 23:00:00,1,-0.57124615
2023-01-23 00:00:00,0,2.3598516
2023-01-23 01:00:00,2,1.7570527
2023-01-23 02:00:00,6,2.3079612
2023-01-23 03:00:00,1,0.13535747
2023-01-23 04:00:00,0,1.1905749
2023-01-23 05:00:00,1,2.3996503
2023-01-23 06:00:00,12,14.471071
2023-01-23 07:00:00,47,35.691734
2023-01-23 08:00:00,103,84.74239
2023-01-23 09:00:00,213,178.89474
2023-01-23 10:00:00,354,319.32355
2023-01-23 11:00:00,412,412.31677
2023-01-23 12:00:00,431,450.28485
2023-01-23 13:00:00,423,438.529
2023-01-23 14:00:00,413,417.65695
2023-01-23 15:00:00,377,377.23776
2023-01-23 16:00:00,295,316.50085
2023-01-23 17:00:00,154,200.31981
2023-01-23 18:00:00,53,86.16295
2023-01-23 19:00:00,0,27.135992
2023-01-23 20:00:00,2,-4.7806516
2023-01-23 21:00:00,0,-4.04078
2023-01-23 22:00:00,0,-1.4055331
2023-01-23 23:00:00,0,0.14160997
2023-01-24 00:00:00,0,2.8341863
2023-01-24 01:00:00,0,0.46258315
2023-01-24 02:00:00,0,1.7585068
2023-01-24 03:00:00,0,3.501314
2023-01-24 04:00:00,2,5.9610233
2023-01-24 05:00:00,4,7.692208
2023-01-24 06:00:00,10,21.69896
2023-01-24 07:00:00,49,41.500557
2023-01-24 08:00:00,116,99.06253
2023-01-24 09:00:00,224,217.2882
2023-01-24 10:00:00,389,347.8174
2023-01-24 11:00:00,472,460.44153
2023-01-24 12:00:00,489,508.2609
2023-01-24 13:00:00,483,520.49493
2023-01-24 14:00:00,500,484.8017
2023-01-24 15:00:00,464,459.90735
2023-01-24 16:00:00,317,367.44064
2023-01-24 17:00:00,189,229.83113
2023-01-24 18:00:00,24,81.62941
2023-01-24 19:00:00,0,3.724502
2023-01-24 20:00:00,0,-6.7336407
2023-01-24 21:00:00,2,-3.1082602
2023-01-24 22:00:00,0,0.43137187
2023-01-24 23:00:00,0,0.33604977
2023-01-25 00:00:00,2,1.0730703
2023-01-25 01:00:00,1,-0.09677679
2023-01-25 02:00:00,1,1.0771459
2023-01-25 03:00:00,4,0.6202441
2023-01-25 04:00:00,4,2.2385004
2023-01-25 05:00:00,10,4.0369644
