date,Actual,Predicted
2023-01-20 14:00:00,456,584.66296
2023-01-20 15:00:00,367,547.4967
2023-01-20 16:00:00,275,397.25574
2023-01-20 17:00:00,160,237.76375
2023-01-20 18:00:00,85,186.68748
2023-01-20 19:00:00,53,178.85329
2023-01-20 20:00:00,57,54.97707
2023-01-20 21:00:00,37,48.659157
2023-01-20 22:00:00,13,32.991066
2023-01-20 23:00:00,8,4.802509
2023-01-21 00:00:00,7,9.9407
2023-01-21 01:00:00,4,7.574587
2023-01-21 02:00:00,4,5.4090624
2023-01-21 03:00:00,4,5.3770704
2023-01-21 04:00:00,3,4.35227
2023-01-21 05:00:00,3,4.1477137
2023-01-21 06:00:00,3,4.424269
2023-01-21 07:00:00,3,7.6320844
2023-01-21 08:00:00,3,10.979938
2023-01-21 09:00:00,19,34.4074
2023-01-21 10:00:00,22,48.358643
2023-01-21 11:00:00,27,49.8711
2023-01-21 12:00:00,37,47.554436
2023-01-21 13:00:00,39,54.49458
2023-01-21 14:00:00,42,57.24514
2023-01-21 15:00:00,32,62.44336
2023-01-21 16:00:00,21,49.454964
2023-01-21 17:00:00,17,33.1357
2023-01-21 18:00:00,15,27.493092
2023-01-21 19:00:00,22,19.216494
2023-01-21 20:00:00,168,45.553917
2023-01-21 21:00:00,171,185.26942
2023-01-21 22:00:00,20,161.55971
2023-01-21 23:00:00,7,7.5709677
2023-01-22 00:00:00,0,5.1618843
2023-01-22 01:00:00,0,6.124675
2023-01-22 02:00:00,0,7.915854
2023-01-22 03:00:00,0,11.10705
2023-01-22 04:00:00,1,2.5748167
2023-01-22 05:00:00,1,3.4943438
2023-01-22 06:00:00,0,4.0755205
2023-01-22 07:00:00,0,7.607234
2023-01-22 08:00:00,1,9.91946
2023-01-22 09:00:00,0,13.359259
2023-01-22 10:00:00,5,34.365334
2023-01-22 11:00:00,6,13.934564
2023-01-22 12:00:00,13,16.755402
2023-01-22 13:00:00,25,24.628555
2023-01-22 14:00:00,26,37.787533
2023-01-22 15:00:00,25,35.714115
2023-01-22 16:00:00,32,29.299274
2023-01-22 17:00:00,27,24.748838
2023-01-22 18:00:00,24,21.127054
2023-01-22 19:00:00,17,19.322817
2023-01-22 20:00:00,17,29.461246
2023-01-22 21:00:00,6,27.360523
2023-01-22 22:00:00,3,2.1166856
2023-01-22 23:00:00,0,-0.96419334
2023-01-23 00:00:00,2,2.3790603
2023-01-23 01:00:00,3,1.9289368
2023-01-23 02:00:00,3,2.0291898
2023-01-23 03:00:00,0,-0.115665205
2023-01-23 04:00:00,0,0.084149145
2023-01-23 05:00:00,0,1.0036745
2023-01-23 06:00:00,2,1.7668099
2023-01-23 07:00:00,10,6.059445
2023-01-23 08:00:00,56,27.540615
2023-01-23 09:00:00,226,150.35085
2023-01-23 10:00:00,436,410.77213
2023-01-23 11:00:00,528,538.98553
2023-01-23 12:00:00,573,573.0584
2023-01-23 13:00:00,587,591.6705
2023-01-23 14:00:00,578,575.07983
2023-01-23 15:00:00,532,523.4429
2023-01-23 16:00:00,424,454.79312
2023-01-23 17:00:00,284,307.64713
2023-01-23 18:00:00,186,186.64871
2023-01-23 19:00:00,115,105.369
2023-01-23 20:00:00,78,64.02612
2023-01-23 21:00:00,45,42.888203
2023-01-23 22:00:00,10,26.65166
2023-01-23 23:00:00,4,6.933656
2023-01-24 00:00:00,5,3.022342
2023-01-24 01:00:00,3,4.7880383
2023-01-24 02:00:00,2,3.351675
2023-01-24 03:00:00,2,1.97239
2023-01-24 04:00:00,3,1.7041734
2023-01-24 05:00:00,3,2.5120199
2023-01-24 06:00:00,3,2.7885747
2023-01-24 07:00:00,10,6.2418017
2023-01-24 08:00:00,75,36.192535
2023-01-24 09:00:00,220,216.15744
2023-01-24 10:00:00,454,424.3602
2023-01-24 11:00:00,564,555.0472
2023-01-24 12:00:00,601,616.5275
2023-01-24 13:00:00,625,628.1459
2023-01-24 14:00:00,672,640.18823
2023-01-24 15:00:00,623,619.6273
2023-01-24 16:00:00,500,521.8746
2023-01-24 17:00:00,392,387.07062
2023-01-24 18:00:00,230,250.50246
2023-01-24 19:00:00,142,148.06554
2023-01-24 20:00:00,65,70.461105
2023-01-24 21:00:00,28,21.6326
2023-01-24 22:00:00,12,15.560358
2023-01-24 23:00:00,0,4.9211364
2023-01-25 00:00:00,0,11.6763525
2023-01-25 01:00:00,0,5.2583694
2023-01-25 02:00:00,0,2.5363362
2023-01-25 03:00:00,0,1.7542063
2023-01-25 04:00:00,0,1.1885113
2023-01-25 05:00:00,0,2.1080372
2023-01-25 06:00:00,0,2.7156253
2023-01-25 07:00:00,10,6.496841
2023-01-25 08:00:00,48,35.44555
2023-01-25 09:00:00,234,174.8591
2023-01-25 10:00:00,461,446.19226
2023-01-25 11:00:00,545,582.0803
2023-01-25 12:00:00,595,600.38727
2023-01-25 13:00:00,620,622.4152
2023-01-25 14:00:00,648,624.8854
2023-01-25 15:00:00,601,598.7477
2023-01-25 16:00:00,474,517.11194
2023-01-25 17:00:00,344,355.42972
2023-01-25 18:00:00,240,237.8365
2023-01-25 19:00:00,156,148.0801
2023-01-25 20:00:00,80,81.19289
2023-01-25 21:00:00,43,34.33226
2023-01-25 22:00:00,12,20.447422
2023-01-25 23:00:00,4,2.9865055
2023-01-26 00:00:00,4,12.778601
2023-01-26 01:00:00,5,7.011572
2023-01-26 02:00:00,5,4.9150615
2023-01-26 03:00:00,3,3.5206172
2023-01-26 04:00:00,3,1.8758379
2023-01-26 05:00:00,3,2.507028
2023-01-26 06:00:00,3,2.9096503
2023-01-26 07:00:00,13,6.871498
2023-01-26 08:00:00,49,31.0809
2023-01-26 09:00:00,192,152.89307
2023-01-26 10:00:00,452,378.996
2023-01-26 11:00:00,553,548.4851
2023-01-26 12:00:00,574,606.9371
2023-01-26 13:00:00,564,594.7943
2023-01-26 14:00:00,611,587.1846
2023-01-26 15:00:00,576,568.6057
2023-01-26 16:00:00,494,499.11957
2023-01-26 17:00:00,370,367.5507
2023-01-26 18:00:00,295,264.16714
2023-01-26 19:00:00,225,210.82843
2023-01-26 20:00:00,113,146.19716
2023-01-26 21:00:00,53,55.236996
2023-01-26 22:00:00,21,12.475416
2023-01-26 23:00:00,17,9.751712
2023-01-27 00:00:00,15,18.875721
2023-01-27 01:00:00,12,24.630934
2023-01-27 02:00:00,12,12.676592
2023-01-27 03:00:00,12,10.795877
2023-01-27 04:00:00,12,10.044306
2023-01-27 05:00:00,12,10.539762
2023-01-27 06:00:00,12,10.872212
2023-01-27 07:00:00,21,14.408609
2023-01-27 08:00:00,56,30.385662
2023-01-27 09:00:00,189,151.25894
2023-01-27 10:00:00,338,320.12646
2023-01-27 11:00:00,430,437.41296
2023-01-27 12:00:00,454,470.04425
2023-01-27 13:00:00,474,458.27332
2023-01-27 14:00:00,478,474.81717
2023-01-27 15:00:00,413,448.70624
2023-01-27 16:00:00,316,339.92252
2023-01-27 17:00:00,194,212.2307
2023-01-27 18:00:00,132,121.3893
2023-01-27 19:00:00,93,102.65026
2023-01-27 20:00:00,68,92.22482
2023-01-27 21:00:00,50,62.889744
2023-01-27 22:00:00,30,37.721382
2023-01-27 23:00:00,17,18.733578
2023-01-28 00:00:00,15,15.682594
2023-01-28 01:00:00,16,14.823477
2023-01-28 02:00:00,17,14.519402
2023-01-28 03:00:00,17,14.966537
2023-01-28 04:00:00,16,15.354623
2023-01-28 05:00:00,16,14.025943
2023-01-28 06:00:00,16,14.302499
2023-01-28 07:00:00,14,17.662779
2023-01-28 08:00:00,15,22.044924
2023-01-28 09:00:00,20,42.256073
2023-01-28 10:00:00,37,46.65493
2023-01-28 11:00:00,39,53.359554
2023-01-28 12:00:00,43,53.745182
2023-01-28 13:00:00,50,56.421383
2023-01-28 14:00:00,63,63.162956
2023-01-28 15:00:00,67,70.92697
2023-01-28 16:00:00,66,72.78491
2023-01-28 17:00:00,64,66.140915
2023-01-28 18:00:00,52,60.324966
2023-01-28 19:00:00,38,49.239555
2023-01-28 20:00:00,31,39.178833
2023-01-28 21:00:00,27,32.267933
2023-01-28 22:00:00,12,19.632597
2023-01-28 23:00:00,14,7.1049623
2023-01-29 00:00:00,13,12.296986
2023-01-29 01:00:00,12,11.335822
2023-01-29 02:00:00,12,11.205597
2023-01-29 03:00:00,11,10.862558
2023-01-29 04:00:00,11,9.542652
2023-01-29 05:00:00,11,10.173847
2023-01-29 06:00:00,10,10.450403
2023-01-29 07:00:00,9,13.512074
2023-01-29 08:00:00,10,14.647994
2023-01-29 09:00:00,13,18.792488
2023-01-29 10:00:00,14,19.671286
2023-01-29 11:00:00,14,20.092896
2023-01-29 12:00:00,21,21.151491
2023-01-29 13:00:00,28,29.282393
2023-01-29 14:00:00,30,41.26304
2023-01-29 15:00:00,39,40.147053
2023-01-29 16:00:00,39,41.85511
2023-01-29 17:00:00,30,34.038395
2023-01-29 18:00:00,25,26.161188
2023-01-29 19:00:00,25,19.192312
2023-01-29 20:00:00,23,19.361238
2023-01-29 21:00:00,22,15.046358
2023-01-29 22:00:00,18,13.558154
2023-01-29 23:00:00,10,12.18608
2023-01-30 00:00:00,9,9.610531
2023-01-30 01:00:00,9,8.463673
2023-01-30 02:00:00,9,7.8380275
2023-01-30 03:00:00,1,6.274577
2023-01-30 04:00:00,1,0.8229978
2023-01-30 05:00:00,1,1.5068265
2023-01-30 06:00:00,2,2.1405666
2023-01-30 07:00:00,9,6.0651474
2023-01-30 08:00:00,50,21.58535
2023-01-30 09:00:00,215,128.60092
2023-01-30 10:00:00,413,388.4757
2023-01-30 11:00:00,511,509.50427
2023-01-30 12:00:00,532,561.5224
2023-01-30 13:00:00,541,556.0834
2023-01-30 14:00:00,569,533.55164
2023-01-30 15:00:00,523,515.4172
2023-01-30 16:00:00,405,456.19424
2023-01-30 17:00:00,274,289.93204
2023-01-30 18:00:00,192,178.44133
2023-01-30 19:00:00,136,113.94386
2023-01-30 20:00:00,87,76.22502
2023-01-30 21:00:00,62,50.005306
2023-01-30 22:00:00,34,38.379036
2023-01-30 23:00:00,11,20.685982
2023-01-31 00:00:00,8,7.857749
2023-01-31 01:00:00,7,7.9302874
2023-01-31 02:00:00,7,7.2021823
2023-01-31 03:00:00,7,4.865768
2023-01-31 04:00:00,7,5.3995
2023-01-31 05:00:00,7,5.5196915
2023-01-31 06:00:00,8,5.796247
2023-01-31 07:00:00,16,10.90285
2023-01-31 08:00:00,54,33.02448
2023-01-31 09:00:00,186,154.1763
2023-01-31 10:00:00,400,371.09973
2023-01-31 11:00:00,492,514.7899
2023-01-31 12:00:00,537,563.8003
2023-01-31 13:00:00,549,563.47144
