date,Actual,Predicted
2023-01-20 14:00:00,96,88.64581
2023-01-20 15:00:00,73,99.72392
2023-01-20 16:00:00,63,76.28861
2023-01-20 17:00:00,92,62.108555
2023-01-20 18:00:00,129,96.007126
2023-01-20 19:00:00,179,149.0636
2023-01-20 20:00:00,148,142.86678
2023-01-20 21:00:00,125,126.99777
2023-01-20 22:00:00,42,94.612755
2023-01-20 23:00:00,35,14.991983
2023-01-21 00:00:00,30,17.833065
2023-01-21 01:00:00,24,26.037445
2023-01-21 02:00:00,11,18.20949
2023-01-21 03:00:00,10,9.601558
2023-01-21 04:00:00,10,8.291163
2023-01-21 05:00:00,10,9.45526
2023-01-21 06:00:00,10,10.015786
2023-01-21 07:00:00,12,12.828769
2023-01-21 08:00:00,23,15.450427
2023-01-21 09:00:00,39,31.411234
2023-01-21 10:00:00,63,48.934837
2023-01-21 11:00:00,101,71.55619
2023-01-21 12:00:00,116,103.117004
2023-01-21 13:00:00,129,107.324715
2023-01-21 14:00:00,152,105.88557
2023-01-21 15:00:00,138,123.23303
2023-01-21 16:00:00,121,119.7416
2023-01-21 17:00:00,129,116.94778
2023-01-21 18:00:00,125,128.02045
2023-01-21 19:00:00,124,129.27129
2023-01-21 20:00:00,84,119.00668
2023-01-21 21:00:00,45,66.34387
2023-01-21 22:00:00,35,26.441992
2023-01-21 23:00:00,39,23.866339
2023-01-22 00:00:00,36,41.65942
2023-01-22 01:00:00,27,36.46669
2023-01-22 02:00:00,22,22.625647
2023-01-22 03:00:00,18,17.393639
2023-01-22 04:00:00,18,15.477781
2023-01-22 05:00:00,18,16.371742
2023-01-22 06:00:00,18,16.619528
2023-01-22 07:00:00,18,17.778145
2023-01-22 08:00:00,20,19.542263
2023-01-22 09:00:00,26,24.84238
2023-01-22 10:00:00,43,34.299267
2023-01-22 11:00:00,45,45.774925
2023-01-22 12:00:00,52,47.96016
2023-01-22 13:00:00,53,50.73098
2023-01-22 14:00:00,58,51.31748
2023-01-22 15:00:00,51,51.998196
2023-01-22 16:00:00,47,48.83161
2023-01-22 17:00:00,43,44.586445
2023-01-22 18:00:00,39,44.173676
2023-01-22 19:00:00,37,40.450066
2023-01-22 20:00:00,31,33.767548
2023-01-22 21:00:00,26,27.639538
2023-01-22 22:00:00,26,23.910717
2023-01-22 23:00:00,22,23.18383
2023-01-23 00:00:00,20,24.039822
2023-01-23 01:00:00,19,21.42688
2023-01-23 02:00:00,19,17.806976
2023-01-23 03:00:00,19,16.969265
2023-01-23 04:00:00,0,15.122806
2023-01-23 05:00:00,0,3.6795566
2023-01-23 06:00:00,1,4.3002806
2023-01-23 07:00:00,5,6.9023376
2023-01-23 08:00:00,4,10.880678
2023-01-23 09:00:00,15,12.711806
2023-01-23 10:00:00,29,26.35458
2023-01-23 11:00:00,43,38.357597
2023-01-23 12:00:00,46,48.37625
2023-01-23 13:00:00,47,47.332657
2023-01-23 14:00:00,42,45.932713
2023-01-23 15:00:00,36,39.0515
2023-01-23 16:00:00,45,36.602474
2023-01-23 17:00:00,51,44.17426
2023-01-23 18:00:00,68,51.64663
2023-01-23 19:00:00,68,63.630173
2023-01-23 20:00:00,42,53.55145
2023-01-23 21:00:00,29,30.682741
2023-01-23 22:00:00,8,21.060654
2023-01-23 23:00:00,4,9.617903
2023-01-24 00:00:00,3,9.874545
2023-01-24 01:00:00,3,8.682129
2023-01-24 02:00:00,2,6.3648596
