date,Actual,Predicted
2023-01-20 14:00:00,529,838.58307
2023-01-20 15:00:00,461,744.5163
2023-01-20 16:00:00,324,566.2228
2023-01-20 17:00:00,182,491.24698
2023-01-20 18:00:00,100,661.9071
2023-01-20 19:00:00,65,806.1448
2023-01-20 20:00:00,36,47.97324
2023-01-20 21:00:00,32,29.135052
2023-01-20 22:00:00,36,27.033808
2023-01-20 23:00:00,12,31.077845
2023-01-21 00:00:00,11,19.06165
2023-01-21 01:00:00,8,12.778306
2023-01-21 02:00:00,7,6.8177395
2023-01-21 03:00:00,3,4.171349
2023-01-21 04:00:00,0,6.75628
2023-01-21 05:00:00,0,7.3964534
2023-01-21 06:00:00,0,14.891997
2023-01-21 07:00:00,3,28.71985
2023-01-21 08:00:00,2,32.17562
2023-01-21 09:00:00,10,47.165665
2023-01-21 10:00:00,25,41.95473
2023-01-21 11:00:00,39,51.90611
2023-01-21 12:00:00,51,65.25307
2023-01-21 13:00:00,41,69.74312
2023-01-21 14:00:00,44,57.44841
2023-01-21 15:00:00,38,57.030415
2023-01-21 16:00:00,36,47.717655
2023-01-21 17:00:00,21,32.84717
2023-01-21 18:00:00,0,16.724398
2023-01-21 19:00:00,3,3.6543534
2023-01-21 20:00:00,3,5.732734
2023-01-21 21:00:00,6,5.5274363
2023-01-21 22:00:00,4,5.0549707
2023-01-21 23:00:00,5,5.492423
2023-01-22 00:00:00,4,3.9674702
2023-01-22 01:00:00,9,3.9674702
2023-01-22 02:00:00,14,8.266613
2023-01-22 03:00:00,15,13.540946
2023-01-22 04:00:00,13,16.387627
2023-01-22 05:00:00,16,16.2549
2023-01-22 06:00:00,18,23.374557
2023-01-22 07:00:00,22,34.192867
2023-01-22 08:00:00,26,39.631794
2023-01-22 09:00:00,29,41.909508
2023-01-22 10:00:00,30,34.044003
2023-01-22 11:00:00,40,33.140526
2023-01-22 12:00:00,27,39.4888
2023-01-22 13:00:00,30,29.66119
2023-01-22 14:00:00,22,31.567402
2023-01-22 15:00:00,22,25.632313
2023-01-22 16:00:00,25,18.76899
2023-01-22 17:00:00,11,14.792009
2023-01-22 18:00:00,12,7.2658143
2023-01-22 19:00:00,6,11.047471
2023-01-22 20:00:00,8,5.066217
2023-01-22 21:00:00,4,6.3165636
2023-01-22 22:00:00,13,5.077659
2023-01-22 23:00:00,19,13.511216
2023-01-23 00:00:00,25,17.322134
2023-01-23 01:00:00,24,16.688612
2023-01-23 02:00:00,23,16.186857
2023-01-23 03:00:00,1,7.49173
2023-01-23 04:00:00,1,0.9395057
2023-01-23 05:00:00,0,2.7573833
2023-01-23 06:00:00,16,10.847124
2023-01-23 07:00:00,94,63.5817
2023-01-23 08:00:00,221,193.50539
2023-01-23 09:00:00,415,381.38443
2023-01-23 10:00:00,579,566.5529
2023-01-23 11:00:00,656,662.33777
2023-01-23 12:00:00,691,691.532
2023-01-23 13:00:00,713,704.586
2023-01-23 14:00:00,724,705.4626
2023-01-23 15:00:00,685,681.1696
2023-01-23 16:00:00,541,549.33563
2023-01-23 17:00:00,386,401.0607
2023-01-23 18:00:00,266,281.3614
2023-01-23 19:00:00,207,192.41275
2023-01-23 20:00:00,121,144.90688
2023-01-23 21:00:00,75,84.1054
2023-01-23 22:00:00,26,55.813587
2023-01-23 23:00:00,0,17.579428
