date,Actual,Predicted
2023-01-20 14:00:00,354,590.4605
2023-01-20 15:00:00,312,503.26398
2023-01-20 16:00:00,246,409.7343
2023-01-20 17:00:00,156,253.64691
2023-01-20 18:00:00,99,219.12598
2023-01-20 19:00:00,71,191.45862
2023-01-20 20:00:00,56,62.438915
2023-01-20 21:00:00,53,48.317204
2023-01-20 22:00:00,55,49.81095
2023-01-20 23:00:00,53,48.95787
2023-01-21 00:00:00,53,60.25665
2023-01-21 01:00:00,54,60.214874
2023-01-21 02:00:00,55,59.45867
2023-01-21 03:00:00,51,59.36012
2023-01-21 04:00:00,50,57.567738
2023-01-21 05:00:00,50,58.0723
2023-01-21 06:00:00,50,58.614796
2023-01-21 07:00:00,48,61.466003
2023-01-21 08:00:00,50,69.56643
2023-01-21 09:00:00,60,83.45692
2023-01-21 10:00:00,69,86.387886
2023-01-21 11:00:00,78,81.36299
2023-01-21 12:00:00,73,90.57747
2023-01-21 13:00:00,66,81.98546
2023-01-21 14:00:00,63,78.71256
2023-01-21 15:00:00,61,72.84912
2023-01-21 16:00:00,56,69.27732
2023-01-21 17:00:00,53,60.805565
2023-01-21 18:00:00,39,53.083538
2023-01-21 19:00:00,37,40.92245
2023-01-21 20:00:00,38,36.950783
2023-01-21 21:00:00,41,37.920143
2023-01-21 22:00:00,40,39.02891
2023-01-21 23:00:00,42,37.88161
2023-01-22 00:00:00,44,49.60979
2023-01-22 01:00:00,46,52.5765
2023-01-22 02:00:00,46,52.81172
2023-01-22 03:00:00,46,52.874416
2023-01-22 04:00:00,46,49.594036
2023-01-22 05:00:00,46,50.21623
2023-01-22 06:00:00,46,50.758724
2023-01-22 07:00:00,46,53.106068
2023-01-22 08:00:00,46,58.31832
2023-01-22 09:00:00,47,61.69268
2023-01-22 10:00:00,47,63.81271
2023-01-22 11:00:00,48,55.415806
2023-01-22 12:00:00,52,55.1663
2023-01-22 13:00:00,59,57.484016
2023-01-22 14:00:00,60,59.3351
2023-01-22 15:00:00,59,58.95969
2023-01-22 16:00:00,56,58.056435
2023-01-22 17:00:00,61,49.743584
2023-01-22 18:00:00,55,50.81924
2023-01-22 19:00:00,57,51.66194
2023-01-22 20:00:00,56,49.786163
2023-01-22 21:00:00,54,49.479904
2023-01-22 22:00:00,56,49.069904
2023-01-22 23:00:00,60,48.70201
2023-01-23 00:00:00,61,59.88105
2023-01-23 01:00:00,63,62.647026
2023-01-23 02:00:00,64,65.91186
2023-01-23 03:00:00,65,65.91186
2023-01-23 04:00:00,0,32.162
2023-01-23 05:00:00,2,7.544735
2023-01-23 06:00:00,2,9.112229
2023-01-23 07:00:00,9,25.827044
2023-01-23 08:00:00,56,45.782192
2023-01-23 09:00:00,195,145.82585
2023-01-23 10:00:00,350,292.8087
2023-01-23 11:00:00,427,403.19327
2023-01-23 12:00:00,468,459.7892
2023-01-23 13:00:00,484,476.01135
2023-01-23 14:00:00,487,482.08878
2023-01-23 15:00:00,457,440.3096
2023-01-23 16:00:00,405,385.6701
2023-01-23 17:00:00,267,287.3891
2023-01-23 18:00:00,181,185.6537
2023-01-23 19:00:00,123,125.794235
2023-01-23 20:00:00,81,79.47971
2023-01-23 21:00:00,41,59.122147
2023-01-23 22:00:00,19,29.325502
2023-01-23 23:00:00,18,13.910876
2023-01-24 00:00:00,22,21.145878
2023-01-24 01:00:00,21,22.155506
2023-01-24 02:00:00,20,21.679544
2023-01-24 03:00:00,20,22.048992
2023-01-24 04:00:00,20,18.76881
2023-01-24 05:00:00,22,19.421982
2023-01-24 06:00:00,24,21.734564
2023-01-24 07:00:00,28,26.552073
2023-01-24 08:00:00,97,63.597748
2023-01-24 09:00:00,216,219.13136
2023-01-24 10:00:00,427,360.27133
2023-01-24 11:00:00,525,509.17346
2023-01-24 12:00:00,564,560.9334
2023-01-24 13:00:00,551,572.96387
2023-01-24 14:00:00,576,566.2277
2023-01-24 15:00:00,540,530.0241
2023-01-24 16:00:00,485,474.91232
2023-01-24 17:00:00,371,348.98804
2023-01-24 18:00:00,248,250.84576
2023-01-24 19:00:00,152,179.557
2023-01-24 20:00:00,98,108.52524
2023-01-24 21:00:00,59,66.1288
2023-01-24 22:00:00,41,43.46216
2023-01-24 23:00:00,33,28.579357
2023-01-25 00:00:00,32,39.75512
2023-01-25 01:00:00,31,31.161554
2023-01-25 02:00:00,30,30.928785
2023-01-25 03:00:00,30,30.025
2023-01-25 04:00:00,30,29.257055
2023-01-25 05:00:00,32,29.43668
2023-01-25 06:00:00,33,31.594616
2023-01-25 07:00:00,40,36.45581
2023-01-25 08:00:00,93,72.40145
2023-01-25 09:00:00,247,200.84866
2023-01-25 10:00:00,413,404.91833
2023-01-25 11:00:00,497,495.477
2023-01-25 12:00:00,552,545.8074
2023-01-25 13:00:00,575,572.73596
2023-01-25 14:00:00,567,570.2832
2023-01-25 15:00:00,525,529.7556
2023-01-25 16:00:00,449,461.25232
2023-01-25 17:00:00,320,315.07736
2023-01-25 18:00:00,217,218.44063
2023-01-25 19:00:00,143,151.72919
2023-01-25 20:00:00,97,101.71564
2023-01-25 21:00:00,63,66.9597
2023-01-25 22:00:00,35,45.62918
2023-01-25 23:00:00,32,24.617523
2023-01-26 00:00:00,31,38.00217
2023-01-26 01:00:00,27,31.514843
2023-01-26 02:00:00,27,26.464617
2023-01-26 03:00:00,27,28.506413
2023-01-26 04:00:00,28,27.367012
2023-01-26 05:00:00,29,27.852736
2023-01-26 06:00:00,30,28.29713
2023-01-26 07:00:00,43,33.01162
2023-01-26 08:00:00,92,77.78147
2023-01-26 09:00:00,185,173.33249
2023-01-26 10:00:00,340,290.86176
2023-01-26 11:00:00,421,414.0098
2023-01-26 12:00:00,457,468.30728
2023-01-26 13:00:00,476,475.64648
2023-01-26 14:00:00,497,486.7897
2023-01-26 15:00:00,472,477.90692
2023-01-26 16:00:00,413,426.10986
2023-01-26 17:00:00,327,297.50345
2023-01-26 18:00:00,237,228.31255
2023-01-26 19:00:00,156,179.11272
2023-01-26 20:00:00,99,113.06545
2023-01-26 21:00:00,48,65.91987
2023-01-26 22:00:00,29,35.95815
2023-01-26 23:00:00,24,15.759257
2023-01-27 00:00:00,24,30.08879
2023-01-27 01:00:00,22,23.214474
2023-01-27 02:00:00,20,21.152344
2023-01-27 03:00:00,20,19.598387
2023-01-27 04:00:00,20,19.61484
2023-01-27 05:00:00,23,20.05625
2023-01-27 06:00:00,23,22.902237
2023-01-27 07:00:00,29,26.06828
2023-01-27 08:00:00,70,52.305714
2023-01-27 09:00:00,168,161.04713
2023-01-27 10:00:00,282,262.1151
2023-01-27 11:00:00,332,337.66708
2023-01-27 12:00:00,355,385.22797
2023-01-27 13:00:00,346,373.47015
2023-01-27 14:00:00,329,347.60037
2023-01-27 15:00:00,297,311.16708
2023-01-27 16:00:00,243,262.97598
2023-01-27 17:00:00,144,169.8068
2023-01-27 18:00:00,96,112.44101
2023-01-27 19:00:00,76,80.08748
2023-01-27 20:00:00,60,62.76074
2023-01-27 21:00:00,47,42.80883
