date,Actual,Predicted
2023-01-20 14:00:00,715,892.1313
2023-01-20 15:00:00,677,853.3934
2023-01-20 16:00:00,510,655.54083
2023-01-20 17:00:00,323,426.6929
2023-01-20 18:00:00,174,331.2847
2023-01-20 19:00:00,122,292.54446
2023-01-20 20:00:00,81,114.46182
2023-01-20 21:00:00,71,77.835526
2023-01-20 22:00:00,66,64.75728
2023-01-20 23:00:00,54,54.099968
2023-01-21 00:00:00,32,31.967648
2023-01-21 01:00:00,27,27.14298
2023-01-21 02:00:00,21,19.182852
2023-01-21 03:00:00,21,18.682686
2023-01-21 04:00:00,21,18.682686
2023-01-21 05:00:00,20,18.82054
2023-01-21 06:00:00,24,26.197758
2023-01-21 07:00:00,65,72.26447
2023-01-21 08:00:00,70,86.37269
2023-01-21 09:00:00,91,90.24354
2023-01-21 10:00:00,133,107.946655
2023-01-21 11:00:00,144,192.78152
2023-01-21 12:00:00,166,158.52054
2023-01-21 13:00:00,165,166.73668
2023-01-21 14:00:00,168,161.44328
2023-01-21 15:00:00,172,159.47008
2023-01-21 16:00:00,145,145.02592
2023-01-21 17:00:00,123,127.2865
2023-01-21 18:00:00,101,113.84067
2023-01-21 19:00:00,96,93.134865
2023-01-21 20:00:00,70,77.72124
2023-01-21 21:00:00,64,67.42746
2023-01-21 22:00:00,65,59.766
2023-01-21 23:00:00,61,54.794395
2023-01-22 00:00:00,44,39.2503
2023-01-22 01:00:00,41,32.849026
2023-01-22 02:00:00,40,29.889832
2023-01-22 03:00:00,40,29.52053
2023-01-22 04:00:00,39,29.310278
2023-01-22 05:00:00,38,29.482668
2023-01-22 06:00:00,39,35.364193
2023-01-22 07:00:00,77,64.818016
2023-01-22 08:00:00,79,75.89685
2023-01-22 09:00:00,89,80.12698
2023-01-22 10:00:00,92,101.05623
2023-01-22 11:00:00,98,98.75552
2023-01-22 12:00:00,101,102.46151
2023-01-22 13:00:00,116,108.19572
2023-01-22 14:00:00,121,114.83253
2023-01-22 15:00:00,121,123.373566
2023-01-22 16:00:00,102,109.90133
2023-01-22 17:00:00,96,92.56846
2023-01-22 18:00:00,85,83.32044
2023-01-22 19:00:00,74,82.95718
2023-01-22 20:00:00,61,74.17022
2023-01-22 21:00:00,52,67.674545
2023-01-22 22:00:00,50,54.19456
2023-01-22 23:00:00,47,48.308544
2023-01-23 00:00:00,30,28.69729
2023-01-23 01:00:00,28,26.475945
2023-01-23 02:00:00,28,27.293562
2023-01-23 03:00:00,28,27.414097
2023-01-23 04:00:00,0,13.964621
2023-01-23 05:00:00,1,5.089268
2023-01-23 06:00:00,18,15.063379
2023-01-23 07:00:00,127,103.42769
2023-01-23 08:00:00,304,264.49594
2023-01-23 09:00:00,541,482.4109
2023-01-23 10:00:00,713,709.8423
2023-01-23 11:00:00,789,795.3825
2023-01-23 12:00:00,798,820.11176
2023-01-23 13:00:00,798,802.9144
2023-01-23 14:00:00,781,788.2216
2023-01-23 15:00:00,758,751.19586
2023-01-23 16:00:00,611,621.42755
2023-01-23 17:00:00,381,376.08972
2023-01-23 18:00:00,203,219.86014
2023-01-23 19:00:00,136,127.45179
2023-01-23 20:00:00,94,100.83757
2023-01-23 21:00:00,65,70.53832
2023-01-23 22:00:00,57,58.04952
2023-01-23 23:00:00,40,50.07079
2023-01-24 00:00:00,16,18.84821
2023-01-24 01:00:00,14,20.852606
2023-01-24 02:00:00,14,16.22656
2023-01-24 03:00:00,14,14.547945
2023-01-24 04:00:00,13,12.646748
2023-01-24 05:00:00,14,10.644625
2023-01-24 06:00:00,29,23.69073
2023-01-24 07:00:00,149,136.7037
2023-01-24 08:00:00,329,320.30103
2023-01-24 09:00:00,579,549.7685
2023-01-24 10:00:00,755,751.0354
2023-01-24 11:00:00,834,839.73883
2023-01-24 12:00:00,853,873.33527
2023-01-24 13:00:00,865,870.17316
2023-01-24 14:00:00,862,857.7236
2023-01-24 15:00:00,830,834.95135
2023-01-24 16:00:00,659,688.2083
2023-01-24 17:00:00,370,381.42603
2023-01-24 18:00:00,179,231.45834
2023-01-24 19:00:00,123,146.38458
2023-01-24 20:00:00,71,96.09125
2023-01-24 21:00:00,54,69.21488
2023-01-24 22:00:00,44,54.46849
2023-01-24 23:00:00,25,38.03787
2023-01-25 00:00:00,4,16.723625
2023-01-25 01:00:00,3,10.045745
2023-01-25 02:00:00,2,6.070726
2023-01-25 03:00:00,0,6.243198
2023-01-25 04:00:00,0,6.7421107
2023-01-25 05:00:00,1,7.4472017
2023-01-25 06:00:00,15,20.205378
2023-01-25 07:00:00,123,130.5354
2023-01-25 08:00:00,314,283.97662
2023-01-25 09:00:00,592,528.9635
2023-01-25 10:00:00,802,772.6826
2023-01-25 11:00:00,887,873.51306
2023-01-25 12:00:00,903,923.53284
2023-01-25 13:00:00,898,914.8801
2023-01-25 14:00:00,898,910.47076
2023-01-25 15:00:00,876,862.07
2023-01-25 16:00:00,697,704.8574
2023-01-25 17:00:00,448,431.1758
2023-01-25 18:00:00,238,235.04529
2023-01-25 19:00:00,160,144.67442
2023-01-25 20:00:00,80,110.429306
2023-01-25 21:00:00,57,65.54579
2023-01-25 22:00:00,50,52.888683
2023-01-25 23:00:00,34,41.064873
2023-01-26 00:00:00,4,18.735771
2023-01-26 01:00:00,4,17.158865
2023-01-26 02:00:00,3,7.412619
2023-01-26 03:00:00,4,7.5015316
2023-01-26 04:00:00,4,7.5015316
2023-01-26 05:00:00,4,9.426325
2023-01-26 06:00:00,15,16.134386
2023-01-26 07:00:00,131,122.55917
2023-01-26 08:00:00,323,301.7036
2023-01-26 09:00:00,561,535.1384
2023-01-26 10:00:00,734,744.4261
2023-01-26 11:00:00,812,826.10693
2023-01-26 12:00:00,851,857.9773
2023-01-26 13:00:00,846,868.26575
2023-01-26 14:00:00,852,849.41174
2023-01-26 15:00:00,826,825.6563
2023-01-26 16:00:00,711,689.60223
2023-01-26 17:00:00,516,468.00958
2023-01-26 18:00:00,319,282.03885
2023-01-26 19:00:00,245,209.74174
2023-01-26 20:00:00,133,132.06412
2023-01-26 21:00:00,99,103.61661
2023-01-26 22:00:00,87,72.4445
2023-01-26 23:00:00,73,58.98219
2023-01-27 00:00:00,38,45.69136
2023-01-27 01:00:00,33,32.406025
2023-01-27 02:00:00,30,30.356586
2023-01-27 03:00:00,29,27.985163
2023-01-27 04:00:00,29,26.195961
2023-01-27 05:00:00,30,25.641283
2023-01-27 06:00:00,39,34.36285
2023-01-27 07:00:00,149,120.50256
2023-01-27 08:00:00,305,307.46808
2023-01-27 09:00:00,517,465.56287
2023-01-27 10:00:00,640,655.7907
2023-01-27 11:00:00,695,706.93634
2023-01-27 12:00:00,721,750.2776
2023-01-27 13:00:00,723,726.41724
2023-01-27 14:00:00,701,721.6272
2023-01-27 15:00:00,674,692.06976
2023-01-27 16:00:00,516,522.5669
2023-01-27 17:00:00,317,298.98483
2023-01-27 18:00:00,171,217.03534
2023-01-27 19:00:00,146,145.62964
2023-01-27 20:00:00,110,123.71659
2023-01-27 21:00:00,94,93.567154
2023-01-27 22:00:00,86,82.62923
2023-01-27 23:00:00,67,71.72481
2023-01-28 00:00:00,35,44.701817
2023-01-28 01:00:00,33,35.32237
2023-01-28 02:00:00,31,32.830006
2023-01-28 03:00:00,31,31.363388
2023-01-28 04:00:00,31,29.996239
2023-01-28 05:00:00,31,29.901533
2023-01-28 06:00:00,37,37.437984
2023-01-28 07:00:00,71,89.16629
2023-01-28 08:00:00,75,95.62009
2023-01-28 09:00:00,88,99.43842
2023-01-28 10:00:00,118,115.1489
2023-01-28 11:00:00,145,132.91801
2023-01-28 12:00:00,160,166.32347
2023-01-28 13:00:00,171,168.37552
2023-01-28 14:00:00,162,170.49545
2023-01-28 15:00:00,158,162.66728
2023-01-28 16:00:00,130,145.7785
2023-01-28 17:00:00,108,131.87457
2023-01-28 18:00:00,88,103.5935
2023-01-28 19:00:00,89,97.431496
2023-01-28 20:00:00,91,83.37597
2023-01-28 21:00:00,86,83.22567
2023-01-28 22:00:00,56,75.655495
2023-01-28 23:00:00,50,59.50136
2023-01-29 00:00:00,31,33.907284
2023-01-29 01:00:00,28,32.388622
2023-01-29 02:00:00,26,31.826193
2023-01-29 03:00:00,26,30.712397
2023-01-29 04:00:00,26,29.370554
2023-01-29 05:00:00,25,26.530003
2023-01-29 06:00:00,30,36.501476
2023-01-29 07:00:00,60,65.33773
2023-01-29 08:00:00,60,71.84509
2023-01-29 09:00:00,71,73.793045
2023-01-29 10:00:00,80,86.5962
2023-01-29 11:00:00,100,93.756035
2023-01-29 12:00:00,101,104.17652
2023-01-29 13:00:00,115,111.39596
2023-01-29 14:00:00,122,116.402054
2023-01-29 15:00:00,112,123.13789
2023-01-29 16:00:00,89,100.919205
2023-01-29 17:00:00,82,83.99985
2023-01-29 18:00:00,71,75.23832
2023-01-29 19:00:00,71,75.83567
2023-01-29 20:00:00,54,74.54531
2023-01-29 21:00:00,50,64.17329
2023-01-29 22:00:00,49,48.306587
2023-01-29 23:00:00,43,44.332996
2023-01-30 00:00:00,25,24.165365
2023-01-30 01:00:00,25,24.792416
2023-01-30 02:00:00,25,24.833689
2023-01-30 03:00:00,25,24.954224
2023-01-30 04:00:00,0,11.125487
2023-01-30 05:00:00,0,2.5550768
2023-01-30 06:00:00,7,13.821063
2023-01-30 07:00:00,116,76.46091
2023-01-30 08:00:00,314,199.75255
2023-01-30 09:00:00,529,493.53162
2023-01-30 10:00:00,673,678.51135
2023-01-30 11:00:00,742,753.54834
2023-01-30 12:00:00,748,777.66174
2023-01-30 13:00:00,745,756.4559
2023-01-30 14:00:00,723,745.5454
2023-01-30 15:00:00,697,712.58356
2023-01-30 16:00:00,565,566.06586
2023-01-30 17:00:00,339,347.3645
2023-01-30 18:00:00,178,213.22523
2023-01-30 19:00:00,104,120.96121
2023-01-30 20:00:00,55,67.50426
2023-01-30 21:00:00,38,53.19307
2023-01-30 22:00:00,30,46.22702
2023-01-30 23:00:00,13,38.27638
2023-01-31 00:00:00,0,15.1099205
2023-01-31 01:00:00,1,7.1350594
2023-01-31 02:00:00,0,5.2016935
2023-01-31 03:00:00,0,5.9091206
2023-01-31 04:00:00,0,4.8516474
2023-01-31 05:00:00,0,5.7751107
2023-01-31 06:00:00,16,14.66989
2023-01-31 07:00:00,16,92.20372
2023-01-31 08:00:00,204,178.83173
2023-01-31 09:00:00,438,399.79712
2023-01-31 10:00:00,610,628.486
2023-01-31 11:00:00,688,728.9599
2023-01-31 12:00:00,719,782.6317
2023-01-31 13:00:00,725,773.5995
2023-01-31 14:00:00,728,752.6577
2023-01-31 15:00:00,700,730.26746
2023-01-31 16:00:00,544,582.8662
2023-01-31 17:00:00,293,325.14023
2023-01-31 18:00:00,110,160.37683
2023-01-31 19:00:00,29,94.97856
2023-01-31 20:00:00,0,42.102505
2023-01-31 21:00:00,0,35.77381
2023-01-31 22:00:00,0,40.00236
2023-01-31 23:00:00,0,43.456165
2023-02-01 00:00:00,0,-6.347678
2023-02-01 01:00:00,0,0.43752214
2023-02-01 02:00:00,0,3.682167
2023-02-01 03:00:00,0,3.3911874
2023-02-01 04:00:00,0,3.4378173
2023-02-01 05:00:00,3,4.239291
2023-02-01 06:00:00,14,17.819841
2023-02-01 07:00:00,130,92.175255
2023-02-01 08:00:00,320,310.27066
2023-02-01 09:00:00,584,540.39453
2023-02-01 10:00:00,742,748.53406
2023-02-01 11:00:00,829,846.86066
2023-02-01 12:00:00,861,883.4817
2023-02-01 13:00:00,862,868.9988
2023-02-01 14:00:00,855,853.9507
2023-02-01 15:00:00,822,824.71576
2023-02-01 16:00:00,681,683.2622
2023-02-01 17:00:00,417,402.0988
2023-02-01 18:00:00,235,227.74414
2023-02-01 19:00:00,154,134.1748
2023-02-01 20:00:00,96,108.02527
2023-02-01 21:00:00,69,60.658123
2023-02-01 22:00:00,53,50.866432
2023-02-01 23:00:00,43,40.599354
2023-02-02 00:00:00,22,24.526073
2023-02-02 01:00:00,17,22.886406
2023-02-02 02:00:00,16,17.776825
2023-02-02 03:00:00,16,17.865953
2023-02-02 04:00:00,16,16.518713
2023-02-02 05:00:00,16,16.046957
2023-02-02 06:00:00,27,27.152742
2023-02-02 07:00:00,149,127.68738
2023-02-02 08:00:00,346,335.6809
2023-02-02 09:00:00,606,581.7
2023-02-02 10:00:00,773,741.36896
2023-02-02 11:00:00,849,843.4646
2023-02-02 12:00:00,886,878.76355
2023-02-02 13:00:00,876,878.6167
2023-02-02 14:00:00,882,850.77325
2023-02-02 15:00:00,856,847.1129
2023-02-02 16:00:00,698,695.6089
2023-02-02 17:00:00,441,448.0696
2023-02-02 18:00:00,235,253.10013
2023-02-02 19:00:00,180,162.83633
2023-02-02 20:00:00,115,123.7043
2023-02-02 21:00:00,81,86.35881
2023-02-02 22:00:00,70,65.96652
2023-02-02 23:00:00,51,56.07506
2023-02-03 00:00:00,23,31.924095
2023-02-03 01:00:00,17,24.170717
2023-02-03 02:00:00,17,22.865854
2023-02-03 03:00:00,17,19.078968
2023-02-03 04:00:00,17,19.078968
2023-02-03 05:00:00,18,19.440598
2023-02-03 06:00:00,25,32.175087
2023-02-03 07:00:00,117,115.54898
2023-02-03 08:00:00,292,229.8631
2023-02-03 09:00:00,495,443.0646
2023-02-03 10:00:00,644,644.4245
2023-02-03 11:00:00,710,712.15784
2023-02-03 12:00:00,714,744.3233
2023-02-03 13:00:00,708,726.38464
2023-02-03 14:00:00,684,719.8129
2023-02-03 15:00:00,670,689.5113
2023-02-03 16:00:00,536,531.1713
2023-02-03 17:00:00,326,319.72528
2023-02-03 18:00:00,177,211.19868
2023-02-03 19:00:00,131,150.40535
2023-02-03 20:00:00,80,109.29348
2023-02-03 21:00:00,52,71.80045
2023-02-03 22:00:00,51,59.50261
2023-02-03 23:00:00,36,52.08955
2023-02-04 00:00:00,5,22.279444
2023-02-04 01:00:00,1,18.203386
2023-02-04 02:00:00,0,9.0355425
2023-02-04 03:00:00,0,8.280753
2023-02-04 04:00:00,0,8.791899
2023-02-04 05:00:00,1,8.688799
2023-02-04 06:00:00,5,17.93271
2023-02-04 07:00:00,42,58.630646
2023-02-04 08:00:00,46,80.69368
2023-02-04 09:00:00,66,82.28743
2023-02-04 10:00:00,86,94.837585
2023-02-04 11:00:00,110,111.9562
2023-02-04 12:00:00,122,124.229675
2023-02-04 13:00:00,112,133.48761
2023-02-04 14:00:00,103,126.23618
2023-02-04 15:00:00,119,119.461655
2023-02-04 16:00:00,87,120.933105
2023-02-04 17:00:00,72,96.837006
2023-02-04 18:00:00,64,88.14122
2023-02-04 19:00:00,59,81.813065
2023-02-04 20:00:00,60,63.523483
2023-02-04 21:00:00,64,57.338257
2023-02-04 22:00:00,23,47.22519
2023-02-04 23:00:00,15,29.76542
2023-02-05 00:00:00,0,10.871999
2023-02-05 01:00:00,0,5.9334316
2023-02-05 02:00:00,0,8.654597
2023-02-05 03:00:00,0,9.309585
2023-02-05 04:00:00,0,9.312342
2023-02-05 05:00:00,0,9.720604
2023-02-05 06:00:00,5,17.544437
2023-02-05 07:00:00,34,33.05013
2023-02-05 08:00:00,39,47.82876
2023-02-05 09:00:00,49,55.20526
2023-02-05 10:00:00,54,61.88496
2023-02-05 11:00:00,71,67.67152
2023-02-05 12:00:00,74,79.1403
2023-02-05 13:00:00,79,83.03162
2023-02-05 14:00:00,82,84.78349
2023-02-05 15:00:00,108,92.44818
2023-02-05 16:00:00,97,82.32075
2023-02-05 17:00:00,75,76.193146
2023-02-05 18:00:00,65,63.908134
2023-02-05 19:00:00,57,65.12737
2023-02-05 20:00:00,40,60.038105
2023-02-05 21:00:00,37,58.213245
2023-02-05 22:00:00,36,37.32305
2023-02-05 23:00:00,31,34.17998
2023-02-06 00:00:00,10,11.904971
2023-02-06 01:00:00,9,7.7623525
2023-02-06 02:00:00,9,10.362904
2023-02-06 03:00:00,8,10.362904
2023-02-06 04:00:00,0,3.844265
2023-02-06 05:00:00,0,2.0027134
2023-02-06 06:00:00,11,11.736124
2023-02-06 07:00:00,124,67.51295
2023-02-06 08:00:00,325,258.08084
2023-02-06 09:00:00,545,526.3476
2023-02-06 10:00:00,723,690.15674
2023-02-06 11:00:00,790,774.23175
2023-02-06 12:00:00,803,796.1025
2023-02-06 13:00:00,798,781.5155
2023-02-06 14:00:00,801,759.5839
2023-02-06 15:00:00,765,739.1709
2023-02-06 16:00:00,612,607.4913
2023-02-06 17:00:00,380,359.70764
2023-02-06 18:00:00,198,217.14606
2023-02-06 19:00:00,130,117.132286
2023-02-06 20:00:00,68,91.093994
2023-02-06 21:00:00,50,48.154007
2023-02-06 22:00:00,43,38.907127
2023-02-06 23:00:00,36,34.09388
2023-02-07 00:00:00,3,14.1904545
2023-02-07 01:00:00,3,13.718545
2023-02-07 02:00:00,2,2.937547
2023-02-07 03:00:00,2,3.490788
2023-02-07 04:00:00,1,3.3238413
2023-02-07 05:00:00,1,3.840543
2023-02-07 06:00:00,13,14.815983
2023-02-07 07:00:00,127,101.90745
2023-02-07 08:00:00,339,295.00253
2023-02-07 09:00:00,620,581.83594
2023-02-07 10:00:00,819,731.6287
2023-02-07 11:00:00,895,850.5565
2023-02-07 12:00:00,902,888.27185
2023-02-07 13:00:00,909,876.87744
2023-02-07 14:00:00,929,870.534
2023-02-07 15:00:00,874,846.0401
2023-02-07 16:00:00,696,650.7548
2023-02-07 17:00:00,418,406.29153
2023-02-07 18:00:00,220,227.29651
2023-02-07 19:00:00,140,135.01157
2023-02-07 20:00:00,76,69.35413
2023-02-07 21:00:00,59,46.56858
2023-02-07 22:00:00,52,40.510624
2023-02-07 23:00:00,34,35.170086
2023-02-08 00:00:00,6,13.2041855
2023-02-08 01:00:00,3,12.57205
2023-02-08 02:00:00,1,2.0706978
2023-02-08 03:00:00,0,2.1596105
2023-02-08 04:00:00,0,2.7606843
2023-02-08 05:00:00,2,3.822138
2023-02-08 06:00:00,18,13.1141615
2023-02-08 07:00:00,132,117.47533
2023-02-08 08:00:00,330,316.60953
2023-02-08 09:00:00,614,583.3865
2023-02-08 10:00:00,819,774.8978
2023-02-08 11:00:00,894,882.92
2023-02-08 12:00:00,917,922.7415
2023-02-08 13:00:00,924,913.4137
2023-02-08 14:00:00,906,911.37476
2023-02-08 15:00:00,861,866.5762
2023-02-08 16:00:00,681,697.7059
2023-02-08 17:00:00,421,396.9128
2023-02-08 18:00:00,257,232.17699
2023-02-08 19:00:00,192,155.50943
2023-02-08 20:00:00,123,114.17338
2023-02-08 21:00:00,74,90.60343
2023-02-08 22:00:00,61,59.104794
2023-02-08 23:00:00,51,44.267635
2023-02-09 00:00:00,23,23.673204
2023-02-09 01:00:00,21,22.04605
2023-02-09 02:00:00,20,22.25976
2023-02-09 03:00:00,20,18.02445
2023-02-09 04:00:00,19,17.193304
2023-02-09 05:00:00,19,17.554934
2023-02-09 06:00:00,33,25.830217
2023-02-09 07:00:00,145,122.62987
2023-02-09 08:00:00,342,320.4824
2023-02-09 09:00:00,596,582.71783
2023-02-09 10:00:00,790,762.0176
2023-02-09 11:00:00,858,869.49347
2023-02-09 12:00:00,895,899.3298
2023-02-09 13:00:00,902,901.5779
2023-02-09 14:00:00,916,908.5067
2023-02-09 15:00:00,875,872.3355
2023-02-09 16:00:00,704,707.0449
2023-02-09 17:00:00,472,443.13492
2023-02-09 18:00:00,274,269.95547
2023-02-09 19:00:00,209,162.74794
2023-02-09 20:00:00,132,132.63916
2023-02-09 21:00:00,97,98.2218
2023-02-09 22:00:00,84,72.82218
2023-02-09 23:00:00,74,61.485786
2023-02-10 00:00:00,44,42.912785
2023-02-10 01:00:00,38,34.520138
2023-02-10 02:00:00,36,35.673676
2023-02-10 03:00:00,36,32.902374
2023-02-10 04:00:00,35,29.641981
2023-02-10 05:00:00,32,28.05427
2023-02-10 06:00:00,39,36.578773
2023-02-10 07:00:00,155,119.3777
2023-02-10 08:00:00,328,328.1852
2023-02-10 09:00:00,522,528.9583
2023-02-10 10:00:00,657,666.8844
2023-02-10 11:00:00,703,720.3436
2023-02-10 12:00:00,718,750.60114
2023-02-10 13:00:00,711,731.5163
2023-02-10 14:00:00,683,722.01685
2023-02-10 15:00:00,667,694.3428
2023-02-10 16:00:00,515,534.6945
2023-02-10 17:00:00,327,306.92947
2023-02-10 18:00:00,180,212.71861
2023-02-10 19:00:00,131,147.8537
2023-02-10 20:00:00,82,111.1775
2023-02-10 21:00:00,60,73.54895
2023-02-10 22:00:00,60,63.166492
2023-02-10 23:00:00,48,54.957897
2023-02-11 00:00:00,27,31.270094
2023-02-11 01:00:00,23,27.117231
2023-02-11 02:00:00,22,22.634315
2023-02-11 03:00:00,22,22.75485
2023-02-11 04:00:00,21,21.275808
2023-02-11 05:00:00,21,21.542261
2023-02-11 06:00:00,27,29.377932
2023-02-11 07:00:00,67,76.58713
2023-02-11 08:00:00,65,84.78837
2023-02-11 09:00:00,76,85.2637
2023-02-11 10:00:00,102,97.52323
2023-02-11 11:00:00,120,115.56698
2023-02-11 12:00:00,131,130.70755
2023-02-11 13:00:00,125,139.54057
2023-02-11 14:00:00,117,133.47433
2023-02-11 15:00:00,124,123.77307
2023-02-11 16:00:00,104,118.55515
