date,Actual,Predicted
2023-01-20 14:00:00,836,1082.8828
2023-01-20 15:00:00,768,967.58673
2023-01-20 16:00:00,592,777.8873
2023-01-20 17:00:00,419,558.6262
2023-01-20 18:00:00,240,395.36624
2023-01-20 19:00:00,202,299.23108
2023-01-20 20:00:00,151,154.61238
2023-01-20 21:00:00,137,122.92306
2023-01-20 22:00:00,77,103.85447
2023-01-20 23:00:00,40,64.66573
2023-01-21 00:00:00,18,36.38364
2023-01-21 01:00:00,12,21.784243
2023-01-21 02:00:00,4,15.216698
2023-01-21 03:00:00,2,13.457836
2023-01-21 04:00:00,2,11.354493
2023-01-21 05:00:00,1,11.679387
2023-01-21 06:00:00,2,16.920052
2023-01-21 07:00:00,9,31.4511
2023-01-21 08:00:00,26,81.56111
2023-01-21 09:00:00,62,97.64058
2023-01-21 10:00:00,145,124.757645
2023-01-21 11:00:00,213,208.44746
2023-01-21 12:00:00,228,265.76233
2023-01-21 13:00:00,211,228.97353
2023-01-21 14:00:00,222,210.34042
2023-01-21 15:00:00,256,209.75537
2023-01-21 16:00:00,238,220.97696
2023-01-21 17:00:00,156,186.96152
2023-01-21 18:00:00,112,133.38266
2023-01-21 19:00:00,85,111.06873
2023-01-21 20:00:00,63,87.19001
2023-01-21 21:00:00,67,65.31475
2023-01-21 22:00:00,54,59.786568
2023-01-21 23:00:00,41,44.792633
2023-01-22 00:00:00,23,34.474407
2023-01-22 01:00:00,25,20.89353
2023-01-22 02:00:00,18,21.213293
2023-01-22 03:00:00,16,19.718557
2023-01-22 04:00:00,14,17.467487
2023-01-22 05:00:00,11,16.603045
2023-01-22 06:00:00,13,20.144188
2023-01-22 07:00:00,12,33.850533
2023-01-22 08:00:00,18,37.817795
2023-01-22 09:00:00,57,46.174404
2023-01-22 10:00:00,94,92.7119
2023-01-22 11:00:00,106,124.58511
2023-01-22 12:00:00,100,123.3389
2023-01-22 13:00:00,105,111.39215
2023-01-22 14:00:00,88,106.79167
2023-01-22 15:00:00,96,101.82508
2023-01-22 16:00:00,92,106.662346
2023-01-22 17:00:00,79,84.30409
2023-01-22 18:00:00,77,73.57924
2023-01-22 19:00:00,76,85.933495
2023-01-22 20:00:00,88,77.59788
2023-01-22 21:00:00,83,90.42461
2023-01-22 22:00:00,53,92.362885
2023-01-22 23:00:00,13,41.185863
2023-01-23 00:00:00,0,15.198228
2023-01-23 01:00:00,2,10.860434
2023-01-23 02:00:00,1,10.860434
2023-01-23 03:00:00,0,8.705322
2023-01-23 04:00:00,0,9.107579
2023-01-23 05:00:00,2,9.524276
2023-01-23 06:00:00,13,14.922904
2023-01-23 07:00:00,52,32.49168
2023-01-23 08:00:00,292,154.55592
2023-01-23 09:00:00,580,525.3467
2023-01-23 10:00:00,824,775.9842
2023-01-23 11:00:00,907,918.1983
2023-01-23 12:00:00,949,950.309
2023-01-23 13:00:00,952,952.07153
2023-01-23 14:00:00,981,930.39233
2023-01-23 15:00:00,905,904.42017
2023-01-23 16:00:00,760,764.7346
2023-01-23 17:00:00,552,547.63916
2023-01-23 18:00:00,365,400.94574
2023-01-23 19:00:00,287,284.76144
2023-01-23 20:00:00,249,222.26288
2023-01-23 21:00:00,178,165.99194
2023-01-23 22:00:00,113,117.25018
2023-01-23 23:00:00,66,85.90114
2023-01-24 00:00:00,45,61.94173
2023-01-24 01:00:00,37,39.81828
2023-01-24 02:00:00,15,32.98023
2023-01-24 03:00:00,17,15.597047
2023-01-24 04:00:00,17,18.744722
2023-01-24 05:00:00,18,18.976799
2023-01-24 06:00:00,28,24.006271
2023-01-24 07:00:00,90,45.948765
2023-01-24 08:00:00,288,219.9435
2023-01-24 09:00:00,569,533.7792
2023-01-24 10:00:00,836,786.7305
2023-01-24 11:00:00,989,967.00275
2023-01-24 12:00:00,1039,1033.7565
2023-01-24 13:00:00,1030,1075.5188
2023-01-24 14:00:00,1080,1039.4152
2023-01-24 15:00:00,1018,1008.81915
2023-01-24 16:00:00,861,902.71686
2023-01-24 17:00:00,639,645.7189
2023-01-24 18:00:00,412,447.96335
2023-01-24 19:00:00,296,295.16565
2023-01-24 20:00:00,218,225.99303
2023-01-24 21:00:00,165,162.92656
2023-01-24 22:00:00,90,117.72569
2023-01-24 23:00:00,51,74.76432
2023-01-25 00:00:00,36,47.451218
2023-01-25 01:00:00,19,34.064835
2023-01-25 02:00:00,19,20.527166
2023-01-25 03:00:00,19,19.148064
2023-01-25 04:00:00,19,19.627016
2023-01-25 05:00:00,21,19.951912
2023-01-25 06:00:00,40,25.40599
2023-01-25 07:00:00,95,62.500244
2023-01-25 08:00:00,353,229.40851
2023-01-25 09:00:00,639,607.50146
2023-01-25 10:00:00,927,845.45795
2023-01-25 11:00:00,1040,1018.9388
2023-01-25 12:00:00,1073,1082.1335
2023-01-25 13:00:00,1086,1103.5414
2023-01-25 14:00:00,1109,1079.4603
2023-01-25 15:00:00,1035,1044.142
2023-01-25 16:00:00,898,918.5361
2023-01-25 17:00:00,638,657.87384
2023-01-25 18:00:00,385,447.16782
2023-01-25 19:00:00,301,291.9025
2023-01-25 20:00:00,234,225.81927
2023-01-25 21:00:00,189,178.6078
2023-01-25 22:00:00,124,127.96903
2023-01-25 23:00:00,75,92.57138
2023-01-26 00:00:00,42,63.462345
2023-01-26 01:00:00,37,38.72702
2023-01-26 02:00:00,35,32.482178
2023-01-26 03:00:00,35,27.768543
2023-01-26 04:00:00,34,28.262602
2023-01-26 05:00:00,35,27.938538
2023-01-26 06:00:00,56,33.60188
2023-01-26 07:00:00,115,76.16245
2023-01-26 08:00:00,313,247.32945
2023-01-26 09:00:00,651,553.1299
2023-01-26 10:00:00,915,842.80304
2023-01-26 11:00:00,1040,1012.37787
2023-01-26 12:00:00,1084,1080.0952
2023-01-26 13:00:00,1102,1102.6835
2023-01-26 14:00:00,1122,1104.1836
2023-01-26 15:00:00,1038,1051.1389
2023-01-26 16:00:00,882,916.0776
2023-01-26 17:00:00,721,647.36316
2023-01-26 18:00:00,479,483.28802
2023-01-26 19:00:00,323,339.24115
2023-01-26 20:00:00,236,240.28218
2023-01-26 21:00:00,188,182.70137
2023-01-26 22:00:00,168,137.06389
2023-01-26 23:00:00,88,112.34572
2023-01-27 00:00:00,42,79.25075
2023-01-27 01:00:00,45,39.799435
2023-01-27 02:00:00,44,37.649704
2023-01-27 03:00:00,45,34.92674
2023-01-27 04:00:00,44,36.559654
2023-01-27 05:00:00,48,35.410507
2023-01-27 06:00:00,64,45.64338
2023-01-27 07:00:00,134,80.48707
2023-01-27 08:00:00,428,269.54285
2023-01-27 09:00:00,628,626.03345
2023-01-27 10:00:00,796,795.5639
2023-01-27 11:00:00,874,884.96735
2023-01-27 12:00:00,912,922.31256
2023-01-27 13:00:00,877,897.83105
2023-01-27 14:00:00,828,858.1367
2023-01-27 15:00:00,754,792.9648
2023-01-27 16:00:00,610,636.52734
2023-01-27 17:00:00,381,443.3051
2023-01-27 18:00:00,226,289.5419
2023-01-27 19:00:00,204,199.54672
2023-01-27 20:00:00,157,166.6691
2023-01-27 21:00:00,147,133.82956
2023-01-27 22:00:00,105,119.07901
