date,term_date,is_holiday,day_of_week,month,day_of_year,week_of_year,hour,weighted_day_of_year,year,is_month_start,is_month_end,sin_hour,cos_hour,sin_day,cos_day,sin_week,cos_week,sin_month,cos_month,is_day,day_duration,night_duration,lag_7_days_Occupancy
2024-08-06 01:00:00,False,False,1,8,219,32,1,21900,2024,0,0,0.25881904510252074,0.9659258262890683,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,1,51.0
2024-08-06 02:00:00,False,False,1,8,219,32,2,21900,2024,0,0,0.49999999999999994,0.8660254037844387,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,2,32.0
2024-08-06 03:00:00,False,False,1,8,219,32,3,21900,2024,0,0,0.7071067811865476,0.7071067811865476,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,3,6.0
2024-08-06 04:00:00,False,False,1,8,219,32,4,21900,2024,0,0,0.8660254037844386,0.5000000000000001,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,4,6.0
2024-08-06 05:00:00,False,False,1,8,219,32,5,21900,2024,0,0,0.9659258262890683,0.25881904510252074,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,5,3.0
2024-08-06 06:00:00,False,False,1,8,219,32,6,21900,2024,0,0,1.0,6.123233995736766e-17,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,6,0,4.0
2024-08-06 07:00:00,False,False,1,8,219,32,7,21900,2024,0,0,0.9659258262890683,-0.25881904510252063,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,5,0,2.0
2024-08-06 08:00:00,False,False,1,8,219,32,8,21900,2024,0,0,0.8660254037844387,-0.4999999999999998,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,4,0,5.0
2024-08-06 09:00:00,False,False,1,8,219,32,9,21900,2024,0,0,0.7071067811865476,-0.7071067811865475,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,3,0,6.0
2024-08-06 10:00:00,False,False,1,8,219,32,10,21900,2024,0,0,0.49999999999999994,-0.8660254037844387,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,2,0,6.0
2024-08-06 11:00:00,False,False,1,8,219,32,11,21900,2024,0,0,0.258819045102521,-0.9659258262890682,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,1,0,9.0
2024-08-06 12:00:00,False,False,1,8,219,32,12,21900,2024,0,0,1.2246467991473532e-16,-1.0,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,0,0,32.0
2024-08-06 13:00:00,False,False,1,8,219,32,13,21900,2024,0,0,-0.2588190451025208,-0.9659258262890683,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,-1,0,130.0
2024-08-06 14:00:00,False,False,1,8,219,32,14,21900,2024,0,0,-0.4999999999999997,-0.8660254037844388,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,-2,0,190.0
2024-08-06 15:00:00,False,False,1,8,219,32,15,21900,2024,0,0,-0.7071067811865471,-0.7071067811865479,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,-3,0,290.0
2024-08-06 16:00:00,False,False,1,8,219,32,16,21900,2024,0,0,-0.8660254037844385,-0.5000000000000004,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,-4,0,382.0
2024-08-06 17:00:00,False,False,1,8,219,32,17,21900,2024,0,0,-0.9659258262890683,-0.25881904510252063,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,-5,0,400.0
